Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Endocytosis (GO:0006897)	62/189	5.623052e-09	1.347604e-05	0	0	2.620622e+00	4.978237e+01	LRSAM1;HIP1;ITGAM;DENND1A;LRRK2;CLTC;ITGB2;INPPL1;CXCL16;RINL;TOM1;RALBP1;CD93;ANXA3;SLC11A1;ANXA11;CSNK1D;TBC1D2B;C1ORF43;EPS15L1;JMJD6;DNM2;BIN3;ADORA2A;HEATR5A;CEACAM4;PECAM1;RHOU;CD302;TLR4;CSNK1G2;RHOQ;CSNK1G1;NLGN3;RAB1A;RAB5B;CORO1A;TM9SF4;CLN3;CYTH2;MYO6;PACSIN2;REPS2;PIP5K1A;MAPK1;CD14;ATP9A;PDLIM7;MAPK3;SORT1;INSR;DNAJC13;ARHGAP27;SORL1;BLTP1;IGF2R;EHD1;NECAP2;PIKFYVE;SNX18;PPT1;MYD88
GO_Biological_Process_2023	Macroautophagy (GO:0016236)	41/104	5.974745e-09	1.347604e-05	0	0	3.483367e+00	6.596007e+01	BECN1;VCP;MTMR3;CALCOCO2;MTMR14;VPS4A;TCIRG1;ZFYVE1;STK3;CLN3;MAP1LC3B;MAP1LC3A;LAMP2;CHMP1A;TOM1;VTI1A;EPG5;ATG7;SNAP29;SPG11;VPS39;VPS16;UVRAG;GABARAPL1;VPS33A;VPS33B;MAP1LC3B2;VPS37B;WIPI2;SNX18;ATG16L2;TBC1D5;NBR1;RUBCNL;CHMP2A;PLEKHM1;ULK1;SQSTM1;VPS28;TECPR1;CHMP5
GO_Biological_Process_2023	Cellular Response To Mechanical Stimulus (GO:0071260)	22/48	9.597307e-07	1.443115e-03	0	0	4.511657e+00	6.251628e+01	MAP3K1;CRADD;TNFSF14;BAD;GADD45A;TNFRSF10B;BCL10;F11R;NFKB1;TNFRSF1A;CNN2;CASP5;CASP2;TNFRSF8;TLR8;BAK1;FADD;LTBR;TLR5;TLR4;MYD88;MAPK3
GO_Biological_Process_2023	Amyloid Precursor Protein Catabolic Process (GO:0042987)	10/13	1.792660e-06	2.021672e-03	0	0	1.773000e+01	2.346000e+02	PSENEN;ADAM19;APH1A;CLN3;ADAM17;NCSTN;APH1B;DYRK1A;PSEN1;ABCG1
GO_Biological_Process_2023	Regulation Of Autophagy (GO:0010506)	66/241	3.371882e-06	2.628592e-03	0	0	2.021301e+00	2.546848e+01	GSK3B;GSK3A;LRRK2;GBA1;PIK3CB;GOLGA2;TRIM8;FLCN;TRIM6;KAT5;TRIM5;KAT8;GPR137;EP300;TRIM27;TRIM22;RAB8A;IL10;SH3GLB1;ATP6V0B;ATP6V0E1;EXOC7;DAPK2;HGF;DAPK3;TFEB;ATG13;RRAGA;CCNY;RRAGC;WAC;ATP6V1B2;ULK1;ATP6V0D1;ATF6;SQSTM1;GAPDH;ATP6V1A;BECN1;MTMR3;DAPL1;USP10;HTRA2;MEFV;MTMR4;DRAM1;IFI16;PSAP;ABL2;TBC1D14;ATP6V1C1;ATP6V0A1;MCL1;UBQLN2;CTSA;UVRAG;KDM4A;BAD;STAT3;TPCN2;RMC1;NEDD4;TAB3;TRIM38;EIF4G3;TRIM34
GO_Biological_Process_2023	Autophagosome Maturation (GO:0097352)	20/44	3.496243e-06	2.628592e-03	0	0	4.441009e+00	5.579604e+01	BECN1;UVRAG;VCP;VPS33A;VPS4A;VPS33B;WIPI2;VMP1;CLN3;MAP1LC3B;MAP1LC3A;CHMP1A;LAMP2;CHMP2A;RUBCNL;EPG5;SNAP29;TECPR1;VPS16;CHMP5
GO_Biological_Process_2023	Positive Regulation Of Defense Response (GO:0031349)	40/124	4.310770e-06	2.692678e-03	0	0	2.544800e+00	3.143946e+01	CEBPA;LRSAM1;GRN;MGST2;FPR2;NLRC4;MEFV;PYCARD;LGALS1;HYAL2;CASP4;NFKBIZ;S100A12;EMILIN2;FADD;SLC15A4;AKIRIN2;PLA2G2A;OSM;CYBA;IL16;IL17RA;TNFRSF1A;MAPK13;NFKBIA;PLSCR1;NLRP12;AIM2;TNIP1;NINJ1;TLR9;TLR8;ADAM8;LCP1;S100A9;RNF185;TLR4;NAIP;S100A8;TRIM56
GO_Biological_Process_2023	Vesicle-Mediated Transport (GO:0016192)	100/411	4.775311e-06	2.692678e-03	0	0	1.728152e+00	2.117341e+01	USP6NL;WASHC5;INPPL1;WASH2P;RAB43;ZFYVE27;RINL;TOM1;CPNE1;VPS39;NSF;VPS18;ARL11;RALBP1;VPS33A;VPS33B;SYTL1;CSNK1D;TBC1D2B;AP5B1;SYTL2;BIN3;RAB35;SQSTM1;CSNK1G2;CSNK1G1;RAB5B;PXK;RAB5C;STXBP3;STXBP2;MYO6;VPS16;AP1M1;CCR1;UVRAG;SNAPIN;RAB4B;CACFD1;BLTP1;EHD1;NSG2;CHMP2A;TMCC1;ARF4;ARF1;HIP1;GDI1;DENND1A;LRRK2;SNAP23;TNFAIP2;ACTR1A;AP1G1;CHMP1A;EPG5;AP3S2;KIF1B;SNAP29;JAGN1;EXOC7;VPS13B;EPS15L1;ARFGAP3;RBSN;RHOB;DNM2;HEATR5A;DNAJC5;EXOC3;PLIN3;VAMP1;EXOC6;RHOU;ARF5;RHOQ;VAMP3;CHMP5;BECN1;RAB1A;STX12;MGRN1;STX16;VPS4A;DENND3;STX10;CYTH2;SNX27;FHIP1B;STX6;REPS2;STX5;STX3;ATP9A;SORT1;RAB11A;SNX18;NECAP2;NECAP1;LAMTOR1
GO_Biological_Process_2023	Endosomal Transport (GO:0016197)	52/180	6.946649e-06	3.481815e-03	0	0	2.173652e+00	2.581701e+01	WASHC5;DENND1A;CLTC;SNX12;RCSD1;WASH2P;RAB43;CHMP1A;TOM1;DENND5A;TRIM27;CCDC93;VPS39;PLEKHJ1;LMTK2;EPS15L1;AP5B1;RBSN;ARL4C;HEATR5A;TBC1D5;RAB35;SQSTM1;VAMP3;STX12;STX16;VPS4A;VPS26C;STX10;SNX1;SNX27;VTI1A;REPS2;STX6;STX5;EVI5;ANKRD50;YKT6;RAB11FIP4;VPS16;ANKRD27;RIC1;SORT1;BLTP1;EHD1;RGP1;PIKFYVE;SNX18;NSG2;CHMP2A;TMCC1;LAMTOR1
GO_Biological_Process_2023	Phagocytosis (GO:0006909)	26/69	9.222635e-06	3.775489e-03	0	0	3.224806e+00	3.738792e+01	ITGAM;ITGB2;CORO1A;TM9SF4;PIP5K1A;CD14;GSN;CD93;ANXA3;SLC11A1;ANXA11;C1ORF43;ARHGAP25;BLTP1;JMJD6;TYROBP;ADORA2A;BIN2;CEACAM4;ELMO1;PECAM1;RARA;MYH9;CD302;TLR4;MYD88
GO_Biological_Process_2023	Immune Response-Activating Cell Surface Receptor Signaling Pathway (GO:0002429)	13/23	9.302078e-06	3.775489e-03	0	0	6.918386e+00	8.015139e+01	LYN;CR1;FCER1G;C5AR2;C5AR1;FPR1;FPR2;LILRA2;GPR32P1;C3AR1;SH2B2;SPG21;MICB
GO_Biological_Process_2023	Ubiquitin-Dependent Protein Catabolic Process (GO:0006511)	90/367	1.004342e-05	3.775489e-03	0	0	1.744164e+00	2.007287e+01	GSK3B;GSK3A;UBE3C;UBXN2B;ZFAND2B;RNF19B;UBE2D1;UBE3B;ARRB2;TNFAIP1;UBE2L3;TNFSF13B;HERC3;NUB1;MAEA;KAT5;PSMD4;PSMD2;CHMP1A;TRIM25;UBXN7;ARIH1;GET4;MYLIP;AREL1;FBXW5;ARRDC1;FBXW11;RC3H1;UBE4A;KCTD2;VPS37B;KCTD5;TRPC4AP;RAD23B;RNF40;RNF144B;RNF125;UBE2R2;PELI1;SQSTM1;VPS28;RNF166;CHMP5;VCP;RNF34;PSMD13;VPS4A;CBL;RNF4;RMND5B;PSMB4;SH3BGRL;PSMB5;OS9;PSMB2;PSMB3;KCTD21;ZSWIM8;FEM1C;TBL1X;DCAF11;RFFL;RNF130;RNF20;USP9X;SMURF1;RNF25;FBXL19;UBE2G1;WWP2;USP28;CHFR;SPSB3;NSFL1C;UBE2W;NPLOC4;RNF149;TOLLIP;NEDD4;GID8;KLHL8;CHMP2A;CTNNB1;UBAP1;TRIP12;KBTBD7;FBXL4;BMAL1;RNF185
GO_Biological_Process_2023	Protein-Containing Complex Disassembly (GO:0032984)	24/62	1.183314e-05	4.106098e-03	0	0	3.367285e+00	3.820052e+01	NSF;GSK3B;BECN1;UVRAG;VCP;VPS33A;VPS33B;VPS4A;WIPI2;PPP1CA;CLN3;FRAT1;MAP1LC3B;FRAT2;MAP1LC3A;CHMP1A;LAMP2;RUBCNL;CHMP2A;EPG5;SNAP29;TECPR1;CHMP5;VPS16
