Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Cellular_Component_2023	Secretory Granule Membrane (GO:0030667)	116/279	4.718760e-25	1.764816e-22	0	0	3.879307e+00	2.172920e+02	RAB3D;LAMP1;ANPEP;LAMP2;C3AR1;CPNE1;TOM1;SIRPA;CD177;CD93;DGAT1;CD300A;SLC11A1;APLP2;HLA-B;HLA-C;CYBB;MCEMP1;ATP11B;CYBA;ATP11A;CLEC4D;DOK3;RAB31;TYROBP;ADAM8;ARL8A;RAB5B;RAB5C;BRI3;C5AR1;FPR1;ITPR2;FPR2;IQGAP1;GPR84;PSEN1;IQGAP2;CYB5R1;NCSTN;ALDH3B1;PSAP;NCKAP1L;CD14;SLC15A4;ATP6V0A1;AP1M1;RAB4B;SURF4;NBEAL2;DNAJC13;IGF2R;BST1;VNN1;SELL;CYSTM1;DEGS1;SIGLEC9;B4GALT1;ITGAM;SLC44A2;ITGB2;SNAP23;PTPRJ;TCIRG1;FCAR;SIRPB1;FCGR3B;ADGRE5;CA4;ITGAX;ANXA7;PHACTR2;RAC1;ACP3;SNAP29;CD53;MANBA;FCER1G;CR1;GAA;NFAM1;RHOG;PLAUR;NDUFC2;VPS13B;TNFRSF1B;RHOA;CKAP4;CEACAM3;CEACAM1;DNAJC5;TMBIM1;PECAM1;EXOC3;VAMP1;CD44;CD63;PTAFR;PRCP;SRI;AGPAT2;CXCR1;CXCR2;RAB24;CD59;CD55;LILRB2;LILRB3;FCGR2A;VAPA;SLCO4C1;LAMTOR2;LAMTOR1;CD68;SIGLEC5
GO_Cellular_Component_2023	Ficolin-1-Rich Granule (GO:0101002)	80/184	4.185203e-19	7.826329e-17	0	0	4.159019e+00	1.759995e+02	FCN1;CDA;SERPINA1;CTSZ;ITGB2;PYGL;TCIRG1;FCAR;HK3;LAMP1;PSMD2;LAMP2;COTL1;ITGAX;TIMP2;SIRPA;CTSH;OSTF1;RAC1;GYG1;CTSD;PGM1;KCMF1;CR1;DBNL;FCER1G;CD93;DYNLT1;CD300A;SLC11A1;GAA;PGAM1;AMPD3;MMP9;RHOA;ACLY;CLEC4D;DOK3;BIN2;CRISPLD2;ADAM8;PLEKHO2;ALDOA;ARL8A;KPNB1;CSTB;VCP;CANT1;CAB39;PSMD13;MVP;FPR1;PRCP;FPR2;GNS;ALOX5;MAPK1;NCKAP1L;LTA4H;ATG7;ARSB;CD55;ATP6V0A1;GSN;IDH1;HSPA6;PDAP1;NBEAL2;ARPC5;LILRB2;MAPK14;DERA;LRG1;GLB1;IMPDH1;QPCT;MNDA;LAMTOR1;CDK13;SIGLEC5
GO_Cellular_Component_2023	Bounding Membrane Of Organelle (GO:0098588)	219/819	3.492130e-16	4.353522e-14	0	0	2.005029e+00	7.136068e+01	ZDHHC5;ZDHHC7;WDR83;ZDHHC3;GOLGA2;NDST1;ANPEP;GOLGA7;VPS39;VPS18;ATP6V0E1;ENTPD4;COG4;ENTPD7;HLA-B;HLA-C;CSNK1D;HLA-A;HLA-F;HLA-E;RNF125;ULK1;ATP6V0D1;ATF6;VPS28;LMAN2L;SLC35D2;FPR1;TGFA;IQGAP1;IQGAP2;APH1A;UGCG;SNX1;NCSTN;APH1B;CHST11;PDGFC;CHST10;VTI1A;CHST15;ST3GAL4;NCKAP1L;CD14;ST3GAL2;VPS16;ATP6V0A1;LYN;BBS1;INSR;SURF4;BBIP1;EXT1;EHD1;TMEM199;C6ORF89;ACER3;ITM2B;ARF1;SIGLEC9;SERPINA1;CTSZ;B3GNTL1;GLIPR2;HYAL2;QSOX1;RAC1;CTSD;RAB8A;PSENEN;ATP6V0B;CHST7;RHOG;RBSN;RHOA;F5;RHOB;F8;B3GNT5;TLR9;EXOC3;B3GNT2;TLR8;RHOU;TLR4;CD44;RHOQ;CD63;STX16;ZDHHC20;PTAFR;ADCY3;SGMS2;TMEM165;GGA3;ZDHHC19;CXCR1;LMAN2;CXCR2;STX6;STX5;CD59;MGAT1;YKT6;CD55;GPR157;RIC1;SORT1;C1GALT1;NMNAT2;LILRB3;ARCN1;RGP1;FIG4;UBAP1;LAMTOR2;COPG1;SIGLEC5;GALNT14;STEAP3;NCF4;SPPL2A;PYCARD;RAB43;LAMP1;TOM1;CD177;CSGALNACT1;CD93;VPS33A;APLP2;VPS33B;SLC30A4;CSGALNACT2;IRAG1;TPST2;ADAM17;DOK3;TYROBP;RAB31;TBC1D20;STIM1;SLC9A8;SCNN1A;RAB35;NOTCH2;RAB5B;COPA;C5AR1;ITPR2;MAN2A2;IRAK2;ALDH3B1;SLC15A3;AP1M1;TRAPPC3;UVRAG;RAB4B;GPR108;DNAJC13;IGF2R;SELL;TMEM115;TAB3;MYD88;CNIH4;COPE;ST6GALNAC2;B4GALT1;ECE1;TCIRG1;SIRPB1;HS2ST1;ATP7B;FCGR3B;ADGRE5;AP1G1;DSE;CA4;ITGAX;MAN1A1;SNAP29;SLC36A1;CR1;ATP6AP1;CHPF2;VPS13B;WIPI1;VPS37B;ARFGAP3;TNFRSF1A;DNM2;RER1;TBC1D5;GORASP1;TMBIM1;PECAM1;ST6GALNAC3;B4GALT4;B4GALT5;RAB1A;UNC93B1;VPS4A;CLN3;CYTH2;CYTH4;RAB24;ERBB2;RFFL;CAMK2G;GALNT3;GALNT2;SORL1;TPCN2;PIKFYVE;FCGR2A;ABHD17B;VAPA;COL7A1
GO_Cellular_Component_2023	Tertiary Granule (GO:0070820)	67/162	6.435653e-15	5.461940e-13	0	0	3.799248e+00	1.241477e+02	CDA;ITGAM;ITGB2;SNAP23;CXCL1;TCIRG1;FCAR;LAMP1;LAMP2;ITGAX;TIMP2;SIRPA;CTSH;QSOX1;RAC1;GOLGA7;CTSD;PGM1;CD177;CD53;CR1;DBNL;FCER1G;CD93;CD300A;SLC11A1;GAA;CYBB;CYBA;MCEMP1;ATP11A;MMP9;RHOA;OSCAR;CEACAM1;CLEC4D;DOK3;VAMP1;ADAM8;ALDOA;ARL8A;CSTB;CANT1;STXBP3;STXBP2;PTAFR;FPR1;PRCP;FPR2;GPR84;CFP;CNN2;NCKAP1L;CD59;LTA4H;CD55;ATP6V0A1;IDH1;NBEAL2;LILRB2;LRG1;QPCT;CYSTM1;LAMTOR2;PTPN6;LAMTOR1;SIGLEC5
GO_Cellular_Component_2023	Azurophil Granule (GO:0042582)	65/155	7.302058e-15	5.461940e-13	0	0	3.889264e+00	1.265980e+02	B4GALT1;RAB3D;FAF2;SNAP23;PYCARD;LAMP1;GM2A;NAPRT;LAMP2;C3AR1;CPNE1;TOM1;ACP3;SNAP29;MANBA;IST1;GAA;NFAM1;RNASET2;PRKCD;ANXA11;NDUFC2;ATP11B;CKAP4;ACLY;NPC2;DNAJC5;PADI2;VAMP1;ARL8A;FTL;CD63;VCP;GRN;RAB5C;BRI3;STXBP2;FPR1;PRCP;PSEN1;GNS;SDCBP;NCSTN;PSAP;MAPK1;STX3;ARSB;CTSA;GCA;SURF4;DNAJC13;TUBB4B;CPPED1;GALNS;VNN1;VAPA;GLB1;IMPDH1;TOLLIP;SLCO4C1;MAN2B1;MNDA;LAMTOR1;CD68;GLA
GO_Cellular_Component_2023	Cytoplasmic Vesicle Membrane (GO:0030659)	118/389	4.117103e-13	2.267891e-11	0	0	2.359701e+00	6.729502e+01	STEAP3;NCF4;SPPL2A;WDR83;LAMP1;ANPEP;TOM1;VPS39;CD177;VPS18;MREG;ATP6V0E1;CD93;VPS33A;APLP2;VPS33B;SLC30A4;ENTPD7;HLA-B;HLA-C;RAB31;DOK3;TYROBP;RAB35;VOPP1;ATP6V0D1;VPS28;RAB5B;C5AR1;FPR1;ITPR2;IQGAP1;IQGAP2;APH1A;NCSTN;SNX1;APH1B;IRAK2;ALDH3B1;NCKAP1L;CD14;SLC15A3;VPS16;AP1M1;ATP6V0A1;LYN;RAB4B;TOR1A;INSR;DNAJC13;IGF2R;EHD1;NSG2;SELL;TAB3;MYD88;ITM2B;SIGLEC9;B4GALT1;DYSF;ECE1;TCIRG1;SIRPB1;FCGR3B;ADGRE5;AP1G1;CA4;ITGAX;KIF1B;RAC1;CTSD;PSENEN;ATP6V0B;CR1;ATP6AP1;RHOG;WIPI1;VPS37B;RBSN;RHOA;RHOB;DNM2;TBC1D5;TMBIM1;PECAM1;TLR9;EXOC3;TLR8;RHOU;TLR4;CD44;RHOQ;RAB1A;CD63;PTAFR;VPS4A;TMEM165;GGA3;CXCR1;RAB24;CXCR2;ERBB2;SH3BP5;RFFL;CAMK2G;CD55;SORT1;LILRB3;SORL1;TPCN2;RAB11A;FIG4;PIKFYVE;FCGR2A;ABHD17B;UBAP1;LAMTOR2;SIGLEC5
GO_Cellular_Component_2023	Specific Granule (GO:0042581)	63/159	4.244715e-13	2.267891e-11	0	0	3.530456e+00	1.005754e+02	ITGAM;SLC44A2;CTSZ;ITGB2;SNAP23;CXCL1;PTPRJ;FCAR;C3AR1;TOM1;TIMP2;QSOX1;CTSD;CD177;CD53;CD93;DGAT1;ANXA3;PLAUR;ANXA11;CYBB;CYBA;MCEMP1;ATP11A;TNFRSF1B;CKAP4;OSCAR;CEACAM3;CEACAM1;CLEC4D;DNAJC5;TMBIM1;VAMP1;ADAM8;DOCK2;KPNB1;DNASE1L1;PDXK;CANT1;STXBP3;STXBP2;FPR2;GPR84;CFP;AGPAT2;CNN2;ALDH3B1;NEU1;CD59;STX3;SLC15A4;AP1M1;AOC1;NFKB1;BST1;LRG1;TOLLIP;QPCT;SLCO4C1;DEGS1;LAMTOR2;PTPN6;LAMTOR1
GO_Cellular_Component_2023	Azurophil Granule Membrane (GO:0035577)	33/58	9.994317e-13	4.672343e-11	0	0	7.063261e+00	1.951691e+02	CD63;B4GALT1;RAB5C;BRI3;RAB3D;FPR1;PRCP;PSEN1;NCSTN;LAMP1;LAMP2;PSAP;C3AR1;CPNE1;TOM1;ACP3;SNAP29;MANBA;GAA;NFAM1;SURF4;NDUFC2;ATP11B;DNAJC13;CKAP4;VNN1;VAPA;DNAJC5;SLCO4C1;VAMP1;LAMTOR1;CD68;ARL8A
GO_Cellular_Component_2023	Ficolin-1-Rich Granule Lumen (GO:1904813)	51/123	9.486660e-12	3.929696e-10	0	0	3.801449e+00	9.648510e+01	FCN1;CDA;SERPINA1;CTSZ;PYGL;HK3;PSMD2;COTL1;TIMP2;CTSH;OSTF1;GYG1;CTSD;PGM1;KCMF1;DBNL;DYNLT1;PGAM1;AMPD3;MMP9;ACLY;BIN2;CRISPLD2;PLEKHO2;ALDOA;KPNB1;CSTB;VCP;CANT1;CAB39;PSMD13;MVP;GNS;ALOX5;MAPK1;LTA4H;ATG7;ARSB;GSN;IDH1;HSPA6;PDAP1;ARPC5;MAPK14;DERA;LRG1;GLB1;IMPDH1;QPCT;MNDA;CDK13
GO_Cellular_Component_2023	Endosome Membrane (GO:0010008)	108/361	1.050721e-11	3.929696e-10	0	0	2.308342e+00	5.835248e+01	IFITM3;WASHC5;STEAP3;IFITM2;NCF4;WDR83;WASH2P;RABGEF1;LAPTM4A;ZFYVE27;LAMP1;LAMP2;TOM1;EPHB1;VPS39;VPS18;ATP6V0E1;MREG;SLC11A1;APLP2;VPS33A;SLC30A4;VPS33B;HLA-B;HLA-C;ATP11B;HLA-A;HLA-F;HLA-E;RAB31;RAB35;ATP6V0D1;VPS28;PXK;RAB5B;RAB5C;MTMR4;NDRG1;APH1A;NCSTN;SNX1;APH1B;IRAK2;VTI1A;PACSIN2;CD14;SLC15A3;SLC15A4;RAB11FIP4;ATP6V0A1;VPS16;INSR;DNAJC13;IGF2R;EHD1;TAB3;MYD88;FCGR1BP;CLTC;SNX12;SNX10;ECE1;TCIRG1;PIP4P1;RAC1;CTSD;RAB8A;RAB8B;PSENEN;ATP6V0B;ATP6AP1;WIPI1;VPS37B;RBSN;RHOB;TBC1D5;TMBIM1;TLR9;TLR8;RHOU;TLR4;VAMP3;CD63;VPS4A;TMEM165;CLN3;GGA3;ERBB2;FCGR1A;RFFL;ATP9A;SLC31A2;SLC31A1;SORT1;SNX20;SORL1;RAB11A;TPCN2;RMC1;FIG4;SNX18;PIKFYVE;ABHD17B;UBAP1;LAMTOR2;LAMTOR1;ATP13A3;LAMTOR4
