Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Molecular_Function_2023	GTPase Binding (GO:0051020)	70/225	7.471376e-09	6.671939e-06	0	0	2.426455e+00	4.540428e+01	USP6NL;DOCK5;DOCK4;LRRK2;STK19;ENO1;GCC1;TNFAIP1;TRIOBP;BICD2;RABGEF1;AKAP13;RINL;AP1G1;ARHGDIB;TBC1D30;DENND5A;RAB8A;TNPO3;PLEKHG3;RALBP1;CDKL5;ATP6AP1;DAPK3;GAPVD1;RNF41;RRAGC;RILPL2;TBC1D20;RILPL1;CDC42EP4;TBC1D7;CDC42EP2;ULK1;ARHGEF2;LCP1;RAF1;DOCK2;RAPGEF4;BECN1;RABGAP1;MAPKAP1;IQGAP1;IQGAP2;NDRG1;FGD3;DENND10P1;FGD4;PAK1;GGA3;KIF3B;TMEM127;PDE6D;PAK2;EVI5;RAB11FIP4;MARCHF5;GIT2;RIC1;ANKRD27;MYO9B;HPS6;SORL1;EHD1;RGP1;GNB2;DMXL2;GNB1;LAMTOR1;MEGF9
GO_Molecular_Function_2023	Small GTPase Binding (GO:0031267)	62/199	4.964580e-08	2.216685e-05	0	0	2.427881e+00	4.083296e+01	USP6NL;DOCK5;DOCK4;LRRK2;STK19;GCC1;TNFAIP1;TRIOBP;BICD2;RABGEF1;AKAP13;RINL;AP1G1;ARHGDIB;TBC1D30;DENND5A;RAB8A;TNPO3;PLEKHG3;RALBP1;CDKL5;ATP6AP1;DAPK3;GAPVD1;RNF41;RILPL2;TBC1D20;RILPL1;CDC42EP4;TBC1D7;CDC42EP2;ULK1;ARHGEF2;RAF1;DOCK2;RAPGEF4;RABGAP1;MAPKAP1;IQGAP1;IQGAP2;NDRG1;FGD3;DENND10P1;FGD4;PAK1;GGA3;KIF3B;TMEM127;PDE6D;PAK2;EVI5;RAB11FIP4;GIT2;RIC1;ANKRD27;MYO9B;HPS6;SORL1;EHD1;RGP1;DMXL2;MEGF9
GO_Molecular_Function_2023	GTPase Regulator Activity (GO:0030695)	102/424	6.521431e-06	1.941213e-03	0	0	1.702472e+00	2.032823e+01	USP6NL;RAPGEFL1;RCBTB2;PREX1;RABGEF1;RINL;RGS3;TBC1D30;SIRPA;DENND5A;ARHGEF40;TBC1D22A;SBF2;RALBP1;RALGAPA2;TBC1D2B;GAPVD1;TIAM2;RALGAPB;TBC1D20;SPATA13;ELMO1;TBC1D26;CDC42SE1;ARHGAP19;AGAP1;IQGAP1;IQGAP2;RASGRP2;RASGRP4;RIC8A;TBC1D14;NCKAP1L;EVI5;RAP1GAP2;ANKRD27;ARHGAP29;ARHGAP27;ADAP1;ARHGAP26;ARHGAP25;ARHGAP24;SH3BP5L;ARHGAP30;GNAQ;RGL4;RGL2;ARHGAP9;ARF4;DOCK5;DOCK4;GDI1;DENND1A;LRRK2;DOCK8;SIPA1L2;AKAP13;FLCN;SIPA1L1;RASGEF1A;RALGPS1;PLEKHG3;UNC45A;ARHGEF11;TBC1D8;ELMOD3;ARAP1;ARFGAP3;VAV1;ARFGAP2;TBC1D1;TBC1D2;TBC1D5;TBC1D7;CDC42EP2;RAPGEF2;RHOU;ARHGEF2;DOCK2;RAPGEF4;RABGAP1;RGS14;DENND3;ASAP1;FGD3;DENND10P1;GNA13;FGD4;CYTH2;CYTH4;SH3BP5;PDE6D;SEC23B;GIT2;RIC1;MYO9B;RGP1;RABIF;LAMTOR2;LAMTOR1;LAMTOR4;SIPA1
GO_Molecular_Function_2023	Protein Serine/Threonine Kinase Activity (GO:0004674)	84/342	1.836688e-05	4.100406e-03	0	0	1.746377e+00	1.904417e+01	GSK3B;GSK3A;MAST3;LRRK2;LRRK1;TESK2;ILK;STK19;RPS6KA1;PDK3;MAP3K8;MAP3K5;MAP2K1;CDKL5;MAP2K2;RIPK3;SYK;PRKCB;PDPK1;DAPK2;DAPK3;PRKCD;DYRK1A;LMTK2;CSNK1D;IRAK3;OXSR1;VRK3;PRKAB1;TGFBR2;LATS2;MAPKAPK3;MAPKAPK2;BMP2K;ULK1;ALPK1;RAF1;SQSTM1;CSNK1G2;CSNK1G1;STK39;STK4;ACVR1B;PRKCZ;CAMKK1;CAMKK2;STK3;PAK1;NUAK2;GRK2;IRAK2;MKNK1;GRK6;STK38;PHKG2;MAPK1;PAK2;CAMK2G;MARK2;MAP4K4;MAP2K6;MAPK3;MAP3K3;NEK9;CDK19;MAP3K1;MLKL;NEK6;LIMK2;HIPK1;MAPK14;CLK3;SRPK1;MAPK13;CDK9;BCKDK;PIKFYVE;SNRK;TAOK3;STK24;TAOK1;CDK13;MAP3K11;NEK11
GO_Molecular_Function_2023	Phosphatidylinositol Phosphate Binding (GO:1901981)	34/109	4.764264e-05	8.508976e-03	0	0	2.419318e+00	2.407653e+01	ARHGAP9;HIP1;RNF34;PLEKHB2;WDR45B;MAPKAP1;DENND1A;NCF4;SNX12;SNX10;IQGAP1;SNX11;IQGAP2;RCSD1;ZFYVE1;SNX27;SAP30L;TOM1;PIRT;GSDMC;OSBPL8;MYO10;VPS13B;WIPI1;ARAP1;GAB2;WIPI2;SNX20;GOLPH3;BTK;RUBCNL;TTPAL;TECPR1;ATG2B
GO_Molecular_Function_2023	Phosphatidylinositol-3-Phosphate Phosphatase Activity (GO:0004438)	7/11	4.582788e-04	6.174467e-02	0	0	9.298879e+00	7.149009e+01	MTMR1;MTMR3;SYNJ1;MTMR14;PTEN;MTMR4;MTMR6
GO_Molecular_Function_2023	Endopeptidase Activator Activity (GO:0061133)	8/14	4.840008e-04	6.174467e-02	0	0	7.086256e+00	5.409240e+01	PSENEN;APH1A;AIM2;APH1B;CARD8;PSME3;NLRC4;VSIR
GO_Molecular_Function_2023	Phosphatidylinositol-3,5-Bisphosphate 3-Phosphatase Activity (GO:0052629)	6/9	8.624546e-04	8.575245e-02	0	0	1.062457e+01	7.496405e+01	MTMR1;MTMR3;SYNJ1;MTMR14;MTMR4;MTMR6
GO_Molecular_Function_2023	Phosphatidylinositol Monophosphate Phosphatase Activity (GO:0052744)	7/12	9.490688e-04	8.575245e-02	0	0	7.438661e+00	5.177330e+01	MTMR1;MTMR3;SYNJ1;MTMR14;PTEN;MTMR4;MTMR6
GO_Molecular_Function_2023	Phosphatidylinositol Bisphosphate Binding (GO:1902936)	27/93	9.602738e-04	8.575245e-02	0	0	2.179521e+00	1.514395e+01	HIP1;WDR45B;AVIL;FLII;MAPKAP1;TWF2;CGAS;CAPG;SDCBP;FCHO2;PIRT;GSDMC;SVIL;GSN;EXOC7;OSBPL2;WIPI1;WIPI2;SNX20;TPCN2;SYTL2;SNX18;KCNQ1;RAB35;ANXA2P2;PFN1;TTPAL
GO_Molecular_Function_2023	GTPase Activator Activity (GO:0005096)	51/211	1.090214e-03	8.850558e-02	0	0	1.701668e+00	1.160772e+01	USP6NL;ARHGAP9;LRRK2;SIPA1L2;PREX1;FLCN;SIPA1L1;RGS3;TBC1D30;TBC1D22A;UNC45A;RALBP1;RALGAPA2;TBC1D8;ELMOD3;TBC1D2B;ARAP1;ARFGAP3;ARFGAP2;TBC1D1;TBC1D2;RALGAPB;TBC1D20;TBC1D5;TBC1D7;CDC42EP2;RAPGEF2;TBC1D26;RABGAP1;RGS14;ARHGAP19;AGAP1;ASAP1;IQGAP1;IQGAP2;TBC1D14;NCKAP1L;EVI5;SEC23B;RAP1GAP2;GIT2;ARHGAP29;MYO9B;ARHGAP27;ADAP1;ARHGAP26;ARHGAP25;ARHGAP24;ARHGAP30;GNAQ;SIPA1
GO_Molecular_Function_2023	Guanyl-Nucleotide Exchange Factor Activity (GO:0005085)	49/203	1.389862e-03	1.034289e-01	0	0	1.698158e+00	1.117142e+01	ARF4;DOCK5;DOCK4;DENND1A;DOCK8;RAPGEFL1;RCBTB2;PREX1;RABGEF1;AKAP13;RINL;RASGEF1A;DENND5A;ARHGEF40;SBF2;RALGPS1;ARHGEF11;PLEKHG3;GAPVD1;VAV1;TIAM2;SPATA13;ELMO1;RAPGEF2;RHOU;ARHGEF2;DOCK2;RAPGEF4;DENND3;RASGRP2;RASGRP4;RIC8A;FGD3;DENND10P1;GNA13;FGD4;CYTH2;CYTH4;SH3BP5;RIC1;ANKRD27;RGP1;RABIF;SH3BP5L;LAMTOR2;RGL4;LAMTOR1;LAMTOR4;RGL2
GO_Molecular_Function_2023	Ubiquitin Protein Ligase Binding (GO:0031625)	62/271	1.511876e-03	1.038543e-01	0	0	1.584616e+00	1.029114e+01	DAZAP2;GSK3B;FAF2;UBE2D1;AUP1;CASC3;ARRB2;HAPSTR1;SMG5;TRIOBP;UBE2L3;ACTG1;MAP1LC3B;MAP1LC3A;CASP10;SLC22A18;UBXN7;ARIH1;JAK1;GABARAPL1;ARRDC1;MUL1;TNFRSF1B;YWHAZ;RNF40;RRAGA;PRKAR1A;UQCRC1;TXNIP;NDUFS2;TMBIM6;SQSTM1;OTUB1;BECN1;VCP;RALB;RNF34;CXCR4;BCL10;UBE2J2;ACVR1B;HIF1A;UBE2J1;PRKAR2A;ZNF746;MFN2;TNFRSF14;RFFL;RNF20;KDM4A;PYHIN1;NEK6;HSPA6;LAPTM5;MAP1LC3B2;UBE2G1;SPART;NFKBIA;UBE2W;NPLOC4;CTNNB1;LTBR
GO_Molecular_Function_2023	Phosphatidylinositol Binding (GO:0035091)	29/106	1.769600e-03	1.056821e-01	0	0	2.006502e+00	1.271520e+01	PXK;HIP1;RNF34;NCF1;DENND1A;PITPNA;SNX12;ITPR2;SNX10;SNX11;RCSD1;ZFYVE1;SNX1;FCGR3B;SNX27;FCHO2;TNFAIP8L3;BCAS3;MREG;APLP2;PHF12;SNX20;SNX18;SNX19;FES;CEACAM5;RUBCNL;WDFY3;MPPE1
GO_Molecular_Function_2023	Phosphatidylinositol-3,5-Bisphosphate Phosphatase Activity (GO:0106018)	7/13	1.775174e-03	1.056821e-01	0	0	6.198515e+00	3.926051e+01	MTMR1;PIKFYVE;MTMR3;SYNJ1;MTMR14;MTMR4;MTMR6
GO_Molecular_Function_2023	Phosphatidylinositol-3-Phosphate Binding (GO:0032266)	14/40	2.398950e-03	1.338914e-01	0	0	2.863784e+00	1.727642e+01	HIP1;WDR45B;DENND1A;NCF4;SNX12;VPS13B;WIPI1;WIPI2;ZFYVE1;SNX20;SNX27;RUBCNL;TECPR1;ATG2B
GO_Molecular_Function_2023	Protein Phosphorylated Amino Acid Binding (GO:0045309)	15/45	2.940582e-03	1.544670e-01	0	0	2.659436e+00	1.550225e+01	SYK;YWHAB;SAMSN1;YWHAZ;VAV1;CRKL;HCK;NEDD4;SH3BP2;PLCG2;ABL2;GRB2;PTPN6;PFN1;CRK
GO_Molecular_Function_2023	Toll-like Receptor Binding (GO:0035325)	6/11	3.555992e-03	1.610569e-01	0	0	6.373982e+00	3.594366e+01	TLR1;UNC93B1;TOLLIP;S100A9;MYD88;S100A8
GO_Molecular_Function_2023	Complement Receptor Activity (GO:0004875)	6/11	3.555992e-03	1.610569e-01	0	0	6.373982e+00	3.594366e+01	GPR32P1;CR1;C5AR2;C5AR1;FPR1;FPR2
GO_Molecular_Function_2023	Phosphoserine Residue Binding (GO:0050815)	5/8	3.677897e-03	1.610569e-01	0	0	8.851010e+00	4.961358e+01	SCAF8;YWHAB;NEDD4;PCIF1;YWHAZ
GO_Molecular_Function_2023	Phosphatidylinositol-4,5-Bisphosphate Binding (GO:0005546)	21/73	3.787452e-03	1.610569e-01	0	0	2.149276e+00	1.198450e+01	GSDMC;SVIL;HIP1;GSN;EXOC7;AVIL;FLII;MAPKAP1;OSBPL2;TWF2;CGAS;CAPG;SNX20;SYTL2;SDCBP;SNX18;KCNQ1;RAB35;FCHO2;ANXA2P2;PFN1
GO_Molecular_Function_2023	NF-kappaB Binding (GO:0051059)	10/26	4.555845e-03	1.787279e-01	0	0	3.321807e+00	1.790900e+01	NFKBIA;GSK3B;HDAC3;RNF25;ANXA4;CPNE1;TP53BP2;EP300;BCL10;HIF1AN
GO_Molecular_Function_2023	Ubiquitin-Like Protein Ligase Binding (GO:0044389)	63/289	4.603294e-03	1.787279e-01	0	0	1.488010e+00	8.006959e+00	DAZAP2;GSK3B;FAF2;UBE2D1;AUP1;CASC3;ARRB2;HAPSTR1;SMG5;TRIOBP;UBE2L3;ACTG1;MAP1LC3B;MAP1LC3A;CASP10;SLC22A18;UBXN7;ARIH1;JAK1;GABARAPL1;ARRDC1;MUL1;PARP9;TNFRSF1B;YWHAZ;RNF40;RRAGA;PRKAR1A;UQCRC1;TXNIP;NDUFS2;TMBIM6;SQSTM1;OTUB1;BECN1;VCP;RALB;RNF34;CXCR4;BCL10;UBE2J2;ACVR1B;HIF1A;UBE2J1;PRKAR2A;ZNF746;MFN2;TNFRSF14;RFFL;RNF20;KDM4A;PYHIN1;NEK6;HSPA6;LAPTM5;MAP1LC3B2;UBE2G1;SPART;NFKBIA;UBE2W;NPLOC4;CTNNB1;LTBR
