Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Regulation Of Adiponectin Secretion (GO:0070163)	2/6	8.108934e-04	3.416317e-01	0	0	6.750680e+01	4.804712e+02	HCAR2;IL1B
GO_Biological_Process_2023	Regulation Of Leukocyte Proliferation (GO:0070663)	2/7	1.129703e-03	3.416317e-01	0	0	5.400272e+01	3.664517e+02	CSF2RB;JAK2
GO_Biological_Process_2023	Hyaluronan Metabolic Process (GO:0030212)	2/14	4.730694e-03	3.416317e-01	0	0	2.249320e+01	1.204215e+02	TNFAIP6;IL1B
GO_Biological_Process_2023	Positive Regulation Of Acute Inflammatory Response (GO:0002675)	2/14	4.730694e-03	3.416317e-01	0	0	2.249320e+01	1.204215e+02	IL1B;FFAR2
GO_Biological_Process_2023	Positive Regulation Of Adaptive Immune Response Based On Somatic Recombination Of Immune Receptors Built From Immunoglobulin Superfamily Domains (GO:0002824)	2/14	4.730694e-03	3.416317e-01	0	0	2.249320e+01	1.204215e+02	IL1B;JAK2
GO_Biological_Process_2023	Membrane Repolarization During Action Potential (GO:0086011)	2/15	5.431934e-03	3.416317e-01	0	0	2.076190e+01	1.082829e+02	KCNE5;KCNJ2
GO_Biological_Process_2023	Cellular Response To Mechanical Stimulus (GO:0071260)	3/48	5.484820e-03	3.416317e-01	0	0	9.043836e+00	4.708014e+01	IL1B;CASP1;FAS
GO_Biological_Process_2023	Regulation Of Defense Response (GO:0031347)	4/97	5.999573e-03	3.416317e-01	0	0	5.860734e+00	2.998391e+01	CASP1;CARD16;JAK2;NFE2L2
GO_Biological_Process_2023	Positive Regulation Of Leukocyte Proliferation (GO:0070665)	2/17	6.967409e-03	3.416317e-01	0	0	1.799184e+01	8.935667e+01	CSF2RB;JAK2
GO_Biological_Process_2023	Negative Regulation Of Lipid Catabolic Process (GO:0050995)	2/18	7.800263e-03	3.416317e-01	0	0	1.686650e+01	8.186319e+01	HCAR2;IL1B
GO_Biological_Process_2023	Membrane Repolarization (GO:0086009)	2/18	7.800263e-03	3.416317e-01	0	0	1.686650e+01	8.186319e+01	KCNE5;KCNJ2
GO_Biological_Process_2023	Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043122)	6/232	7.933131e-03	3.416317e-01	0	0	3.643480e+00	1.762245e+01	IL1B;PPM1N;CASP1;SECTM1;CARD16;TANK
GO_Biological_Process_2023	Mesoderm Development (GO:0007498)	2/19	8.675622e-03	3.416317e-01	0	0	1.587355e+01	7.535552e+01	SECTM1;JAK2
GO_Biological_Process_2023	Regulation Of Inflammatory Response (GO:0050727)	6/240	9.287412e-03	3.416317e-01	0	0	3.517483e+00	1.645864e+01	TNFAIP6;IL1B;CASP1;FFAR2;CARD16;JAK2
GO_Biological_Process_2023	Regulation Of Lipid Catabolic Process (GO:0050994)	2/23	1.258880e-02	3.416317e-01	0	0	1.284742e+01	5.620682e+01	HCAR2;IL1B
GO_Biological_Process_2023	Regulation Of Response To External Stimulus (GO:0032101)	4/127	1.509167e-02	3.416317e-01	0	0	4.424558e+00	1.855488e+01	CASP1;CARD16;JAK2;NFE2L2
GO_Biological_Process_2023	Negative Regulation Of Lipid Metabolic Process (GO:0045833)	2/26	1.593785e-02	3.416317e-01	0	0	1.123980e+01	4.652218e+01	HCAR2;IL1B
GO_Biological_Process_2023	Cardiac Muscle Cell Action Potential Involved In Contraction (GO:0086002)	2/30	2.092329e-02	3.416317e-01	0	0	9.632167e+00	3.724655e+01	KCNE5;KCNJ2
GO_Biological_Process_2023	Actin Filament Polymerization (GO:0030041)	2/31	2.225848e-02	3.416317e-01	0	0	9.299554e+00	3.538510e+01	PSTPIP2;JAK2
GO_Biological_Process_2023	Receptor Signaling Pathway Via STAT (GO:0097696)	2/31	2.225848e-02	3.416317e-01	0	0	9.299554e+00	3.538510e+01	CSF2RB;JAK2
GO_Biological_Process_2023	Regulation Of Interleukin-1 Beta Production (GO:0032651)	3/84	2.490236e-02	3.416317e-01	0	0	5.015221e+00	1.852017e+01	CASP1;CARD16;JAK2
GO_Biological_Process_2023	Action Potential (GO:0001508)	2/35	2.793698e-02	3.416317e-01	0	0	8.170686e+00	2.923312e+01	KCNE5;KCNJ2
GO_Biological_Process_2023	Cellular Response To Cytokine Stimulus (GO:0071345)	6/308	2.804185e-02	3.416317e-01	0	0	2.716019e+00	9.707208e+00	IL1B;CASP1;CSF2RB;JAK2;TANK;NFE2L2
GO_Biological_Process_2023	Receptor Signaling Pathway Via JAK-STAT (GO:0007259)	2/36	2.943820e-02	3.416317e-01	0	0	7.929972e+00	2.795682e+01	CSF2RB;JAK2
GO_Biological_Process_2023	Response To Lipopolysaccharide (GO:0032496)	4/159	3.126099e-02	3.416317e-01	0	0	3.505406e+00	1.214758e+01	IL1B;CASP1;CARD16;JAK2
GO_Biological_Process_2023	Regulation Of Nitric Oxide Biosynthetic Process (GO:0045428)	2/39	3.412881e-02	3.416317e-01	0	0	7.285898e+00	2.460895e+01	IL1B;JAK2
GO_Biological_Process_2023	PERK-mediated Unfolded Protein Response (GO:0036499)	1/5	3.670251e-02	3.416317e-01	0	0	3.352534e+01	1.107982e+02	NFE2L2
GO_Biological_Process_2023	Regulation Of Growth Hormone Receptor Signaling Pathway (GO:0060398)	1/5	3.670251e-02	3.416317e-01	0	0	3.352534e+01	1.107982e+02	JAK2
GO_Biological_Process_2023	Regulation Of Immature T Cell Proliferation In Thymus (GO:0033084)	1/5	3.670251e-02	3.416317e-01	0	0	3.352534e+01	1.107982e+02	IL1B
GO_Biological_Process_2023	Interleukin-5-Mediated Signaling Pathway (GO:0038043)	1/5	3.670251e-02	3.416317e-01	0	0	3.352534e+01	1.107982e+02	JAK2
GO_Biological_Process_2023	Leukocyte Apoptotic Process (GO:0071887)	1/5	3.670251e-02	3.416317e-01	0	0	3.352534e+01	1.107982e+02	HCAR2
GO_Biological_Process_2023	Leukocyte Chemotaxis Involved In Inflammatory Response (GO:0002232)	1/5	3.670251e-02	3.416317e-01	0	0	3.352534e+01	1.107982e+02	FFAR2
GO_Biological_Process_2023	Regulation Of Protein Deubiquitination (GO:0090085)	1/5	3.670251e-02	3.416317e-01	0	0	3.352534e+01	1.107982e+02	TANK
GO_Biological_Process_2023	Regulation Of Resting Membrane Potential (GO:0060075)	1/5	3.670251e-02	3.416317e-01	0	0	3.352534e+01	1.107982e+02	KCNJ2
GO_Biological_Process_2023	Positive Regulation Of NK T Cell Proliferation (GO:0051142)	1/5	3.670251e-02	3.416317e-01	0	0	3.352534e+01	1.107982e+02	JAK2
GO_Biological_Process_2023	Positive Regulation Of T-helper 1 Cell Cytokine Production (GO:2000556)	1/5	3.670251e-02	3.416317e-01	0	0	3.352534e+01	1.107982e+02	IL1B
GO_Biological_Process_2023	Regulation Of T-helper 1 Cell Cytokine Production (GO:2000554)	1/5	3.670251e-02	3.416317e-01	0	0	3.352534e+01	1.107982e+02	IL1B
GO_Biological_Process_2023	Regulation Of Calcidiol 1-Monooxygenase Activity (GO:0060558)	1/5	3.670251e-02	3.416317e-01	0	0	3.352534e+01	1.107982e+02	IL1B
GO_Biological_Process_2023	Regulation Of Heart Rate By Cardiac Conduction (GO:0086091)	2/41	3.740629e-02	3.416317e-01	0	0	6.911565e+00	2.271082e+01	KCNE5;KCNJ2
GO_Biological_Process_2023	Negative Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043124)	2/42	3.908858e-02	3.416317e-01	0	0	6.738435e+00	2.184550e+01	PPM1N;TANK
GO_Biological_Process_2023	Positive Regulation Of Humoral Immune Response (GO:0002922)	1/6	4.388085e-02	3.416317e-01	0	0	2.681892e+01	8.384338e+01	IL1B
GO_Biological_Process_2023	Positive Regulation Of Icosanoid Secretion (GO:0032305)	1/6	4.388085e-02	3.416317e-01	0	0	2.681892e+01	8.384338e+01	IL1B
