Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Cellular_Component_2023	Death-Inducing Signaling Complex (GO:0031264)	1/7	5.100605e-02	7.947802e-01	0	0	2.234797e+01	6.650334e+01	FAS
GO_Cellular_Component_2023	Serine C-palmitoyltransferase Complex (GO:0017059)	1/7	5.100605e-02	7.947802e-01	0	0	2.234797e+01	6.650334e+01	SPTSSA
GO_Cellular_Component_2023	Nuclear Inclusion Body (GO:0042405)	1/10	7.206676e-02	7.947802e-01	0	0	1.489640e+01	3.917994e+01	NBN
GO_Cellular_Component_2023	Voltage-Gated Potassium Channel Complex (GO:0008076)	2/73	1.029705e-01	7.947802e-01	0	0	3.790361e+00	8.616676e+00	KCNE5;KCNJ2
GO_Cellular_Component_2023	Protein Kinase Complex (GO:1902911)	1/17	1.194203e-01	7.947802e-01	0	0	8.376267e+00	1.780046e+01	TANK
GO_Cellular_Component_2023	Potassium Channel Complex (GO:0034705)	2/81	1.222739e-01	7.947802e-01	0	0	3.405149e+00	7.155894e+00	KCNE5;KCNJ2
GO_Cellular_Component_2023	Endosome Lumen (GO:0031904)	1/25	1.706056e-01	9.505167e-01	0	0	5.581926e+00	9.871083e+00	JAK2
GO_Cellular_Component_2023	Golgi Stack (GO:0005795)	1/31	2.070449e-01	9.946167e-01	0	0	4.464189e+00	7.030292e+00	LPCAT2
GO_Cellular_Component_2023	Cytoplasmic Side Of Plasma Membrane (GO:0009898)	2/124	2.360326e-01	9.946167e-01	0	0	2.200178e+00	3.176586e+00	SOCS3;JAK2
GO_Cellular_Component_2023	Tertiary Granule Lumen (GO:1904724)	1/53	3.275620e-01	9.946167e-01	0	0	2.572635e+00	2.871261e+00	TNFAIP6
GO_Cellular_Component_2023	Membrane Raft (GO:0045121)	2/169	3.593293e-01	9.946167e-01	0	0	1.603650e+00	1.641361e+00	FAS;JAK2
