Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Molecular_Function_2023	Caspase Binding (GO:0089720)	2/13	4.074718e-03	1.434977e-01	0	0	2.453927e+01	1.350385e+02	CASP1;CARD16
GO_Molecular_Function_2023	CARD Domain Binding (GO:0050700)	2/13	4.074718e-03	1.434977e-01	0	0	2.453927e+01	1.350385e+02	CASP1;CARD16
GO_Molecular_Function_2023	Voltage-Gated Potassium Channel Activity Involved In Cardiac Muscle Cell Action Potential Repolarization (GO:0086008)	2/14	4.730694e-03	1.434977e-01	0	0	2.249320e+01	1.204215e+02	KCNE5;KCNJ2
GO_Molecular_Function_2023	1-Acylglycerophosphocholine O-acyltransferase Activity (GO:0047184)	1/5	3.670251e-02	4.282066e-01	0	0	3.352534e+01	1.107982e+02	LPCAT2
GO_Molecular_Function_2023	Protein Tyrosine Kinase Inhibitor Activity (GO:0030292)	1/6	4.388085e-02	4.282066e-01	0	0	2.681892e+01	8.384338e+01	SOCS3
GO_Molecular_Function_2023	2-Acylglycerol-3-Phosphate O-acyltransferase Activity (GO:0047144)	1/7	5.100605e-02	4.282066e-01	0	0	2.234797e+01	6.650334e+01	LPCAT2
GO_Molecular_Function_2023	O-acetyltransferase Activity (GO:0016413)	1/7	5.100605e-02	4.282066e-01	0	0	2.234797e+01	6.650334e+01	LPCAT2
GO_Molecular_Function_2023	Androsterone Dehydrogenase Activity (GO:0047023)	1/7	5.100605e-02	4.282066e-01	0	0	2.234797e+01	6.650334e+01	RDH16
GO_Molecular_Function_2023	Lysophospholipid Acyltransferase Activity (GO:0071617)	1/8	5.807852e-02	4.282066e-01	0	0	1.915444e+01	5.451276e+01	LPCAT2
GO_Molecular_Function_2023	Growth Hormone Receptor Binding (GO:0005131)	1/8	5.807852e-02	4.282066e-01	0	0	1.915444e+01	5.451276e+01	JAK2
GO_Molecular_Function_2023	Tumor Necrosis Factor Receptor Activity (GO:0005031)	1/8	5.807852e-02	4.282066e-01	0	0	1.915444e+01	5.451276e+01	FAS
GO_Molecular_Function_2023	Histone H3 Kinase Activity (GO:0140996)	1/9	6.509863e-02	4.282066e-01	0	0	1.675929e+01	4.578390e+01	JAK2
GO_Molecular_Function_2023	Interleukin-1 Receptor Binding (GO:0005149)	1/9	6.509863e-02	4.282066e-01	0	0	1.675929e+01	4.578390e+01	IL1B
GO_Molecular_Function_2023	Death Receptor Activity (GO:0005035)	1/11	7.898331e-02	4.282066e-01	0	0	1.340608e+01	3.403159e+01	FAS
GO_Molecular_Function_2023	Voltage-Gated Potassium Channel Activity Involved In Ventricular Cardiac Muscle Cell Action Potential Repolarization (GO:1902282)	1/11	7.898331e-02	4.282066e-01	0	0	1.340608e+01	3.403159e+01	KCNE5
GO_Molecular_Function_2023	Cysteine-Type Peptidase Activity (GO:0008234)	3/144	9.281734e-02	4.282066e-01	0	0	2.872340e+00	6.827903e+00	VCPIP1;CASP1;TANK
GO_Molecular_Function_2023	1-Phosphatidylinositol-3-Kinase Regulator Activity (GO:0046935)	1/14	9.942720e-02	4.282066e-01	0	0	1.031081e+01	2.380075e+01	SOCS3
GO_Molecular_Function_2023	Hyaluronic Acid Binding (GO:0005540)	1/14	9.942720e-02	4.282066e-01	0	0	1.031081e+01	2.380075e+01	TNFAIP6
GO_Molecular_Function_2023	Endopeptidase Activator Activity (GO:0061133)	1/14	9.942720e-02	4.282066e-01	0	0	1.031081e+01	2.380075e+01	CASP1
GO_Molecular_Function_2023	Calcium-Dependent Cysteine-Type Endopeptidase Activity (GO:0004198)	1/14	9.942720e-02	4.282066e-01	0	0	1.031081e+01	2.380075e+01	CAPNS2
GO_Molecular_Function_2023	Phosphatidylinositol 3-Kinase Regulator Activity (GO:0035014)	1/17	1.194203e-01	4.282066e-01	0	0	8.376267e+00	1.780046e+01	SOCS3
GO_Molecular_Function_2023	Voltage-Gated Potassium Channel Activity (GO:0005249)	2/80	1.198142e-01	4.282066e-01	0	0	3.448980e+00	7.318089e+00	KCNE5;KCNJ2
GO_Molecular_Function_2023	Hormone Receptor Binding (GO:0051427)	1/18	1.259862e-01	4.282066e-01	0	0	7.883148e+00	1.633060e+01	JAK2
GO_Molecular_Function_2023	1-Acylglycerol-3-Phosphate O-acyltransferase Activity (GO:0003841)	1/19	1.325034e-01	4.282066e-01	0	0	7.444820e+00	1.504707e+01	LPCAT2
GO_Molecular_Function_2023	NAD-retinol Dehydrogenase Activity (GO:0004745)	1/19	1.325034e-01	4.282066e-01	0	0	7.444820e+00	1.504707e+01	RDH16
GO_Molecular_Function_2023	Heme Binding (GO:0020037)	2/87	1.372805e-01	4.282066e-01	0	0	3.163826e+00	6.282501e+00	JAK2;NFE2L2
GO_Molecular_Function_2023	Lysophosphatidic Acid Acyltransferase Activity (GO:0042171)	1/20	1.389724e-01	4.282066e-01	0	0	7.052632e+00	1.391823e+01	LPCAT2
GO_Molecular_Function_2023	Cysteine-Type Endopeptidase Activator Activity Involved In Apoptotic Process (GO:0008656)	1/20	1.389724e-01	4.282066e-01	0	0	7.052632e+00	1.391823e+01	CASP1
GO_Molecular_Function_2023	Steroid Dehydrogenase Activity, Acting On The CH-OH Group Of Donors, NAD Or NADP As Acceptor (GO:0033764)	1/22	1.517670e-01	4.282066e-01	0	0	6.380309e+00	1.202949e+01	RDH16
GO_Molecular_Function_2023	Peptidase Activator Activity Involved In Apoptotic Process (GO:0016505)	1/22	1.517670e-01	4.282066e-01	0	0	6.380309e+00	1.202949e+01	CASP1
GO_Molecular_Function_2023	Cysteine-Type Endopeptidase Inhibitor Activity (GO:0004869)	1/22	1.517670e-01	4.282066e-01	0	0	6.380309e+00	1.202949e+01	CARD16
GO_Molecular_Function_2023	Growth Factor Receptor Binding (GO:0070851)	2/96	1.604819e-01	4.282066e-01	0	0	2.859603e+00	5.231857e+00	IL1B;JAK2
GO_Molecular_Function_2023	Peptidase Activator Activity (GO:0016504)	1/24	1.643727e-01	4.282066e-01	0	0	5.824912e+00	1.051757e+01	TANK
GO_Molecular_Function_2023	Cysteine-Type Deubiquitinase Activity (GO:0004843)	2/98	1.657328e-01	4.282066e-01	0	0	2.799745e+00	5.032201e+00	VCPIP1;TANK
GO_Molecular_Function_2023	Phosphatidylinositol-3,4-Bisphosphate Binding (GO:0043325)	1/25	1.706056e-01	4.282066e-01	0	0	5.581926e+00	9.871083e+00	DAPP1
GO_Molecular_Function_2023	Cytokine Receptor Binding (GO:0005126)	2/100	1.710136e-01	4.282066e-01	0	0	2.742330e+00	4.842987e+00	IL1B;JAK2
GO_Molecular_Function_2023	Inward Rectifier Potassium Channel Activity (GO:0005242)	1/26	1.767923e-01	4.282066e-01	0	0	5.358378e+00	9.284890e+00	KCNJ2
GO_Molecular_Function_2023	Cysteine-Type Endopeptidase Activity (GO:0004197)	2/106	1.870159e-01	4.282066e-01	0	0	2.583333e+00	4.331118e+00	CAPNS2;CASP1
GO_Molecular_Function_2023	Kinase Activity (GO:0016301)	2/106	1.870159e-01	4.282066e-01	0	0	2.583333e+00	4.331118e+00	SEPHS2;GK3
