Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Mitochondrial Translation (GO:0032543)	73/98	4.109026e-17	2.009314e-13	0	0	5.990432e+00	2.260236e+02	MRPS17;GFM1;MRPS15;MRPS16;FASTKD2;MRPS14;MRPS11;MRPS12;MRPL39;MRPS10;MRPL36;MRPL37;MRPL34;MRPL35;MRPL41;MRPL42;MTRF1;MRPL2;MRPL1;MRPL9;EARS2;RARS2;MRPS28;TSFM;MRPS26;MRPS27;MRPS24;MRPS25;MRPS23;MRPS18B;MRPS18A;MRPS2;MRPL48;MRPL45;MRPS7;QRSL1;MRPL46;MRPS6;MRPL43;MRPS5;TUFM;MRPL52;MRPL53;MRPS9;MRPL51;DAP3;MRPL18;MRPL19;MRPS34;MRPL16;MRPL17;MRPL14;MRPL58;MTIF2;MRPS30;MRPL12;MRPL57;MRPL54;MRPL11;MRPL55;MRPL20;IARS2;GADD45GIP1;PTCD3;HARS1;NDUFA7;MRPL27;GATC;GATB;MRPL23;MRPL21;MRPL22;MRPL30
GO_Biological_Process_2023	Mitochondrial Gene Expression (GO:0140053)	75/103	1.314517e-16	3.213995e-13	0	0	5.495590e+00	2.009622e+02	MRPS17;MRPS15;MRPS16;FASTKD2;MRPS14;MRPS11;MRPS12;MRPL39;MRPS10;MRPL36;MRPL37;MRPL34;MRPL35;MRPL41;MRPL42;MRPL2;MRPL1;FASTK;MRPL9;RARS2;MRPS28;MRPS26;MRPS27;MRPS24;MRPS25;MRPS23;TWNK;MRPS18B;MRPS18A;MRPS2;MRPL48;TFB2M;MRPL45;MRPS7;QRSL1;MRPL46;MRPS6;MRPL43;MRPS5;MRPL52;MRPL53;MRPS9;MRPL51;TFAM;DAP3;MRPL18;MRPL19;MRPS34;MRPL16;MRPL17;MRPL14;MRPL58;MRPS30;MRPL12;MRPL57;MRPL54;MRPL11;MRPL55;TBRG4;MRPL20;IARS2;GADD45GIP1;PTCD3;HARS1;NDUFA7;MTERF3;MTERF4;MRPL27;GATC;GATB;MRPL23;MRPL21;MRPL22;MRPL30;SLC25A33
GO_Biological_Process_2023	Translation (GO:0006412)	128/234	5.149328e-12	8.393404e-09	0	0	2.483249e+00	6.454499e+01	RPL4;RPL5;RPLP0P6;RPL3;RPL32;RPL8;APEH;RPL10A;YARS2;RPS15;RPS14;RPS19;NARS1;RPL36AL;RPL36;RPS11;RPS13;RARS2;RPS9;RPS8;RPS5;MRPS18B;MRPS18A;RPSA;TUFM;EEF1A1;LARS1;RPL28;DAP3;MRPL18;EIF5A2;MRPL19;MRPL16;MRPL17;MRPL14;MRPL12;RPS4Y1;GSPT1;MRPL11;MRPL20;HARS1;MRPL27;MRPL23;EEF2;MRPL21;MRPL22;MRPL30;RPS26;RPS28;EPRS1;RPL27A;MRPS17;HBS1L;MRPS15;MRPS16;FASTKD2;MRPS14;MRPS11;MRPS12;RPLP0;MRPL39;MRPS10;MRPL36;MRPL37;MRPL34;MRPL35;FARS2;MRPL41;RPS4X;MRPL42;RPL7A;MRPL2;MRPL1;QARS1;RACK1;RPLP2;MRPL9;MRPS28;EIF5A;TSFM;MRPS26;MRPS27;MRPS24;MRPS25;MARS2;MRPS23;MRPS2;RPL13A;MRPL48;MRPL45;MRPS7;QRSL1;MRPL46;MRPS6;MRPL43;MRPS5;DARS1;MRPL52;EEF1G;MRPL53;MRPS9;SARS1;MRPL51;RPL37A;RPL10;RPL12;MRPS34;MRPL58;MRPS30;MRPL57;MRPL54;MRPL55;RPL14;RPS3;IARS2;RPL15;RPS2;IARS1;RPL18;GADD45GIP1;PTCD3;NDUFA7;GATC;GATB;WARS2;RPS6KB2;DRG1;FAU
GO_Biological_Process_2023	Mitochondrial Respiratory Chain Complex Assembly (GO:0033108)	55/90	3.953745e-08	4.833454e-05	0	0	3.212538e+00	5.476098e+01	NDUFA13;NDUFA11;NDUFA10;TMEM186;CHCHD4;TMEM223;AIFM1;CHCHD7;UQCRFS1;COA8;COA5;NDUFC1;TIMM21;BCS1L;OXA1L;NDUFS8;NDUFS7;SCO1;SDHAF1;NDUFS3;SMIM20;NDUFB9;NDUFB8;NDUFB7;NDUFB10;NDUFB11;NDUFB5;COX18;NDUFB4;COX17;PET117;SAMM50;NDUFA9;COA3;NDUFA8;COA1;UQCC3;NUBPL;UQCC2;NDUFA3;UQCC1;NDUFA2;UQCC6;UQCC5;UQCC4;TTC19;NDUFAF8;NDUFAF6;LYRM7;NDUFAB1;NDUFAF5;NDUFAF2;NDUFAF3;SLC25A33;COX20
GO_Biological_Process_2023	tRNA Modification (GO:0006400)	43/67	1.624606e-07	1.340950e-04	0	0	3.659080e+00	5.720178e+01	TRUB1;METTL2B;MOCS3;ANKRD16;OSGEPL1;TRMO;WDR4;THUMPD2;THUMPD3;THUMPD1;THADA;MTO1;OSGEP;ALKBH8;DTWD2;DTWD1;TRMT112;TYW1;LCMT2;DUS4L;METTL8;PUSL1;SSB;METTL1;NSUN2;TYW3;KTI12;CDKAL1;NSUN6;TYW1B;PUS7;ELP5;TRIT1;GTPBP3;TARBP1;QTRT2;SARS1;TRMT6;TRMT12;TRMT13;DUS1L;DUS3L;TRMT61A
GO_Biological_Process_2023	Ribosomal Small Subunit Biogenesis (GO:0042274)	51/84	1.645338e-07	1.340950e-04	0	0	3.157980e+00	4.932811e+01	LTV1;MRPS11;WDR3;MRPS12;FCF1;C1ORF131;WDR46;WDR43;RRP9;RPS15;RPS4X;RPS14;RPS19;RIOK1;RPS11;RPS13;UTP15;NOM1;RPS9;WDR36;RRP7BP;UTP11;DIMT1;RPS8;RPS5;NGDN;WDR75;RPSA;DDX52;MRPS7;UTP18;SRFBP1;TSR3;NOL7;SNU13;RRP7A;EMG1;EXOSC10;BMS1;RRP36;SURF6;NOP56;NOP58;NPM1;UTP3;ERAL1;RCL1;RPS28;LSM6;MPHOSPH10;NOL11
GO_Biological_Process_2023	Ribosome Biogenesis (GO:0042254)	82/155	2.250417e-07	1.572077e-04	0	0	2.299351e+00	3.519612e+01	LTV1;RPL5;DDX49;DDX47;NVL;POP4;WDR3;MRPS12;FCF1;C1ORF131;MRPL36;WDR46;WDR43;RRP9;RPS15;RPS4X;RPS14;XPO1;RPS19;RIOK1;RPS11;RPS13;UTP15;NOM1;RPS9;WDR36;RRP7BP;UTP11;DIMT1;RPS8;PIH1D1;RPS5;NGDN;GTF3A;DDX10;WDR75;URB2;UTP18;GTPBP4;EBNA1BP2;DKC1;GRWD1;MRTO4;DDX27;NIP7;NOL7;NOL8;SNU13;RPF2;SDAD1;MRM2;TMA16;RRP7A;EXOSC7;EMG1;EXOSC5;EXOSC10;BMS1;EXOSC9;PES1;RRS1;RPL14;SURF6;HEATR3;RRP36;EXOSC3;EXOSC2;NOP56;NOP58;NPM1;NOP16;UTP3;WDR18;LTO1;WDR12;MRPL22;BYSL;RCL1;RPS28;MPHOSPH10;PIN4;DHX29
GO_Biological_Process_2023	Ribonucleoprotein Complex Biogenesis (GO:0022613)	65/118	5.956333e-07	3.640808e-04	0	0	2.507671e+00	3.594406e+01	LTV1;RPL5;NVL;WDR3;MRPS12;FCF1;C1ORF131;MRPL36;WDR46;WDR43;RRP9;RPS15;RPS4X;RPS14;XPO1;RPS19;RIOK1;RPS11;RPS13;UTP15;NOM1;RPS9;WDR36;UTP11;DIMT1;RPS8;RPS5;NGDN;GTF3A;WDR75;URB2;UTP18;GTPBP4;EBNA1BP2;SHQ1;GRWD1;MRTO4;NIP7;NOL7;SNU13;RPF2;SDAD1;TMA16;RRP7A;EMG1;EXOSC10;BMS1;PES1;TGS1;RRS1;RPL14;SURF6;HEATR3;RRP36;NOP56;NOP58;NPM1;NOP16;UTP3;LTO1;WDR12;BYSL;RCL1;RPS28;MPHOSPH10
GO_Biological_Process_2023	tRNA Processing (GO:0008033)	33/50	1.758999e-06	9.557229e-04	0	0	3.960450e+00	5.247899e+01	TRUB1;METTL2B;POP7;ANKRD16;POP1;KARS1;RPP30;DDX1;WDR4;ZBTB8OS;THUMPD1;TSEN2;OSGEP;FARS2;DTWD2;DTWD1;LCMT2;RTRAF;SSB;METTL1;ELAC2;NSUN2;ELAC1;RPP40;TRPT1;KTI12;NSUN6;ELP5;TRIT1;SARS1;RPP21;FAM98B;FAM98A
GO_Biological_Process_2023	RNA Methylation (GO:0001510)	38/62	4.406808e-06	2.154929e-03	0	0	3.231140e+00	3.984758e+01	METTL2B;TRMO;MEPCE;THUMPD2;THUMPD3;THADA;TFB1M;MTO1;MRM2;TRMT112;RBM15B;HENMT1;SNRPD1;TGS1;LCMT2;SNRPD3;METTL8;ZC3H13;RBM15;DIMT1;METTL1;NSUN2;TYW3;METTL3;NSUN6;TFB2M;FTSJ3;GTPBP3;TARBP1;TRMT6;TRMT12;TRMT13;SNRPF;ZCCHC4;CBLL1;TRMT61A;TRMT61B;SNRPB
GO_Biological_Process_2023	RNA Modification (GO:0009451)	32/51	1.242666e-05	5.524215e-03	0	0	3.435143e+00	3.880223e+01	TRUB1;METTL2B;AARS1;ANKRD16;WDR4;MEPCE;TSR3;PARN;THUMPD1;TFB1M;MRM1;MRM2;OSGEP;DTWD2;DTWD1;RBM15B;HENMT1;LCMT2;RBM15;SSB;APOBEC3G;METTL1;NSUN2;METTL3;KTI12;NSUN6;PUS7;ELP5;HNRNPAB;TRIT1;FTSJ3;SARS1
