Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Cellular_Component_2023	Mitochondrial Inner Membrane (GO:0005743)	202/370	5.080391e-18	2.230292e-15	0	0	2.489585e+00	9.913812e+01	PHB1;MICOS13;LGALS3;MPV17;ACAD11;ENDOG;MRPS18B;MRPS18A;BCS1L;CLPX;AFG3L2;COX7A2L;SCO1;SHMT2;MRPL18;MRPL19;MRPL16;MRPL17;MRPL14;MRPL12;MRPL11;APOO;MRPL20;RDH13;DMAC2L;MRPL27;MRPL23;MRPL21;MRPL22;MRPL30;NDUFAF6;NDUFAF5;NDUFAF2;NDUFAF3;SFXN1;MRPS17;MRS2;MRPS15;MRPS16;MRPS14;MRPS11;MRPS12;MRPL39;MRPS10;MRPL36;MRPL37;MRPL34;MRPL35;TMEM186;MRPL41;MRPL42;AIFM3;IMMP2L;AIFM1;NNT;FLVCR1;MRPS28;MRPS26;MRPS27;TIMM29;MRPS24;MRPS25;ACAD9;MRPS23;MRPS2;TIMM23;TIMM22;MRPL48;MRPL45;MRPS7;MRPL46;MRPS6;MRPL43;MRPS5;MRPL52;TMEM177;HADHA;IMMP1L;MRPL53;MRPS9;MRPL51;MICU3;PGAM5;TOMM40;MRPS34;TIMM13;MRPL58;TMEM160;UQCR11;MRPS30;UQCR10;MRPL57;MRPL54;MRPL55;ATP5F1A;ATP5F1B;RPS3;ATP5PD;AGK;NDUFAB1;NDUFA13;NDUFA11;NDUFA12;NDUFA10;MPV17L2;CHCHD3;MPC1;CHCHD6;PMPCB;SDHA;ATAD3A;SLC9B2;SLC25A51;DAP3;NDUFB10;NDUFB11;COX18;SLC41A3;ATP5MC2;PSEN2;ATP5MC3;MTLN;ATP5MC1;RCC1L;TIMM50;TMEM242;COX11;CYC1;NDUFV3;NDUFV2;PRODH;NDUFV1;ATP5MF;COX10;DNAJC19;COA3;COA1;UQCC3;UQCC2;UQCC1;UQCC6;TIMM44;UQCC5;COQ9;UQCC4;CRLS1;COQ6;COQ4;COQ3;CYCS;COX20;SLC25A1;MCUR1;SLC25A3;COX4I1;MAIP1;MRPL2;TMEM223;MRPL1;OPA1;TIMM17A;UQCRFS1;MRPL9;COA8;CCDC51;NDUFC1;SLC25A16;SLC25A15;NDUFS6;NOA1;SLC25A19;NDUFS3;SLC25A10;SLC25A12;SLC25A5;SLC25A4;SMIM20;SLC25A14;SLC25A13;NDUFB9;NDUFB8;STOML2;NDUFB7;MTFP1;NDUFB5;NDUFB4;SPG7;PARL;HSPD1;SLC25A26;SLC25A21;GADD45GIP1;PTCD3;NDUFA8;NDUFA7;NDUFA3;NDUFA2;IMMT;TTC19;DHODH;SLC25A38;SLC25A32
GO_Cellular_Component_2023	Organelle Inner Membrane (GO:0019866)	208/398	9.138841e-16	2.005976e-13	0	0	2.265061e+00	7.843642e+01	PHB1;DPY19L2P2;MICOS13;LGALS3;MPV17;ACAD11;ENDOG;MRPS18B;MRPS18A;BCS1L;CLPX;AFG3L2;COX7A2L;SCO1;SHMT2;MRPL18;MRPL19;MRPL16;MRPL17;MRPL14;MRPL12;MRPL11;GHRHR;MRPL20;APOO;RDH13;DMAC2L;MRPL27;MRPL23;MRPL21;MRPL22;MRPL30;NDUFAF6;NDUFAF5;NDUFAF2;NDUFAF3;SFXN1;MRPS17;MRS2;MRPS15;MRPS16;MRPS14;MRPS11;MRPS12;MRPL39;MRPS10;MRPL36;MRPL37;MRPL34;MRPL35;TMEM186;MRPL41;MRPL42;AIFM3;IMMP2L;AIFM1;NNT;FLVCR1;MRPS28;MRPS26;TIMM29;MRPS27;MRPS24;MRPS25;ACAD9;MRPS23;TIMM23;MRPS2;TIMM22;MRPL48;MRPL45;MRPS7;MRPL46;SIRT1;MRPS6;MRPL43;MRPS5;MRPL52;TMEM177;HADHA;MRPL53;IMMP1L;MRPS9;MRPL51;PGAM5;MICU3;TOMM40;MRPS34;TIMM13;MRPL58;TMEM160;UQCR11;MRPS30;UQCR10;MRPL57;MRPL54;MRPL55;ATP5F1A;ATP5F1B;RPS3;ATP5PD;AGK;DPY19L1;DPY19L2;DPY19L4;NDUFAB1;NDUFA13;NDUFA11;NDUFA12;NDUFA10;MPV17L2;TM7SF2;CHCHD3;MPC1;CHCHD6;PMPCB;SDHA;ATAD3A;SLC9B2;SLC25A51;DAP3;NDUFB10;NDUFB11;COX18;SLC41A3;ATP5MC2;PSEN2;ATP5MC3;MTLN;RCC1L;ATP5MC1;TIMM50;TMEM242;COX11;CYC1;NDUFV3;NDUFV2;PRODH;NDUFV1;ATP5MF;COX10;DNAJC19;COA3;COA1;UQCC3;UQCC2;UQCC1;UQCC6;TIMM44;UQCC5;COQ9;UQCC4;CRLS1;COQ6;COQ4;COQ3;CYCS;COX20;SLC25A1;SLC25A3;MCUR1;COX4I1;MAIP1;MRPL2;TMEM223;MRPL1;OPA1;TIMM17A;UQCRFS1;MRPL9;CCDC51;NDUFC1;SUN5;SLC25A16;SLC25A15;SLC25A19;NDUFS6;NDUFS3;SLC25A10;SLC25A12;SLC25A5;SLC25A4;SMIM20;SLC25A14;SLC25A13;NDUFB9;NDUFB8;STOML2;NDUFB7;MTFP1;NDUFB5;NDUFB4;SPG7;PARL;HSPD1;SLC25A26;SLC25A21;GADD45GIP1;PTCD3;NDUFA8;NDUFA7;NDUFA3;NDUFA2;IMMT;TTC19;DHODH;SLC25A38;SLC25A32
GO_Cellular_Component_2023	Mitochondrial Membrane (GO:0031966)	264/540	6.446201e-15	9.432941e-13	0	0	1.983600e+00	6.481471e+01	PHB1;MICOS13;LGALS3;MPV17;ACAD11;ENDOG;STARD7;MRPS18B;MRPS18A;BCS1L;CLPX;AFG3L2;COX7A2L;SCO1;VDAC3;VDAC2;VDAC1;MAOB;ABCB7;SHMT2;MRPL18;MRPL19;MRPL16;MRPL17;MRPL14;MRPL12;MRPL11;MRPL20;APOO;RDH13;DMAC2L;FIS1;MTERF3;MRPL27;RMDN3;MRPL23;MRPL21;MRPL22;MRPL30;NDUFAF6;NDUFAF5;NDUFAF2;NDUFAF3;SFXN1;SFXN2;MRPS17;MRS2;MRPS15;MRPS16;SLC44A1;MRPS14;MRPS11;MRPS12;MRPL39;MRPS10;MRPL36;MRPL37;MRPL34;MRPL35;TMEM186;MRPL41;MRPL42;AIFM3;IMMP2L;HINT2;AIFM1;NNT;FLVCR1;C19ORF12;MRPS28;TOMM70;MRPS26;TIMM29;MRPS27;MRPS24;MRPS25;ACAD9;MRPS23;TIMM23;MRPS2;TIMM22;MRPL48;MRPL45;MRPS7;MRPL46;MRPS6;MRPL43;MRPS5;MRPL52;TMEM177;HADHA;MRPL53;IMMP1L;MRPS9;MRPL51;PGAM5;MICU3;FATE1;TOMM40;MRPS34;TIMM13;MIEF2;MRPL58;TMEM160;UQCR11;MRPS30;UQCR10;MRPL57;MRPL54;MRPL55;ATP5F1A;PGRMC1;ATP5F1B;SAMM50;RPS3;C11ORF65;ATP5PD;AGK;SYNJ2BP;SLC8A3;GPAM;LYRM7;NDUFAB1;TOMM5;MTCH2;KIF28P;NDUFA13;NDUFA11;NDUFA12;NDUFA10;MPV17L2;TOMM20;TOMM22;CHCHD3;MPC1;CHCHD6;PMPCB;TMEM14A;TMEM14B;TOMM34;KMO;SDHA;ATAD3A;SLC9B2;TUFM;OXA1L;SLC25A51;DAP3;NDUFB10;NDUFB11;COX18;SLC41A3;ATP5MC2;PSEN2;ATP5MC3;MTLN;RCC1L;ATP5MC1;TIMM50;TMEM242;ATXN3;UBB;COX11;CYC1;NDUFV3;NDUFV2;PRODH;NDUFV1;ATP5MF;COX10;DNAJC19;COA3;MOAP1;COA1;UQCC3;UQCC2;UQCC1;UQCC6;TIMM44;UQCC5;COQ9;UQCC4;CRLS1;COQ6;COQ4;COQ3;BCL2;SPIRE1;CYCS;GALK2;COX20;SLC25A1;SLC25A3;ACADVL;MCUR1;COX4I1;MAIP1;NGRN;MRPL2;TMEM223;MRPL1;OPA1;FUNDC1;TIMM17A;UQCRFS1;MRPL9;DNM1L;CCDC51;VPS13C;PLA2G4C;VPS13A;NDUFC1;NIPSNAP2;SLC25A16;QTRT2;SLC25A15;HAX1;SLC25A19;NDUFS6;NDUFS3;SLC25A10;SLC25A12;SLC25A5;SLC25A4;SMIM20;SLC25A14;SLC25A13;AGPAT5;NDUFB9;NDUFB8;STOML2;NDUFB7;MTFP1;NDUFB5;NDUFB4;AFG1L;SPG7;BPHL;PARL;AGPAT4;HSPD1;SLC25A26;BNIP1;SLC25A21;CYB5B;GADD45GIP1;NDUFA9;PTCD3;CYB5A;NDUFA8;NDUFA7;NDUFA3;BNIP3;NDUFA2;IMMT;GDAP1;IRGM;TTC19;DHODH;SLC25A38;SLC25A37;SLC25A32;LPIN1;SLC25A33
GO_Cellular_Component_2023	Mitochondrial Matrix (GO:0005759)	187/355	9.622785e-15	1.056101e-12	0	0	2.299320e+00	7.420973e+01	DMGDH;ISCA2;ACAA2;ECI1;PRORP;NUDT1;NUDT2;ALKBH7;YARS2;GLS;GCSH;HYKK;FDXR;LONP1;FOXO3B;MTERF1;PDK2;NUDT13;MCCC2;RARS2;PDHX;MECR;GPT2;MCCC1;CLPX;OXA1L;BTD;POLG2;LACTB2;PDE12;BOLA3;CLPP;ETHE1;MTHFD2L;ACOT2;FDX2;SUCLG2;TFAM;LIPT2;GCDH;LIPT1;SHMT2;MRPL18;ARL2;MRPL14;LIAS;MRPL11;MRPL20;ATXN3;GRPEL2;HTD2;DNAJC19;MPST;PDHA1;MTERF2;UQCC2;ADHFE1;MTERF4;GOT2;IDH2;PYCR2;TIMM44;ERAL1;DNAJC15;ACADSB;MCAT;ACSF3;ACSF2;GLUD1;COQ3;ALDH6A1;ARL2BP;CPS1;PYROXD2;ARHGAP11B;GFM1;ACADVL;HIBADH;FASTKD2;MRPS14;MRPS12;MRPL39;ETFA;MRPL37;MRPL34;TFB1M;MRPL35;MAIP1;FARS2;MCEE;AUH;QARS1;CA5B;C1QBP;FASTK;DBT;IDH3B;ME3;DLAT;MRPL9;ACADS;METTL15;AASS;HIBCH;IDH3A;POLG;BCKDHA;TSFM;ARG2;ELAC2;MARS2;BCKDHB;TWNK;SIRT4;DARS2;MRPL48;TFB2M;MRPL43;SIRT3;SUPV3L1;HADHA;MRPL51;NDUFS8;SARS2;NDUFS7;PCCA;TST;PCCB;NDUFS3;FXN;FH;NDUFB8;ECHS1;NAXE;KARS1;GLS2;IBA57;MRPL58;PDHB;HSD17B8;MRPL57;HSD17B10;MRM1;MRM2;HSPD1;MRM3;PRIMPOL;TBRG4;ATP5F1A;ATP5F1B;ALDH1B1;OXCT1;RPS3;PDSS2;NT5M;IARS2;BCO2;CBR4;GADD45GIP1;NDUFA9;NDUFA7;MMAA;NUBPL;IDH3G;NMNAT3;HSPE1;TRIT1;SOD1;WARS2;ALDH4A1;NUDT9;PDP1;GSTZ1;PDP2;MTRES1;SUCLA2;KRT17;LYRM4;TRMT5;DNAJA3;LYRM7;NDUFAB1;SARDH;NAGS;NAXD;SSBP1;TRMT61B
GO_Cellular_Component_2023	Nucleolus (GO:0005730)	303/771	9.834019e-05	8.634268e-03	0	0	1.331195e+00	1.228304e+01	RPL4;POP5;RPL5;POP7;RPL3;POP1;POP4;GORAB;EIF4A3;RRP1;FCF1;THUMPD3;GPATCH4;HNRNPR;PWP1;RRP8;RRP9;SMC2;ALKBH2;RPS14;ENDOV;RPS19;RPL36;HABP4;ARFIP2;RPS11;SKP2;RPS13;ABT1;TSPYL1;METTL1;PIH1D1;NGDN;WDR75;P3H4;HDHD3;MIF4GD;GTPBP4;ZNF16;COX7A2L;EID3;GRWD1;LETMD1;L3MBTL1;SLBP;L3MBTL3;DHX9;PRKRIP1;TXK;CD1E;SNU13;RPAP2;ANAPC11;RRP7A;FXR1;DSN1;RRS1;SURF6;HTD2;SPTBN1;SRPK2;ARL14EP;XRCC6;SURF2;XNDC1N;UPF3B;UPF3A;ELL3;PUM3;POLA1;ZZZ3;STAG3;INTS4;RAD17;MPHOSPH10;NOL10;ATM;MAGED2;NOL11;CEP85;TOP2B;MRPS15;TUT4;SUV39H1;STON2;KRI1;WDR46;WDR43;COIL;AKAP11;XPO1;NKRF;UBXN8;UTP14A;PRMT6;DFFB;WDR36;MRPS27;PARP1;PARP2;NSUN2;AEN;MED27;GNL2;TERF1;SIRT1;UCHL5;GCFC2;GPRC5B;MRPS9;KIF2A;FRG1;ZNF593;CIPC;NIP7;NOL7;NOL8;SDAD1;GNAI1;EXOSC7;EXOSC6;EXOSC5;RBM15B;EXOSC10;EXOSC9;PES1;RPS3;RRP36;RPS2;EXOSC3;RPL18;EXOSC2;EXOSC1;NPM1;UTP3;MEAK7;ELP3;NPM3;WDR12;APTX;NLE1;BYSL;RSL1D1;CENPH;APEX1;KLHL7;SNX15;TTC3;TSR1;TCEA1;CIAPIN1;CENPP;MPHOSPH6;ZNF330;ZNF692;FBXO25;RORA;NUCKS1;CDC14A;CDC14B;RDM1;PPP1CC;RBMX2;MACROD2;NEPRO;ZNF202;PHLDA1;RPP38;NOM1;RPS9;DIMT1;SLC30A5;CD180;CASK;ZBTB33;CYB561A3;SDHA;ILF2;FTSJ3;EEF1A1;EBNA1BP2;SHQ1;DKC1;FANCD2;MORF4L2;NCL;MRTO4;GEMIN4;CMPK1;SRSF5;ZNF554;ZCCHC8;INO80B;ZCCHC7;BLM;INO80E;DDX5;UTP23;ARL2;AK5;PKMYT1;RPF2;ATXN3;EMG1;DDRGK1;OARD1;DNAJC21;MBIP;CAMTA1;BRIX1;ZC3H14;COX10;PDHA1;NOP16;ZBTB14;CCDC137;PYM1;FANCG;RCL1;CDK8;LSM6;CPS1;RIOX1;MOB2;RIOX2;PIN4;ZNF655;BRWD1;ZCCHC4;ZNF771;ACADVL;MCM7;DDX47;NVL;CDCA7L;WDR3;PINX1;LDB2;MYSM1;TENT4B;SNAPC5;RPL7A;SNAPC3;TRIM68;RBM34;UTP15;UTP11;DDX55;BCKDHB;ABHD14B;RPL13A;EDF1;URB2;UTP18;REXO4;RBL2;DNAJC2;AOPEP;SAPCD2;POLR1B;POLR1C;MCM3;POLR1E;POLR1F;POLR1G;POLR1H;MCM2;AGPAT5;DDX28;DDX27;RRN3;NUFIP1;DDX24;MAK16;DCTN3;PARN;DDX21;CLN6;MRM2;TMA16;TAF1B;VPS51;HAUS7;BMS1;ZNF506;TRA2A;NRIP1;POLR2E;DNAJB9;POLR2H;E2F5;RPP14;POLR2L;NOP56;NOP58;POLN;IDH3G;YY1AP1;WEE1;RGS12;ERCC6;TAF5;RAN
GO_Cellular_Component_2023	Mitochondrial Respiratory Chain Complex I (GO:0005747)	25/41	2.142357e-04	1.343564e-02	0	0	3.184218e+00	2.690166e+01	NDUFB9;NDUFA13;NDUFB8;NDUFB7;NDUFA11;NDUFB10;NDUFA12;NDUFB11;NDUFB5;NDUFB4;NDUFA10;NDUFV3;NDUFV2;NDUFV1;NDUFA9;NDUFA8;NDUFA7;NDUFA3;NDUFA2;NDUFC1;NDUFS8;NDUFS7;NDUFS6;NDUFAB1;NDUFS3
GO_Cellular_Component_2023	Respiratory Chain Complex I (GO:0045271)	25/41	2.142357e-04	1.343564e-02	0	0	3.184218e+00	2.690166e+01	NDUFB9;NDUFA13;NDUFB8;NDUFB7;NDUFA11;NDUFB10;NDUFA12;NDUFB11;NDUFB5;NDUFB4;NDUFA10;NDUFV3;NDUFV2;NDUFV1;NDUFA9;NDUFA8;NDUFA7;NDUFA3;NDUFA2;NDUFC1;NDUFS8;NDUFS7;NDUFS6;NDUFAB1;NDUFS3
GO_Cellular_Component_2023	Nuclear Lumen (GO:0031981)	303/780	2.524048e-04	1.385072e-02	0	0	1.305169e+00	1.081264e+01	RPL4;POP5;RPL5;POP7;RPL3;POP1;POP4;GORAB;EIF4A3;RRP1;FCF1;THUMPD3;HNRNPU;GPATCH4;HNRNPR;PWP1;RRP8;RRP9;SMC2;ALKBH2;RPS14;ENDOV;RPS19;RPL36;HABP4;ARFIP2;RPS11;SKP2;RPS13;ABT1;TSPYL1;METTL1;PIH1D1;NGDN;WDR75;P3H4;HDHD3;MIF4GD;GTPBP4;ZNF16;COX7A2L;EID3;GRWD1;LETMD1;L3MBTL1;SLBP;L3MBTL3;DHX9;PRKRIP1;TXK;CD1E;SNU13;RPAP2;ANAPC11;RRP7A;FXR1;DSN1;FIGNL1;RRS1;SURF6;HTD2;SPTBN1;SRPK2;ARL14EP;XRCC6;SURF2;XNDC1N;UPF3B;UPF3A;ELL3;PUM3;POLA1;ZZZ3;STAG3;INTS4;RAD17;MPHOSPH10;NOL10;ATM;MAGED2;NOL11;CEP85;TOP2B;MRPS15;TUT4;SUV39H1;STON2;KRI1;WDR46;WDR43;COIL;AKAP11;XPO1;NKRF;UBXN8;UTP14A;PRMT6;DFFB;PBRM1;WDR36;MRPS27;PARP1;PARP2;NSUN2;AEN;MED27;GNL2;TERF1;SIRT1;UCHL5;GCFC2;GPRC5B;MRPS9;KIF2A;FRG1;ZNF593;CIPC;NIP7;NOL7;NOL8;SDAD1;GNAI1;EXOSC7;EXOSC6;EXOSC5;RBM15B;EXOSC10;EXOSC9;PES1;RPS3;RRP36;RPS2;EXOSC3;RPL18;EXOSC2;EXOSC1;NPM1;UTP3;MEAK7;ELP3;NPM3;WDR12;APTX;NLE1;BYSL;RSL1D1;CENPH;APEX1;KLHL7;SNX15;TTC3;TSR1;TCEA1;NCAPD2;CIAPIN1;CENPP;MPHOSPH6;ZNF330;ZNF692;FBXO25;RORA;NUCKS1;CDC14A;CDC14B;RDM1;PPP1CC;RBMX2;MACROD2;NEPRO;ZNF202;PHLDA1;RPP38;NOM1;RPS9;DIMT1;SLC30A5;CD180;CASK;ZBTB33;CYB561A3;SDHA;ILF2;FTSJ3;EEF1A1;EBNA1BP2;SHQ1;DKC1;FANCD2;MORF4L2;NCL;MRTO4;GEMIN4;CMPK1;SRSF5;ZNF554;ZCCHC8;INO80B;ZCCHC7;BLM;INO80E;DDX5;UTP23;ARL2;AK5;PKMYT1;RPF2;ATXN3;EMG1;DDRGK1;OARD1;DNAJC21;MBIP;CAMTA1;BRIX1;ZC3H14;COX10;PDHA1;NOP16;ZBTB14;CCDC137;PYM1;FANCG;RCL1;CDK8;LSM6;CPS1;RIOX1;MOB2;RIOX2;PIN4;ZNF655;BRWD1;ZCCHC4;ZNF771;ACADVL;MCM7;DDX47;NVL;CDCA7L;WDR3;PINX1;LDB2;MYSM1;TENT4B;SYNE2;SNAPC5;RPL7A;SNAPC3;TRIM68;RBM34;UTP15;UTP11;DDX55;BCKDHB;ABHD14B;RPL13A;EDF1;URB2;SPIDR;UTP18;REXO4;RBL2;DNAJC2;AOPEP;SAPCD2;MCM3;POLR1E;POLR1G;MCM2;AGPAT5;DDX28;DDX27;RRN3;NUFIP1;DDX24;MAK16;DCTN3;PARN;DDX21;CLN6;MRM2;TMA16;TAF1B;VPS51;HAUS7;BMS1;ZNF506;TRA2A;NRIP1;DNAJB9;E2F5;RPP14;NOP56;SMARCE1;NOP58;POLN;IDH3G;YY1AP1;WEE1;RGS12;ERCC6;TAF5;RAN
GO_Cellular_Component_2023	Mitochondrial Ribosome (GO:0005761)	15/22	7.678123e-04	3.745218e-02	0	0	4.363222e+00	3.129288e+01	NDUFA7;MRPS14;MRPL18;MRPS12;MRPL39;MRPL14;MRPL37;MRPL48;MRPL34;MRPL35;MRPL57;MRPL43;MRPL20;MRPL51;MRPL9
GO_Cellular_Component_2023	Multimeric Ribonuclease P Complex (GO:0030681)	8/9	8.870971e-04	3.894356e-02	0	0	1.627934e+01	1.144040e+02	POP5;POP7;POP4;RPP30;RPP40;RPP21;RPP14;RPP38
