Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Molecular_Function_2023	rRNA Binding (GO:0019843)	35/46	2.515083e-09	2.593051e-06	0	0	6.496535e+00	1.286376e+02	DDX28;RPL5;RPLP0P6;FASTKD2;MRPL18;MRPS11;RPL12;RPLP0;UTP23;MRPL16;PPAN;DDX21;RPF2;MRPL11;RCC1L;NGRN;RPS14;EMG1;RPS3;RRS1;RBM34;RPS13;PTCD3;NPM1;RPS9;MRPS27;RPS5;MTERF4;CIRBP;GTF3A;MRPS18A;ERAL1;MRPS7;MRPS6;TST
GO_Molecular_Function_2023	RNA Binding (GO:0003723)	544/1411	2.767434e-06	1.426612e-03	0	0	1.300112e+00	1.663831e+01	RPL4;POP5;RPL5;POP7;RPL3;TES;RPL32;POP1;POP4;DQX1;RRP1;GPATCH1;HNRNPU;GPATCH4;HNRNPR;RPL8;RRP8;ALKBH8;RRP9;ENDOV;RPL36;MTERF1;MBNL1;RBFOX2;SECISBP2;NGDN;DDX10;WDR75;GTPBP4;FAM133B;DDX39A;CLNS1A;SRFBP1;DUS3L;RPL28;GTSF1;SLBP;PRKRIP1;MEPCE;MRPL19;MRPL16;MRPL14;SNU13;MRPL12;RPS4Y1;MRPL11;MTDH;RRP7A;MRPL20;PRDX1;RRS1;SERPINH1;TOE1;BARD1;HEXIM2;PRPF38A;MTERF4;RDX;MRPL27;UPF3B;UPF3A;EIF2AK4;LARP4;MAGOHB;MRPL23;MEX3D;MCAT;MEX3C;MRPL21;SNUPN;MRPL22;H1-4;EIF5;TBL2;AGO3;LAS1L;HNRNPD;DZIP3;TUT4;RPLP0;ADK;MRPL39;C1ORF35;TCF20;MRPL37;KRI1;WDR46;WDR43;FARS2;MRPL41;MRPL42;TUBA1B;CSRP1;NKRF;FASTK;RACK1;NELFE;WDR36;ANXA2;NSUN2;NSUN6;MRPL45;GNL2;NUDT16L1;MRPL43;NSA2;TCP1;PTRH1;ZNF239;TRUB1;TRUB2;SF3B5;AHNAK;RPL10;KARS1;RNMT;NIP7;RPL12;MRPL54;BCLAF1;EXOSC10;PPP1R8;RPL14;RPS3;RRP36;RPL15;RPS2;RPL18;SRSF11;SF3A3;TRMT10B;UTP3;CDKN2A;ELP1;ELP5;TARBP2;LRPPRC;BYSL;NUDT21;APEX1;SERBP1;TRMT6;TSR1;UBAP2;C1ORF131;PARK7;APEH;RPL10A;EIF4ENIF1;PPP1CC;ZNF326;MTPAP;HMGN2;RARS2;RPS9;SUPT16H;EIF1AX;RPS8;RPS5;PRPF4B;RPSA;ZCRB1;THOC2;GTF2F1;ILF2;FTSJ3;EBNA1BP2;NCL;MRTO4;SRSF2;NHP2;SRSF3;SRSF5;SNRPF;SREK1;SRSF6;FKBP4;SRSF7;SRSF8;SNRPB;LRRC59;KHDRBS2;NTPCR;RCC1L;STIP1;HNRNPDL;G3BP1;KHDC1;G3BP2;BRIX1;KHDC4;NOP16;API5;GOT2;PYM1;EEF2;LSM4;LSM2;CNOT4;LSM7;LSM6;ACO1;PIN4;WRAP53;MTCL1;WDR3;ZC3H8;MTO1;DUSP14;NGRN;RPL7A;MRPL2;MRPL1;SART3;MRPL9;EIF5A;ELAC2;RPL13A;EDF1;SMC1A;REXO4;TSN;DNAJC2;SARS1;SARS2;NOA1;RPL37A;RP9;POLR1G;SLC25A5;EIF4E2;NSRP1;HDAC2;NUFIP1;MAK16;SRSF1;GTPBP10;JAKMIP1;HSD17B10;MRM1;MRM3;REPIN1;FIP1L1;PUF60;POLR2B;NOCT;RBBP6;ASCC3;HNRNPA1;EIF4E;EIF4B;HNRNPA0;NOP56;DUT;NOP58;SSB;IMMT;HNRNPAB;SNRNP40;MTRES1;MTRFR;EIF3L;EIF3I;EIF3G;P4HB;EIF3C;EIF3D;NECTIN3;EIF3B;DMGDH;EIF4A1;TCERG1;EIF4A3;NUDT1;PPAN;FCF1;THUMPD1;CCAR1;RPS15;TIAL1;LGALS3;PNN;RPS14;RPS19;SNRPD1;RPL36AL;DHX57;HABP4;LONP1;ARL6IP4;SNRPD3;RPS11;RPS13;SEC63;ABT1;METTL3;CIRBP;SRRM1;LACTB2;GRWD1;TFAM;FLYWCH2;EZR;AARS1;DHX9;CSTF3;STXBP1;CSTF2;HTATSF1;GSPT1;FXR1;C7ORF50;DHX32;DHX35;DHX36;ERI3;HLTF;CSTF1;SURF6;ZBED4;SPTBN1;SRPK2;XRCC6;APOBEC3G;APOBEC3H;KNOP1;MYO5A;ERAL1;PUM3;MANF;AIMP1;CCT6A;RPS26;ALDH6A1;RPS28;EPRS1;FUBP3;RPL27A;FUBP1;GOLGB1;MPHOSPH10;NOL10;DHX29;NOL11;DCP1B;MRPS15;GFM1;MRPS14;FASTKD2;MRPS11;MRPS12;TFB1M;ZCCHC17;LARP1B;SYNCRIP;C1QBP;DHX15;SEC61B;UTP14A;CCT3;MRPS28;TOP3B;MRPS26;MRPS27;MRPS24;PARP1;PRMT1;STRBP;MRPS23;TFB2M;PPHLN1;MRPS7;MRPS5;UCHL5;NME1;RPUSD4;MRPS9;HNRNPH1;RPUSD2;CANX;FRG1;RPUSD3;FYTTD1;NOL7;IBA57;NOL8;MRPS30;AKAP1;EXOSC7;EXOSC6;PURA;ATP5F1A;RBM15B;EXOSC9;PES1;EXOSC3;HEATR6;EXOSC2;EXOSC1;CCT4;RTRAF;NQO1;NPM1;MYEF2;NPM3;APTX;RSL1D1;SEC23IP;CMSS1;KRT18;XPOT;PRKRA;PRPF31;FAU;TARDBP;DBR1;ACAA2;KDM1A;RPP30;BCCIP;HDLBP;PEBP1;NUCKS1;YARS2;RBMX2;RPP38;NOM1;PCID2;DIMT1;RADX;ALG13;NOSIP;C2ORF15;PUS7;RPP25L;TUFM;EEF1A1;SLFN13;SLFN11;DKC1;PSPC1;RPL7L1;RPP21;GEMIN5;PPIB;PPIA;DAP3;ZCCHC8;DDX6;ZCCHC7;DDX5;RBM8A;YTHDC1;DDX1;YTHDC2;UTP23;RPF2;EMG1;RNASEH1;ZMAT3;DNAJC21;TASOR;NDUFV3;ZC3H13;ZC3H14;FDPS;HSPA8;UBE2I;CPSF6;CCDC137;ALYREF;CPSF3;RPP40;HELZ;TDRD3;SEPSECS;EIF2S3;MKRN2;UBE2N;GRSF1;ZCCHC3;RBM27;RBM25;DDX49;RBM26;DDX46;DDX47;NVL;PINX1;DDX42;PSIP1;TENT4B;RPS4X;RBM34;RBM6;UTP15;TSFM;RBM15;GLRX3;NCBP1;UTP11;NCBP2;DDX55;DARS2;DDX52;UTP18;DARS1;SUPV3L1;DDX19A;SFPQ;DDX19B;LUC7L3;LUC7L2;DDX28;DDX27;DDX24;DDX20;PARN;CSTF2T;DDX21;RBM4B;MTIF2;HSPD1;SELENOH;TBRG4;NUP42;BMS1;TRA2B;TRA2A;RPP14;CFAP20;PTCD3;PTCD2;HSPE1;U2SURP;NAP1L4;FAM98B;FAM98A;NAA15;SSBP1;RBM45;RBMX;RAN;FAM50A
GO_Molecular_Function_2023	RNA Endonuclease Activity, Producing 5'-Phosphomonoesters (GO:0016891)	20/28	3.526168e-05	1.211826e-02	0	0	5.093916e+00	5.222647e+01	POP5;DBR1;POP7;RNASEH2A;POP1;POP4;PRORP;RPP30;ELAC2;ELAC1;RPP40;NUDT16L1;ENDOV;RNASEH1;AGO3;APEX1;RPP21;RPP14;RPP38;NUDT12
GO_Molecular_Function_2023	NADH Dehydrogenase (Quinone) Activity (GO:0050136)	22/34	1.484876e-04	3.244152e-02	0	0	3.735560e+00	3.292899e+01	NDUFA9;NDUFB9;NDUFA8;NQO1;NDUFB8;NDUFA7;NDUFB7;NDUFB10;NDUFA12;NDUFB5;NDUFB4;NDUFA3;NDUFA10;NDUFA2;NDUFC1;NDUFS8;NDUFS7;NDUFS6;NDUFS3;NDUFV3;NDUFV2;NDUFV1
GO_Molecular_Function_2023	Single-Stranded DNA Helicase Activity (GO:0017116)	16/22	1.573303e-04	3.244152e-02	0	0	5.431018e+00	4.756031e+01	RFC5;PIF1;RFC3;HELQ;RFC4;MCM7;DHX9;MCM8;RFC2;WRNIP1;CHTF8;MCM3;MCM4;MCM5;MCM6;MCM2
GO_Molecular_Function_2023	Catalytic Activity, Acting On A tRNA (GO:0140101)	24/39	2.341596e-04	3.282578e-02	0	0	3.260387e+00	2.725523e+01	FTO;ELAC2;TYW3;ELAC1;GATC;GATB;TRPT1;MRPL58;QRSL1;OSGEP;TRIT1;DTWD2;DTWD1;QTRT2;PTRH2;TRMT12;PTRH1;TRMT13;LCMT2;TARS2;DUS1L;DUS4L;DUS3L;ANKZF1
GO_Molecular_Function_2023	tRNA-specific Ribonuclease Activity (GO:0004549)	12/15	2.526849e-04	3.282578e-02	0	0	8.143400e+00	6.745477e+01	POP5;POP7;POP1;ELAC2;POP4;PRORP;RPP30;RPP40;RPP21;TSEN2;RPP14;RPP38
GO_Molecular_Function_2023	aminoacyl-tRNA Ligase Activity (GO:0004812)	23/37	2.547103e-04	3.282578e-02	0	0	3.347459e+00	2.770151e+01	RARS2;HARS1;KARS1;PARS2;MARS2;DARS2;YARS2;DARS1;FARS2;WARS2;SARS1;SARS2;NARS1;QARS1;EPRS1;LARS1;NARS2;IARS2;TARS2;IARS1;TARS3;TARS1;EARS2
GO_Molecular_Function_2023	NADH Dehydrogenase (Ubiquinone) Activity (GO:0008137)	21/33	2.959795e-04	3.331041e-02	0	0	3.565219e+00	2.896819e+01	NDUFA9;NDUFB9;NDUFA8;NDUFB8;NDUFA7;NDUFB7;NDUFB10;NDUFA12;NDUFB5;NDUFB4;NDUFA3;NDUFA10;NDUFA2;NDUFC1;NDUFS8;NDUFS7;NDUFS6;NDUFS3;NDUFV3;NDUFV2;NDUFV1
GO_Molecular_Function_2023	Ribonuclease P Activity (GO:0004526)	9/10	3.230883e-04	3.331041e-02	0	0	1.831704e+01	1.472247e+02	POP5;POP7;POP4;PRORP;RPP30;RPP40;RPP21;RPP14;RPP38
GO_Molecular_Function_2023	3'-5' Exonuclease Activity (GO:0008408)	25/42	3.641381e-04	3.412967e-02	0	0	2.996687e+00	2.372770e+01	TRIR;MRE11;DIS3L;EXOSC7;EXOSC5;TATDN1;EXOSC10;ERI2;EXOSC9;NOCT;POLD1;ERI3;EXOSC3;EXOSC2;DIS3L2;POLG;TOE1;ANGEL2;TREX2;REXO4;RAD50;CNOT7;ERCC4;PDE12;APEX1
GO_Molecular_Function_2023	Ribonuclease P RNA Binding (GO:0033204)	8/9	8.870971e-04	7.621643e-02	0	0	1.627934e+01	1.144040e+02	POP5;POP7;POP4;RPP30;RPP40;RPP21;RPP14;RPP38
GO_Molecular_Function_2023	Single-Stranded DNA Binding (GO:0003697)	46/96	1.641342e-03	1.301710e-01	0	0	1.876103e+00	1.203003e+01	BLM;WDR48;MCM7;MCM8;DHX9;HNRNPU;NUCKS1;PARK7;SMC6;JCHAIN;HSPD1;PURA;HMCES;DHX36;LONP1;PMS2;POLR2H;HNRNPA1;RADX;TWNK;RPA1;RPA2;MLH1;REXO4;RAD52;MMS22L;POLA1;MSH2;FUBP3;MSH3;ERCC4;POLR3C;ERCC1;FUBP1;RPA3;TDP1;CRY2;MCM3;NABP2;MCM4;MCM5;ERCC5;MCM6;SSBP1;SSBP2;MCM2
GO_Molecular_Function_2023	Translation Initiation Factor Activity (GO:0003743)	23/41	1.906292e-03	1.403848e-01	0	0	2.602801e+00	1.630029e+01	EIF2B5;EIF4A1;EIF2B4;EIF2B3;EIF2B2;EIF1AX;MTIF2;EIF3M;EIF2S3;EIF5;EIF3K;EIF3L;EIF3I;EIF3J;EIF3G;EIF2D;EIF3F;EIF2B1;EIF3C;EIF4E2;EIF4E;EIF3D;EIF3B
