Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Protein Polyubiquitination (GO:0000209)	7/226	1.325025e-03	3.701956e-01	0	0	4.548078e+00	3.013704e+01	SHARPIN;CDC34;MKRN1;MARCHF8;UBE2O;TRIM58;RNF5
GO_Biological_Process_2023	Regulation Of Heme Biosynthetic Process (GO:0070453)	2/8	1.420388e-03	3.701956e-01	0	0	4.626807e+01	3.033716e+02	SLC6A9;SRRD
GO_Biological_Process_2023	Regulation Of Cellular Response To Oxidative Stress (GO:1900407)	2/9	1.817539e-03	3.701956e-01	0	0	3.965634e+01	2.502423e+02	PINK1;GCH1
GO_Biological_Process_2023	Positive Regulation Of Myeloid Cell Differentiation (GO:0045639)	3/36	2.236635e-03	3.701956e-01	0	0	1.269014e+01	7.744517e+01	FAM210B;FAXDC2;TESC
GO_Biological_Process_2023	Positive Regulation Of Platelet Aggregation (GO:1901731)	2/11	2.750501e-03	3.701956e-01	0	0	3.084071e+01	1.818360e+02	DMTN;MFSD2B
GO_Biological_Process_2023	Modification-Dependent Protein Catabolic Process (GO:0019941)	6/192	2.794950e-03	3.701956e-01	0	0	4.564632e+00	2.683977e+01	PINK1;CDC34;PSMF1;RNF5;UBA52;UBL7
GO_Biological_Process_2023	Base-Excision Repair, Gap-Filling (GO:0006287)	2/12	3.284950e-03	3.701956e-01	0	0	2.775524e+01	1.587157e+02	POLB;POLL
GO_Biological_Process_2023	Response To Progesterone (GO:0032570)	2/13	3.863815e-03	3.701956e-01	0	0	2.523077e+01	1.401847e+02	WBP2;ACOD1
GO_Biological_Process_2023	ERAD Pathway (GO:0036503)	4/89	4.017916e-03	3.701956e-01	0	0	6.598248e+00	3.640248e+01	DNAJB2;FBXO6;RNF5;UBXN6
GO_Biological_Process_2023	Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)	3/48	5.085871e-03	3.701956e-01	0	0	9.300469e+00	4.911847e+01	PINK1;SEPTIN4;BCL2L1
GO_Biological_Process_2023	Erythrocyte Differentiation (GO:0030218)	3/49	5.389132e-03	3.701956e-01	0	0	9.097826e+00	4.752132e+01	DMTN;SLC1A5;KLF1
GO_Biological_Process_2023	Positive Regulation Of Homotypic Cell-Cell Adhesion (GO:0034112)	2/16	5.860305e-03	3.701956e-01	0	0	1.982118e+01	1.018720e+02	DMTN;MFSD2B
GO_Biological_Process_2023	Protein Localization To Mitochondrion (GO:0070585)	2/16	5.860305e-03	3.701956e-01	0	0	1.982118e+01	1.018720e+02	PINK1;FKBP8
GO_Biological_Process_2023	mRNA Stabilization (GO:0048255)	3/53	6.709684e-03	3.701956e-01	0	0	8.368310e+00	4.187673e+01	RBM38;IGF2BP2;YBX3
GO_Biological_Process_2023	Regulation Of Megakaryocyte Differentiation (GO:0045652)	2/19	8.233090e-03	3.701956e-01	0	0	1.632086e+01	7.833348e+01	FAXDC2;TESC
GO_Biological_Process_2023	Regulation Of Autophagy Of Mitochondrion (GO:1903146)	2/19	8.233090e-03	3.701956e-01	0	0	1.632086e+01	7.833348e+01	PINK1;FKBP8
GO_Biological_Process_2023	Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process (GO:0043161)	7/319	8.746646e-03	3.701956e-01	0	0	3.177281e+00	1.505740e+01	DNAJB2;SHARPIN;CDC34;ASCC2;FBXO6;RNF5;DCAF12
GO_Biological_Process_2023	Stress-Activated Protein Kinase Signaling Cascade (GO:0031098)	2/20	9.104693e-03	3.701956e-01	0	0	1.541336e+01	7.242686e+01	MAP2K3;MAP2K7
GO_Biological_Process_2023	Negative Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001243)	3/61	9.884661e-03	3.701956e-01	0	0	7.211146e+00	3.329221e+01	PINK1;YBX3;BCL2L1
GO_Biological_Process_2023	Cellular Response To Interferon-Beta (GO:0035458)	2/22	1.096521e-02	3.701956e-01	0	0	1.387063e+01	6.259853e+01	CDC34;IRF1
GO_Biological_Process_2023	Regulation Of Protein Catabolic Process (GO:0042176)	4/122	1.204071e-02	3.701956e-01	0	0	4.745041e+00	2.097053e+01	PINK1;ODC1;OAZ1;RILP
GO_Biological_Process_2023	Receptor-Mediated Endocytosis (GO:0006898)	4/122	1.204071e-02	3.701956e-01	0	0	4.745041e+00	2.097053e+01	TFR2;AP2S1;AP2A1;SCARF1
GO_Biological_Process_2023	Endosome Transport Via Multivesicular Body Sorting Pathway (GO:0032509)	2/24	1.297814e-02	3.701956e-01	0	0	1.260839e+01	5.477702e+01	RILP;UBXN6
GO_Biological_Process_2023	Negative Regulation Of Protein Localization To Membrane (GO:1905476)	2/25	1.404027e-02	3.701956e-01	0	0	1.205959e+01	5.144412e+01	DMTN;BCL2L1
GO_Biological_Process_2023	Regulation Of Intracellular Estrogen Receptor Signaling Pathway (GO:0033146)	2/25	1.404027e-02	3.701956e-01	0	0	1.205959e+01	5.144412e+01	WBP2;CARM1
GO_Biological_Process_2023	Regulation Of Platelet Aggregation (GO:0090330)	2/25	1.404027e-02	3.701956e-01	0	0	1.205959e+01	5.144412e+01	DMTN;MFSD2B
GO_Biological_Process_2023	Fc Receptor Signaling Pathway (GO:0038093)	2/26	1.513873e-02	3.701956e-01	0	0	1.155653e+01	4.842761e+01	FCGR3A;MAP2K7
GO_Biological_Process_2023	Ubiquitin-Dependent ERAD Pathway (GO:0030433)	3/73	1.604363e-02	3.701956e-01	0	0	5.971328e+00	2.467617e+01	DNAJB2;FBXO6;RNF5
GO_Biological_Process_2023	Amino Acid Import Across Plasma Membrane (GO:0089718)	2/27	1.627296e-02	3.701956e-01	0	0	1.109371e+01	4.568666e+01	SLC6A9;SLC1A5
GO_Biological_Process_2023	Regulation Of Peptidase Activity (GO:0052547)	2/27	1.627296e-02	3.701956e-01	0	0	1.109371e+01	4.568666e+01	PINK1;PSMB8
GO_Biological_Process_2023	Peptide Cross-Linking (GO:0018149)	2/27	1.627296e-02	3.701956e-01	0	0	1.109371e+01	4.568666e+01	EVPL;TGM2
GO_Biological_Process_2023	Positive Regulation Of Response To Wounding (GO:1903036)	2/27	1.627296e-02	3.701956e-01	0	0	1.109371e+01	4.568666e+01	DMTN;SCARF1
GO_Biological_Process_2023	Protein Quality Control For Misfolded Or Incompletely Synthesized Proteins (GO:0006515)	2/27	1.627296e-02	3.701956e-01	0	0	1.109371e+01	4.568666e+01	ZER1;RNF5
GO_Biological_Process_2023	Protein Localization To Plasma Membrane (GO:0072659)	4/137	1.772653e-02	3.701956e-01	0	0	4.206687e+00	1.696428e+01	TESC;BSG;TSPAN5;ANK1
GO_Biological_Process_2023	Regulation Of Protein Modification By Small Protein Conjugation Or Removal (GO:1903320)	2/29	1.864642e-02	3.701956e-01	0	0	1.027091e+01	4.089982e+01	DNAJB2;PINK1
GO_Biological_Process_2023	Response To Interferon-Beta (GO:0035456)	2/29	1.864642e-02	3.701956e-01	0	0	1.027091e+01	4.089982e+01	CDC34;IRF1
GO_Biological_Process_2023	Proteolysis Involved In Protein Catabolic Process (GO:0051603)	3/78	1.911932e-02	3.701956e-01	0	0	5.571831e+00	2.204805e+01	RNF123;ZER1;UBA52
