Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Herpes simplex virus 1 infection	220/498	8.798026e-08	2.788974e-05	0	0	1.629533e+00	2.647364e+01	ZNF729;ZNF607;ZNF606;ZNF605;ZNF726;ZSCAN32;ZNF846;AKT1;ZNF841;ZNF169;ZNF17;ZNF19;ZNF285;ZNF284;ZNF283;ZFP1;ZNF160;ZNF10;HCFC2;ZNF718;ZNF717;ZNF836;ZNF714;ZNF713;ZNF157;ZNF398;ZNF155;ZNF154;ZNF324B;PIK3R3;PIK3R1;ZNF25;ZNF26;ZNF709;ZNF829;ZNF707;HLA-DQA1;ZNF383;ZNF382;EIF2AK3;EIF2AK4;ZNF34;ZNF559-ZNF177;ZNF814;ZNF30;ZNF136;ZNF257;HLA-DRB1;ZNF135;ZNF256;ZNF133;ZNF132;ZNF253;ZNF251;ZNF250;ZNF43;ZNF44;ZNF45;ZNF808;ZNF805;ZNF41;ZNF248;HLA-DPA1;ZIK1;ZNF57;ZNF599;ZNF235;ZNF234;ZNF597;HLA-DQB1;ZNF112;ZNF596;ZNF595;ZNF473;ZNF471;ZNF470;ZNF2;ZNF3;ZNF7;HLA-DMA;ZFP14;HLA-DMB;ZNF229;ZNF227;ZNF226;ZNF347;ZNF589;ZNF225;ZNF585B;ZNF587;ZNF223;ZNF101;ZNF343;ZNF221;ZNF584;ZNF461;ZNF582;ZNF460;CARD9;ZNF77;ZNF79;ZNF33B;ZNF74;HLA-DPB1;ZNF578;ZNF577;ZNF334;ZNF212;ZNF354C;ZNF211;ZFP28;ZNF354B;ZNF331;ZNF573;ZNF571;ZNF570;PPP1CC;ZNF84;ZNF569;ZNF568;ZNF689;ZNF688;HLA-DOA;ZNF566;HLA-DOB;ZFP37;ZNF565;ZNF564;ZNF320;ZNF562;ZNF682;ZNF90;ZNF91;ZNF439;SRSF2;ZNF317;ZNF559;SRSF3;ZNF558;SRSF5;ZNF677;SRSF6;ZNF555;SRSF7;ZNF433;ZNF554;SRSF8;ZNF311;ZNF431;ZNF551;ZNF793;ZNF550;ZNF671;ZNF792;ZNF790;ZNF548;ZNF547;ZNF304;ZNF667;ZNF665;ZNF786;ZNF543;ZNF785;ZNF662;EIF2B5;ZNF540;ZNF782;EIF2B4;EIF2B3;EIF2B2;ALYREF;ZFP69;RHEB;ZNF419;ZNF418;ZNF417;BCL2;ZNF416;HLA-DRA;ZNF778;CYCS;ZNF773;ZNF530;ZNF772;ZNF891;ITGB3;TRADD;ZFP82;ZNF529;ZNF528;ZNF649;ZNF527;ZNF404;ZNF766;EIF2B1;TRAF2;ZFP90;ZNF519;IFNG;ZNF517;TRAF5;ZNF879;ZNF514;ZNF875;BIRC3;ZNF195;SRSF1;ZNF749;CCL5;ZNF506;ZNF623;ZNF621;ZNF860;ZNF286A;ZNF182;PTPN11;ZNF736;ZNF614;ZNF610;ZNF850
KEGG_2021_Human	N-Glycan biosynthesis	32/50	6.766909e-06	8.622045e-04	0	0	3.626255e+00	4.316500e+01	B4GALT2;DPAGT1;RPN2;RPN1;FUT8;MAN1A2;MAN2A1;MGAT5;MAN1C1;MGAT3;MGAT2;ALG8;ALG9;ALG5;SRD5A3;ALG14;ALG2;ALG13;ALG3;ALG12;DOLK;ALG1;ALG11;ALG10;DDOST;DPM3;DOLPP1;MGAT4A;MGAT4B;STT3A;MAN1B1;ALG10B
KEGG_2021_Human	DNA replication	25/36	8.159664e-06	8.622045e-04	0	0	4.633319e+00	5.428540e+01	PRIM2;RNASEH2C;RNASEH2B;RNASEH2A;MCM7;RNASEH1;POLD1;RFC5;RFC3;RFC4;RFC1;RFC2;RPA1;RPA2;POLE4;POLA1;POLA2;RPA3;POLE3;MCM3;MCM4;MCM5;MCM6;SSBP1;MCM2
KEGG_2021_Human	Valine, leucine and isoleucine degradation	28/48	2.643948e-04	2.095329e-02	0	0	2.853510e+00	2.350741e+01	ACAA2;ECHS1;HIBADH;HSD17B10;AACS;ACAT2;MCEE;ALDH1B1;AUH;OXCT1;DBT;HADH;ACADS;HIBCH;BCKDHA;MCCC2;HMGCS1;BCKDHB;MCCC1;ACADSB;ACSF3;ALDH3A2;HADHA;ALDH6A1;PCCA;EHHADH;PCCB;ALDH9A1
KEGG_2021_Human	Mismatch repair	16/23	3.583993e-04	2.272252e-02	0	0	4.654811e+00	3.693063e+01	RFC5;RFC3;RFC4;RFC1;RFC2;RPA1;RPA2;MLH1;MLH3;MSH6;MSH2;MSH3;POLD1;RPA3;PMS2;SSBP1
KEGG_2021_Human	RNA transport	83/186	5.809156e-04	3.069171e-02	0	0	1.646052e+00	1.226457e+01	CYFIP1;EIF4A1;POP5;NUP107;POP7;POP1;POP4;RPP30;EIF4A3;PHAX;PNN;XPO1;EIF2B1;RPP38;NDC1;SEC13;NCBP1;NUP133;EIF1AX;NCBP2;ELAC2;ELAC1;THOC1;THOC3;THOC2;RPP25L;THOC7;SRRM1;THOC6;EEF1A1;NUP93;DDX19A;DDX19B;CLNS1A;GEMIN4;RPP21;GEMIN5;GEMIN6;NUP54;GEMIN8;EIF4E2;NUP205;SEH1L;RBM8A;DDX20;FXR1;NUP85;NUP42;TGS1;NUP88;NUP43;SMN1;RPP14;EIF4E;EIF4B;EIF2B5;RANBP2;EIF2B4;EIF2B3;EIF2B2;UBE2I;NUP155;ALYREF;RPP40;PYM1;UPF3B;UPF3A;MAGOHB;SNUPN;EIF2S3;EIF5;XPOT;EIF3I;EIF3J;EIF3G;NUP35;EIF3F;EIF3C;TARDBP;EIF3D;EIF3A;RAN;EIF3B
KEGG_2021_Human	Various types of N-glycan biosynthesis	23/39	7.470576e-04	3.383104e-02	0	0	2.928589e+00	2.108399e+01	B4GALT2;CHST8;ALG9;RPN2;HEXA;RPN1;ALG14;ALG2;ALG13;ALG3;ALG12;ALG1;ALG11;DDOST;FUT8;MAN1A2;MAN2A1;MGAT4A;MGAT4B;MAN1C1;STT3A;MGAT2;MAN1B1
KEGG_2021_Human	Ribosome	69/158	3.121405e-03	1.106015e-01	0	0	1.581925e+00	9.126870e+00	RPL4;MRPS17;RPL5;MRPS15;RPL3;MRPS16;RPL32;MRPS14;MRPS11;MRPS12;RPLP0;MRPS10;MRPL36;RPL10A;RPL8;MRPL34;MRPL35;RPS15;RPS4X;RPS14;RPL7A;MRPL2;MRPL1;RPS19;RPL36AL;RPL36;RPLP2;MRPL9;RPS11;RPS13;RPS12;RPS9;RPS8;RPS5;MRPS18A;MRPS2;RPL13A;RPSA;MRPS7;MRPS6;MRPS5;MRPS9;RPL37A;RPL28;RPL10;MRPL18;RPL12;MRPL19;MRPL16;MRPL17;MRPL14;MRPL12;RPS4Y1;MRPL11;MRPL20;RPL14;RPS3;RPL15;RPS2;RPL18;MRPL27;MRPL23;MRPL21;MRPL22;MRPL30;RPS26;RPS28;RPL27A;FAU
KEGG_2021_Human	Fanconi anemia pathway	28/54	3.140106e-03	1.106015e-01	0	0	2.194024e+00	1.264525e+01	MUS81;BLM;WDR48;FAAP24;REV3L;PMS2;POLH;TOP3B;CENPX;POLN;FANCL;REV1;RPA1;RPA2;FANCE;MLH1;PALB2;FANCG;FANCF;RAD51C;FANCD2;ERCC4;ERCC1;RPA3;CENPS-CORT;FAN1;ATR;CENPS
KEGG_2021_Human	RNA polymerase	18/31	3.522375e-03	1.116593e-01	0	0	2.819335e+00	1.592535e+01	POLR2J2;POLR3GL;POLR3B;POLR2B;POLR3C;POLR1B;POLR2D;POLR1C;POLR2E;POLR3F;POLR1E;POLR3G;POLR1F;POLR2H;POLR2I;POLR1H;POLR3K;POLR2L
