Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Protein processing in endoplasmic reticulum	6/171	1.562695e-03	1.937742e-01	0	0	5.151079e+00	3.328289e+01	DNAJB2;BAG1;FBXO6;MAP2K7;RNF5;UBXN6
KEGG_2021_Human	Proteasome	3/46	4.510900e-03	2.796758e-01	0	0	9.734032e+00	5.257603e+01	PSMF1;PSMB8;PSMB9
KEGG_2021_Human	Mitophagy	3/68	1.326943e-02	3.951327e-01	0	0	6.432286e+00	2.780222e+01	PINK1;UBA52;BCL2L1
KEGG_2021_Human	Chronic myeloid leukemia	3/76	1.785270e-02	3.951327e-01	0	0	5.725063e+00	2.304682e+01	E2F2;GADD45G;BCL2L1
KEGG_2021_Human	Pancreatic cancer	3/76	1.785270e-02	3.951327e-01	0	0	5.725063e+00	2.304682e+01	E2F2;GADD45G;BCL2L1
KEGG_2021_Human	Synaptic vesicle cycle	3/78	1.911932e-02	3.951327e-01	0	0	5.571831e+00	2.204805e+01	SLC6A9;AP2S1;AP2A1
KEGG_2021_Human	Base excision repair	2/33	2.379785e-02	4.215620e-01	0	0	8.943830e+00	3.343347e+01	POLB;POLL
KEGG_2021_Human	Small cell lung cancer	3/92	2.934756e-02	4.548872e-01	0	0	4.692040e+00	1.655608e+01	E2F2;GADD45G;BCL2L1
KEGG_2021_Human	Hepatocellular carcinoma	4/168	3.410944e-02	4.660898e-01	0	0	3.406158e+00	1.150662e+01	TXNRD2;E2F2;GADD45G;BCL2L1
KEGG_2021_Human	TNF signaling pathway	3/112	4.804133e-02	4.660898e-01	0	0	3.827239e+00	1.161832e+01	MAP2K3;IRF1;MAP2K7
KEGG_2021_Human	Transcriptional misregulation in cancer	4/192	5.130770e-02	4.660898e-01	0	0	2.967708e+00	8.813839e+00	ETV7;LYL1;GADD45G;BCL2L1
KEGG_2021_Human	Endocrine and other factor-regulated calcium reabsorption	2/53	5.657396e-02	4.660898e-01	0	0	5.430961e+00	1.559884e+01	AP2S1;AP2A1
KEGG_2021_Human	Epstein-Barr virus infection	4/202	5.964562e-02	4.660898e-01	0	0	2.816391e+00	7.940348e+00	MAP2K3;E2F2;MAP2K7;GADD45G
KEGG_2021_Human	Glutathione metabolism	2/57	6.432086e-02	4.660898e-01	0	0	5.034965e+00	1.381530e+01	ODC1;PRDX6
KEGG_2021_Human	FoxO signaling pathway	3/131	7.002073e-02	4.660898e-01	0	0	3.255997e+00	8.657579e+00	STK11;FOXO4;GADD45G
KEGG_2021_Human	Sulfur metabolism	1/10	7.019485e-02	4.660898e-01	0	0	1.531327e+01	4.067941e+01	SELENBP1
KEGG_2021_Human	Ubiquitin mediated proteolysis	3/140	8.175938e-02	4.660898e-01	0	0	3.040711e+00	7.613865e+00	CDC34;UBE2O;UBA52
KEGG_2021_Human	Apoptosis	3/142	8.447676e-02	4.660898e-01	0	0	2.996656e+00	7.405573e+00	SEPTIN4;GADD45G;BCL2L1
KEGG_2021_Human	Fc epsilon RI signaling pathway	2/68	8.726537e-02	4.660898e-01	0	0	4.193473e+00	1.022705e+01	MAP2K3;MAP2K7
KEGG_2021_Human	Non-homologous end-joining	1/13	9.028278e-02	4.660898e-01	0	0	1.148322e+01	2.761494e+01	POLL
KEGG_2021_Human	Melanoma	2/72	9.613365e-02	4.660898e-01	0	0	3.953047e+00	9.258099e+00	E2F2;GADD45G
KEGG_2021_Human	Non-small cell lung cancer	2/72	9.613365e-02	4.660898e-01	0	0	3.953047e+00	9.258099e+00	E2F2;GADD45G
KEGG_2021_Human	p53 signaling pathway	2/73	9.838971e-02	4.660898e-01	0	0	3.897173e+00	9.036840e+00	GADD45G;BCL2L1
KEGG_2021_Human	Phagosome	3/152	9.862751e-02	4.660898e-01	0	0	2.794120e+00	6.472315e+00	MRC2;FCGR3A;RILP
KEGG_2021_Human	Glioma	2/75	1.029463e-01	4.660898e-01	0	0	3.790018e+00	8.616789e+00	E2F2;GADD45G
KEGG_2021_Human	Shigellosis	4/246	1.041608e-01	4.660898e-01	0	0	2.299162e+00	5.200289e+00	SHARPIN;FOXO4;UBA52;BCL2L1
KEGG_2021_Human	Cellular senescence	3/156	1.045400e-01	4.660898e-01	0	0	2.720519e+00	6.143437e+00	MAP2K3;E2F2;GADD45G
KEGG_2021_Human	Pertussis	2/76	1.052461e-01	4.660898e-01	0	0	3.738613e+00	8.417315e+00	C5;IRF1
KEGG_2021_Human	Hepatitis B	3/162	1.136639e-01	4.811107e-01	0	0	2.617061e+00	5.690824e+00	MAP2K3;E2F2;MAP2K7
KEGG_2021_Human	Selenocompound metabolism	1/17	1.163977e-01	4.811107e-01	0	0	8.610677e+00	1.851935e+01	TXNRD2
KEGG_2021_Human	Tight junction	3/169	1.246755e-01	4.987022e-01	0	0	2.505812e+00	5.217202e+00	STK11;MAP2K7;YBX3
KEGG_2021_Human	GnRH signaling pathway	2/93	1.462265e-01	5.520045e-01	0	0	3.037578e+00	5.840043e+00	MAP2K3;MAP2K7
KEGG_2021_Human	Staphylococcus aureus infection	2/95	1.512449e-01	5.520045e-01	0	0	2.971953e+00	5.613587e+00	FCGR3A;C5
KEGG_2021_Human	Glycerophospholipid metabolism	2/98	1.588357e-01	5.520045e-01	0	0	2.878642e+00	5.296371e+00	PHOSPHO1;CDIPT
KEGG_2021_Human	Kaposi sarcoma-associated herpesvirus infection	3/193	1.650729e-01	5.520045e-01	0	0	2.186620e+00	3.938907e+00	E2F2;MAP2K7;UBA52
KEGG_2021_Human	Folate biosynthesis	1/26	1.724659e-01	5.520045e-01	0	0	5.508333e+00	9.681204e+00	GCH1
KEGG_2021_Human	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	1/26	1.724659e-01	5.520045e-01	0	0	5.508333e+00	9.681204e+00	DPM2
KEGG_2021_Human	Toll-like receptor signaling pathway	2/104	1.742198e-01	5.520045e-01	0	0	2.708488e+00	4.732913e+00	MAP2K3;MAP2K7
KEGG_2021_Human	NF-kappa B signaling pathway	2/104	1.742198e-01	5.520045e-01	0	0	2.708488e+00	4.732913e+00	GADD45G;BCL2L1
KEGG_2021_Human	Collecting duct acid secretion	1/27	1.784733e-01	5.520045e-01	0	0	5.296207e+00	9.127040e+00	SLC4A1
KEGG_2021_Human	Huntington disease	4/306	1.825176e-01	5.520045e-01	0	0	1.836739e+00	3.124124e+00	AP2S1;AP2A1;MAP2K7;TGM2
KEGG_2021_Human	Toxoplasmosis	2/112	1.950786e-01	5.679786e-01	0	0	2.510490e+00	4.103026e+00	MAP2K3;BCL2L1
KEGG_2021_Human	Human immunodeficiency virus 1 infection	3/212	1.994235e-01	5.679786e-01	0	0	1.985915e+00	3.201940e+00	MAP2K3;MAP2K7;BCL2L1
KEGG_2021_Human	Lipid and atherosclerosis	3/215	2.049997e-01	5.679786e-01	0	0	1.957514e+00	3.102164e+00	MAP2K3;MAP2K7;BCL2L1
KEGG_2021_Human	Human T-cell leukemia virus 1 infection	3/219	2.124903e-01	5.679786e-01	0	0	1.920872e+00	2.975160e+00	POLB;E2F2;BCL2L1
