Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Osteoclast differentiation	49/127	4.923089e-10	1.171623e-07	0	0	3.368056e+00	7.218389e+01	SPI1;NCF1;NCF2;NCF4;PIK3CD;PIK3CB;SIRPB1;FCGR3B;SIRPA;RAC1;JAK1;IFNAR2;MAP2K1;SYK;IL1R1;IFNGR1;IFNGR2;CYBA;GAB2;TYK2;OSCAR;TGFBR2;TNFRSF1A;TYROBP;BTK;LCP2;SQSTM1;IRF9;IFNAR1;LILRA6;LILRA1;LILRA2;LILRA4;LILRA5;RELB;PLCG2;MAPK1;FCGR1A;MAP2K6;MAPK3;LILRB2;LILRB3;MAPK14;NFKB1;FOSL2;MAPK13;NFKBIA;FCGR2A;GRB2
KEGG_2021_Human	Salmonella infection	78/249	7.438873e-10	1.171623e-07	0	0	2.454757e+00	5.159687e+01	ARF1;ARPC1B;ARPC1A;PIK3CD;PIK3CB;PIK3CG;ACTG1;PYCARD;TUBA1C;ACTR1A;TUBA1A;CASP5;CASP4;TNFSF10;KPNA4;RAC1;VPS39;KPNA1;DYNC2H1;VPS18;MAP2K1;MAP2K2;RIPK3;DYNLT1;EXOC7;VPS33A;RHOG;RHOA;RHOB;DNM2;TNFRSF1A;DYNC1LI2;TLR9;ELMO1;PFN1;TLR5;RAF1;TLR4;GAPDH;NAIP;ARL8A;RAB5B;RAB5C;DCTN4;TXN;NLRC4;KLC1;MYL12A;STX10;CYTH2;PAK1;CYTH4;RRAS;MYO6;MAPK1;NCKAP1L;CD14;FADD;BAK1;VPS16;MAP2K6;MAPK3;TCF7L2;MLKL;TNFRSF10B;ARPC4;ARPC5;TUBB4B;MAPK14;NFKB1;MAPK13;NFKBIA;SNX18;PLEKHM1;CTNNB1;TAB3;BAX;MYD88
KEGG_2021_Human	Tuberculosis	59/180	1.346824e-08	1.414165e-06	0	0	2.615896e+00	4.740771e+01	ITGAM;ITGB2;CALML4;LSP1;TCIRG1;CASP9;FCGR3B;LAMP1;CASP10;LAMP2;ITGAX;EP300;CTSD;JAK1;IL10;ATP6V0B;CR1;FCER1G;ATP6AP1;SYK;IFNGR1;IFNGR2;RHOA;TNFRSF1A;TLR1;TLR9;ATP6V0D1;CLEC4E;RAF1;TLR4;RAB5B;CEBPB;RAB5C;BCL10;NOD2;CORO1A;CLEC7A;IRAK2;MAPK1;CD14;FADD;BID;FCGR1A;CAMK2G;ATP6V0A1;MAPK3;CREBBP;NFYA;VDR;BAD;IL10RB;NFYC;RFXANK;MAPK14;NFKB1;MAPK13;FCGR2A;BAX;MYD88
KEGG_2021_Human	B cell receptor signaling pathway	34/81	1.811441e-08	1.426510e-06	0	0	3.867067e+00	6.893650e+01	LILRA6;GSK3B;IFITM1;INPPL1;PIK3CD;PIK3CB;BCL10;LILRA1;LILRA2;LILRA4;LILRA5;INPP5D;RAC2;PLCG2;MAPK1;RAC1;MAPK3;LYN;MAP2K1;MAP2K2;SYK;PRKCB;LILRB2;LILRB3;VAV1;NFKB1;NFKBIA;BTK;GRB2;PTPN6;RAF1;NFKBIE;PIK3AP1;NFKBIB
KEGG_2021_Human	Kaposi sarcoma-associated herpesvirus infection	61/193	3.537222e-08	2.228450e-06	0	0	2.479150e+00	4.253561e+01	GSK3B;PIK3CD;CXCL1;CALML4;PIK3CB;PIK3CG;ICAM1;CASP9;PREX1;EP300;RAC1;JAK1;IFNAR2;GABARAPL1;MAP2K1;MAP2K2;SYK;IFNGR1;HLA-B;HLA-C;HLA-A;TYK2;HLA-F;HLA-E;TNFRSF1A;HCK;MAPKAPK2;RAF1;IRF9;IFNAR1;BECN1;ITPR2;HIF1A;PIK3R5;GNG10;GNG5;PLCG2;MAPK1;E2F3;FADD;BAK1;BID;MICA;MICB;MAP2K6;MAPK3;CCR1;LYN;TCF7L2;CREBBP;STAT3;MAPK14;NFKB1;VEGFA;MAPK13;NFKBIA;GNB2;GNB1;GNB4;CTNNB1;BAX
KEGG_2021_Human	Fc gamma R-mediated phagocytosis	37/97	8.954934e-08	4.345630e-06	0	0	3.297082e+00	5.350662e+01	NCF1;ARPC1B;ARPC1A;INPPL1;PIK3CD;ASAP1;PIK3CB;CRKL;PAK1;FCGR3B;INPP5D;CFL1;PLCG2;RAC2;PIP5K1A;MAPK1;RAC1;FCGR1A;MAPK3;LYN;VASP;MAP2K1;GSN;SYK;MYO10;PRKCB;LIMK2;PRKCD;ARPC4;ARPC5;GAB2;VAV1;DNM2;HCK;FCGR2A;RAF1;CRK
KEGG_2021_Human	Endocytosis	73/252	9.656955e-08	4.345630e-06	0	0	2.190132e+00	3.537720e+01	ARF4;WASHC5;ARF1;WIPF1;SH3KBP1;WIPF2;ARPC1B;ARPC1A;CLTC;SNX12;CBLB;ARRB2;IGF1R;ZFYVE27;CHMP1A;RAB8A;SH3GLB1;IST1;HLA-B;HLA-C;HLA-A;EPS15L1;ARAP1;VPS37B;HLA-F;ARFGAP3;RBSN;RHOA;HLA-E;RNF41;ARFGAP2;DNM2;TGFBR2;ACAP1;RAB31;RAB35;STAMBP;VPS28;ARF5;CHMP5;RAB5B;RAB5C;VPS4A;AGAP1;CXCR4;ASAP1;CBL;PRKCZ;CYTH2;SNX1;RAB11FIP1;GRK2;CYTH4;CXCR1;CXCR2;GRK6;PIP5K1A;RAB11FIP4;GIT2;IQSEC1;SMURF1;HSPA6;ARPC4;ARPC5;RAB11A;IGF2R;EHD1;SPART;NEDD4;CHMP2A;SMAP2;SMAP1;SPG21
KEGG_2021_Human	Autophagy	46/137	2.328158e-07	9.167121e-06	0	0	2.705454e+00	4.132046e+01	BECN1;RAB1A;MTMR3;MTMR14;PTEN;PIK3CD;IRS2;PIK3CB;MTMR4;ZFYVE1;HIF1A;IGF1R;CAMKK2;PPP2CB;LAMP1;RRAS;LAMP2;MAPK1;NRBF2;ATG7;CTSD;SNAP29;RAB8A;MAPK3;SH3GLB1;UVRAG;GABARAPL1;MAP2K1;MAP2K2;PDPK1;BAD;DAPK2;DAPK3;PRKCD;WIPI1;WIPI2;CFLAR;ATG13;VMP1;RRAGA;RRAGC;ATG16L2;ULK1;RAF1;SQSTM1;ATG2B
KEGG_2021_Human	Lysosome	43/128	5.594534e-07	1.958087e-05	0	0	2.705905e+00	3.895503e+01	CD63;CLTC;CTSZ;TCIRG1;GNS;CLN3;LAPTM4A;GGA3;LAMP1;GM2A;AP1G1;HYAL2;LAMP2;NEU1;PSAP;SLC17A5;CTSH;AP3S2;ARSG;CTSD;ARSB;AP1M1;ATP6V0A1;CTSA;ATP6V0B;MANBA;ATP6AP1;ENTPD4;SORT1;SLC11A1;GAA;LAPTM5;IGF2R;SUMF1;GALNS;NPC2;GLB1;PPT1;MAN2B1;DNASE2;ATP6V0D1;CD68;GLA
KEGG_2021_Human	Neurotrophin signaling pathway	40/119	1.345998e-06	4.239894e-05	0	0	2.706671e+00	3.658979e+01	GSK3B;PIK3CD;FASLG;CALML4;PSEN1;PIK3CB;CRKL;IRAK2;ARHGDIB;RPS6KA1;PLCG2;MAPK1;RAC1;CAMK2G;SH2B3;SH2B2;MAP3K5;MAPK3;MAP3K3;MAP2K1;MAP2K2;MAP3K1;PDPK1;BAD;SORT1;PRKCD;GAB1;IRAK3;MAPK14;NFKB1;RHOA;MAPK13;NFKBIA;MAPKAPK2;BAX;GRB2;RAF1;NFKBIE;CRK;NFKBIB
