Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Lipid and atherosclerosis	6/215	5.536674e-03	4.989812e-01	0	0	3.943253e+00	2.049057e+01	IL1B;CASP1;FAS;JAK2;TANK;NFE2L2
KEGG_2021_Human	Influenza A	5/172	9.401054e-03	4.989812e-01	0	0	4.092648e+00	1.910012e+01	SOCS3;IL1B;CASP1;FAS;JAK2
KEGG_2021_Human	Pertussis	3/76	1.917543e-02	4.989812e-01	0	0	5.567086e+00	2.201296e+01	IL1B;CASP1;C4BPA
KEGG_2021_Human	African trypanosomiasis	2/37	3.097094e-02	4.989812e-01	0	0	7.703013e+00	2.676570e+01	IL1B;FAS
KEGG_2021_Human	Necroptosis	4/159	3.126099e-02	4.989812e-01	0	0	3.505406e+00	1.214758e+01	IL1B;CASP1;FAS;JAK2
KEGG_2021_Human	Neomycin, kanamycin and gentamicin biosynthesis	1/5	3.670251e-02	4.989812e-01	0	0	3.352534e+01	1.107982e+02	HKDC1
KEGG_2021_Human	Graft-versus-host disease	2/42	3.908858e-02	4.989812e-01	0	0	6.738435e+00	2.184550e+01	IL1B;FAS
KEGG_2021_Human	Type I diabetes mellitus	2/43	4.079920e-02	4.989812e-01	0	0	6.573751e+00	2.103004e+01	IL1B;FAS
KEGG_2021_Human	Type II diabetes mellitus	2/46	4.609603e-02	4.989812e-01	0	0	6.124613e+00	1.884561e+01	SOCS3;HKDC1
KEGG_2021_Human	NOD-like receptor signaling pathway	4/181	4.663376e-02	4.989812e-01	0	0	3.066277e+00	9.399459e+00	IL1B;CASP1;CARD16;TANK
KEGG_2021_Human	TNF signaling pathway	3/112	5.134035e-02	4.994016e-01	0	0	3.721629e+00	1.105055e+01	SOCS3;IL1B;FAS
KEGG_2021_Human	Legionellosis	2/57	6.744874e-02	6.014180e-01	0	0	4.896970e+00	1.320413e+01	IL1B;CASP1
KEGG_2021_Human	Cytosolic DNA-sensing pathway	2/63	8.022014e-02	6.329247e-01	0	0	4.413962e+00	1.113634e+01	IL1B;CASP1
KEGG_2021_Human	Yersinia infection	3/137	8.281258e-02	6.329247e-01	0	0	3.023461e+00	7.531973e+00	FYB1;IL1B;CASP1
KEGG_2021_Human	Adipocytokine signaling pathway	2/69	9.366925e-02	6.418042e-01	0	0	4.017464e+00	9.513295e+00	SOCS3;JAK2
KEGG_2021_Human	Prolactin signaling pathway	2/70	9.597072e-02	6.418042e-01	0	0	3.958183e+00	9.276842e+00	SOCS3;JAK2
KEGG_2021_Human	Non-alcoholic fatty liver disease	3/155	1.094856e-01	6.454880e-01	0	0	2.662987e+00	5.890427e+00	SOCS3;IL1B;FAS
KEGG_2021_Human	Leishmaniasis	2/77	1.125127e-01	6.454880e-01	0	0	3.587483e+00	7.837534e+00	IL1B;JAK2
KEGG_2021_Human	Selenocompound metabolism	1/17	1.194203e-01	6.454880e-01	0	0	8.376267e+00	1.780046e+01	SEPHS2
KEGG_2021_Human	JAK-STAT signaling pathway	3/162	1.206520e-01	6.454880e-01	0	0	2.544844e+00	5.381950e+00	SOCS3;CSF2RB;JAK2
KEGG_2021_Human	AGE-RAGE signaling pathway in diabetic complications	2/100	1.710136e-01	7.143439e-01	0	0	2.742330e+00	4.842987e+00	IL1B;JAK2
KEGG_2021_Human	Kaposi sarcoma-associated herpesvirus infection	3/193	1.745197e-01	7.143439e-01	0	0	2.126280e+00	3.711883e+00	ATG3;FAS;JAK2
KEGG_2021_Human	Chagas disease	2/102	1.763224e-01	7.143439e-01	0	0	2.687211e+00	4.663496e+00	IL1B;FAS
KEGG_2021_Human	C-type lectin receptor signaling pathway	2/104	1.816571e-01	7.143439e-01	0	0	2.634254e+00	4.493074e+00	IL1B;CASP1
KEGG_2021_Human	Pathogenic Escherichia coli infection	3/197	1.819119e-01	7.143439e-01	0	0	2.082015e+00	3.548238e+00	IL1B;CASP1;FAS
KEGG_2021_Human	Th17 cell differentiation	2/107	1.897036e-01	7.143439e-01	0	0	2.558601e+00	4.253142e+00	IL1B;JAK2
KEGG_2021_Human	Cholinergic synapse	2/113	2.059340e-01	7.143439e-01	0	0	2.419562e+00	3.823391e+00	JAK2;KCNJ2
KEGG_2021_Human	Galactose metabolism	1/31	2.070449e-01	7.143439e-01	0	0	4.464189e+00	7.030292e+00	HKDC1
KEGG_2021_Human	cAMP signaling pathway	3/216	2.180743e-01	7.143439e-01	0	0	1.894463e+00	2.885114e+00	HCAR2;HCAR3;FFAR2
KEGG_2021_Human	SNARE interactions in vesicular transport	1/33	2.188344e-01	7.143439e-01	0	0	4.184755e+00	6.358483e+00	STX11
KEGG_2021_Human	Fructose and mannose metabolism	1/33	2.188344e-01	7.143439e-01	0	0	4.184755e+00	6.358483e+00	HKDC1
KEGG_2021_Human	Growth hormone synthesis, secretion and action	2/119	2.223086e-01	7.143439e-01	0	0	2.294785e+00	3.450642e+00	SOCS3;JAK2
KEGG_2021_Human	Starch and sucrose metabolism	1/36	2.361930e-01	7.143439e-01	0	0	3.825483e+00	5.520577e+00	HKDC1
KEGG_2021_Human	Osteoclast differentiation	2/127	2.442907e-01	7.143439e-01	0	0	2.147048e+00	3.026041e+00	SOCS3;IL1B
KEGG_2021_Human	Allograft rejection	1/38	2.475520e-01	7.143439e-01	0	0	3.618335e+00	5.051682e+00	FAS
KEGG_2021_Human	Homologous recombination	1/41	2.642766e-01	7.143439e-01	0	0	3.346453e+00	4.453323e+00	NBN
KEGG_2021_Human	Autophagy	2/137	2.718788e-01	7.143439e-01	0	0	1.986999e+00	2.587866e+00	ATG3;TANK
KEGG_2021_Human	Insulin signaling pathway	2/137	2.718788e-01	7.143439e-01	0	0	1.986999e+00	2.587866e+00	SOCS3;HKDC1
KEGG_2021_Human	Fluid shear stress and atherosclerosis	2/139	2.773980e-01	7.143439e-01	0	0	1.957793e+00	2.510483e+00	IL1B;NFE2L2
KEGG_2021_Human	Measles	2/139	2.773980e-01	7.143439e-01	0	0	1.957793e+00	2.510483e+00	IL1B;FAS
KEGG_2021_Human	Shigellosis	3/246	2.776838e-01	7.143439e-01	0	0	1.658042e+00	2.124403e+00	IL1B;HKDC1;CASP1
KEGG_2021_Human	Apoptosis	2/142	2.856721e-01	7.143439e-01	0	0	1.915549e+00	2.400012e+00	FAS;CSF2RB
KEGG_2021_Human	Carbohydrate digestion and absorption	1/47	2.966259e-01	7.143439e-01	0	0	2.909078e+00	3.535354e+00	HKDC1
KEGG_2021_Human	Amino sugar and nucleotide sugar metabolism	1/48	3.018784e-01	7.143439e-01	0	0	2.847039e+00	3.409986e+00	HKDC1
KEGG_2021_Human	Ether lipid metabolism	1/49	3.070919e-01	7.143439e-01	0	0	2.787584e+00	3.291045e+00	LPCAT2
KEGG_2021_Human	Malaria	1/50	3.122667e-01	7.143439e-01	0	0	2.730557e+00	3.178089e+00	IL1B
KEGG_2021_Human	Herpes simplex virus 1 infection	5/498	3.137772e-01	7.143439e-01	0	0	1.363393e+00	1.580271e+00	SOCS3;IL1B;ZNF549;FAS;JAK2
KEGG_2021_Human	Hepatitis C	2/157	3.268371e-01	7.152885e-01	0	0	1.728857e+00	1.933369e+00	SOCS3;FAS
KEGG_2021_Human	Autoimmune thyroid disease	1/53	3.275620e-01	7.152885e-01	0	0	2.572635e+00	2.871261e+00	FAS
KEGG_2021_Human	Hepatitis B	2/162	3.404357e-01	7.285325e-01	0	0	1.674405e+00	1.804220e+00	FAS;JAK2
KEGG_2021_Human	Glycerolipid metabolism	1/61	3.667174e-01	7.400515e-01	0	0	2.228716e+00	2.235767e+00	GK
KEGG_2021_Human	Cytokine-cytokine receptor interaction	3/295	3.772571e-01	7.400515e-01	0	0	1.376360e+00	1.341715e+00	IL1B;FAS;CSF2RB
