.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR14240730_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR14240730_2	1	1	1	1	0.5	0.25	1	0.5	0.25	0.5	1
SRR14240731_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR14240731_2	1	1	1	1	0.5	0.25	1	0.5	0.25	0.5	1
SRR14240732_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR14240732_2	1	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
SRR14240733_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR14240733_2	1	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
SRR14240734_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR14240734_2	1	1	1	1	0.5	0.25	1	0.5	0.25	0.5	1
SRR14240735_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR14240735_2	1	1	1	1	0.5	0.25	1	0.5	0.25	0.5	1
SRR14240736_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR14240736_2	1	1	1	1	0.5	0.25	1	0.5	0.25	0.5	1
SRR14240737_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR14240737_2	1	1	1	1	0.5	0.25	1	0.5	0.25	0.5	1
SRR14240738_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR14240738_2	1	1	1	1	0.5	0.25	1	0.5	0.25	0.5	1
SRR14240739_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR14240739_2	1	1	1	1	0.5	0.25	1	0.5	0.25	0.5	1
SRR14240740_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR14240740_2	1	1	1	1	0.5	0.25	1	0.5	0.25	0.5	1
