Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
SRR14240730_1 - polya	(1, 0.14374293949718664)	(2, 0.15294205300132227)	(3, 0.1576054135209988)	(4, 0.16444315590314162)	(5, 0.1679694195743465)	(6, 0.17089302191586137)	(7, 0.17476167808255047)	(8, 0.1832962216508016)	(9, 0.19539366867759717)	(12, 0.21366732040891367)	(17, 0.2346118862931958)	(22, 0.2544797478060695)	(27, 0.28121289471363803)	(32, 0.3089906545926691)	(37, 0.3317128818833952)	(42, 0.3506480712923337)	(47, 0.3714920672775732)	(52, 0.3880577995424853)	(57, 0.40483553719759025)	(62, 0.42034402208161226)	(67, 0.4356819424383634)	(72, 0.4518913843574211)	(77, 0.4712010576617895)	(82, 0.4885473437411302)	(87, 0.506172850268818)	(92, 0.5217654803196268)	(97, 0.5361517769583016)	(102, 0.5501989660479433)	(107, 0.5637839884407283)	(112, 0.5772459516856898)	(117, 0.5891185062246767)	(122, 0.5997614800381826)	(127, 0.609800023704679)	(132, 0.6203287824569608)	(137, 0.6308110465825495)	(140, 0.6344052833764742)
SRR14240730_2 - polya	(1, 0.02841225992047827)	(2, 0.03336494841604367)	(3, 0.040876104820670285)	(4, 0.05040497641086271)	(5, 0.05927433182894157)	(6, 0.06769137538951726)	(7, 0.07725562332610658)	(8, 0.09509035567391302)	(9, 0.11230347507788829)	(12, 0.15403366597585508)	(17, 0.23102068175753376)	(22, 0.30556268662680985)	(27, 0.3781888096505056)	(32, 0.44033721693600636)	(37, 0.5029240382286402)	(42, 0.5499139337712596)	(47, 0.5952330550111915)	(52, 0.6375214341176636)	(57, 0.6793587648075753)	(62, 0.7190823588002724)	(67, 0.7866334922451448)	(72, 0.8555051741633756)	(77, 0.888990907533546)	(82, 0.9183065277280876)	(87, 0.9523026912391274)	(92, 0.9846728062568527)	(97, 1.0167960449143654)	(102, 1.0462223425354917)	(107, 1.0755685380008482)	(112, 1.1030407978599233)	(117, 1.1274724607461848)	(122, 1.1503816772964375)	(127, 1.173919329371612)	(132, 1.1964030190123478)	(137, 1.220437961442587)	(140, 1.2285977684272198)
SRR14240730_2 - polyg	(1, 1.9713469029670154)	(2, 1.99553421637495)	(3, 1.9959145120987167)	(4, 1.9962859637358843)	(5, 1.9967092164517042)	(6, 1.9972057487422035)	(7, 1.9978576842686606)	(8, 1.9999600499973904)	(9, 2.0048457761229903)	(12, 2.0205422610192927)	(17, 2.0339675844769145)	(22, 2.03549078887749)	(27, 2.0362776598966326)	(32, 2.0370084341379164)	(37, 2.0377740793492207)	(42, 2.038410348207988)	(47, 2.039008966526661)	(52, 2.04089907417701)	(57, 2.046085751935171)	(62, 2.048538596181419)	(67, 2.0495437897954685)	(72, 2.0505421608284258)	(77, 2.054872983691972)	(82, 2.0753659957833164)	(87, 2.0944651798266234)	(92, 2.1111716594125576)	(97, 2.1245262301773855)	(102, 2.1337920533632984)	(107, 2.1415604463438678)	(112, 2.148933887685735)	(117, 2.1573279366211526)	(122, 2.1659021522350064)	(127, 2.1754007012425722)	(132, 2.1852305244653274)	(137, 2.1959523369936607)	(140, 2.202930574008637)
SRR14240731_1 - polya	(1, 0.07242820487193691)	(2, 0.08180026211926082)	(3, 0.08682269718857315)	(4, 0.09503327774739775)	(5, 0.09932323150385666)	(6, 0.10302473117189963)	(7, 0.10787741986955351)	(8, 0.11838934972171111)	(9, 0.13342887825064945)	(12, 0.15638187974971568)	(17, 0.1825349604226047)	(22, 0.20733397943260373)	(27, 0.24066743450323388)	(32, 0.27564526897058444)	(37, 0.3038244011849531)	(42, 0.32738663784338984)	(47, 0.3533271754836447)	(52, 0.3742716144613415)	(57, 0.3952506199729034)	(62, 0.4142603618200494)	(67, 0.43358552328871347)	(72, 0.453740693076493)	(77, 0.4782923967668151)	(82, 0.5002240394914419)	(87, 0.5223344817275489)	(92, 0.542080614197926)	(97, 0.5605093090710558)	(102, 0.5786927461562863)	(107, 0.5978557741208694)	(112, 0.6161914685576481)	(117, 0.6315824235142139)	(122, 0.645221184408909)	(127, 0.6577922920641669)	(132, 0.671515000255391)	(137, 0.6856074469070642)	(140, 0.6904305071471195)
SRR14240731_2 - polya	(1, 0.02765116956021647)	(2, 0.032855696191853315)	(3, 0.040660942990475325)	(4, 0.050234638352011696)	(5, 0.05899869495903171)	(6, 0.06758991889672677)	(7, 0.07697637886649443)	(8, 0.09289653099627901)	(9, 0.11195956291646694)	(12, 0.15597078490053556)	(17, 0.23372820282983664)	(22, 0.31067124968153265)	(27, 0.38419570748461646)	(32, 0.44835983597150914)	(37, 0.5109717624853214)	(42, 0.5611815047028232)	(47, 0.6084749013786441)	(52, 0.6547335653234705)	(57, 0.7000422668465429)	(62, 0.7416928826220814)	(67, 0.79609875514698)	(72, 0.866529508169147)	(77, 0.905661293542452)	(82, 0.9385813904789465)	(87, 0.9777874527494257)	(92, 1.0154271160775585)	(97, 1.05251474362974)	(102, 1.0865761534433127)	(107, 1.1203927169753418)	(112, 1.1516744013572715)	(117, 1.1802251238106887)	(122, 1.2073563550906858)	(127, 1.235542071406743)	(132, 1.2627134245564053)	(137, 1.29119892325247)	(140, 1.3011645784176542)
SRR14240731_2 - polyg	(1, 1.3226390375812809)	(2, 1.3464745144597932)	(3, 1.3467996044806663)	(4, 1.3470259329762109)	(5, 1.347358224358306)	(6, 1.3477913347975072)	(7, 1.3484806079430294)	(8, 1.3503776522420488)	(9, 1.3532376214130213)	(12, 1.366014482246047)	(17, 1.3776625811458385)	(22, 1.379110877764146)	(27, 1.3798359519625998)	(32, 1.38047378681368)	(37, 1.3812700516116414)	(42, 1.3819426587497643)	(47, 1.3826072415139545)	(52, 1.3844999649962406)	(57, 1.3888899147970948)	(62, 1.3917161404469134)	(67, 1.3928903738324343)	(72, 1.394004733043225)	(77, 1.3959624745296855)	(82, 1.400760432882053)	(87, 1.408805176379597)	(92, 1.4169599978272465)	(97, 1.424969351778214)	(102, 1.4315155948820748)	(107, 1.4374200938244779)	(112, 1.4438852701762983)	(117, 1.4514835292780857)	(122, 1.4603642479369001)	(127, 1.471387062929455)	(132, 1.4837567382236783)	(137, 1.498350193863216)	(140, 1.5080586575561903)
SRR14240732_1 - polya	(1, 0.06826751890716423)	(2, 0.07748846947223108)	(3, 0.08256451782686113)	(4, 0.09045880211458206)	(5, 0.09468801582675673)	(6, 0.09818570327385281)	(7, 0.10280175799400124)	(8, 0.11274555569896777)	(9, 0.12728804987372494)	(12, 0.14988774791456122)	(17, 0.17582345369916094)	(22, 0.2002626303279135)	(27, 0.23506443444526565)	(32, 0.27100444383607913)	(37, 0.29956298124974196)	(42, 0.3236173006705616)	(47, 0.350398105272581)	(52, 0.3710878998240493)	(57, 0.39165792244804887)	(62, 0.41047922533600306)	(67, 0.42977614428376076)	(72, 0.4496225758428453)	(77, 0.4736664803134503)	(82, 0.4956286346161452)	(87, 0.5183173556838165)	(92, 0.5382595055948741)	(97, 0.5565910578477332)	(102, 0.5744576569660085)	(107, 0.5921901016065185)	(112, 0.6096277039659511)	(117, 0.6241692062406878)	(122, 0.6372662541106506)	(127, 0.6490128301027769)	(132, 0.6618564475175159)	(137, 0.6748751352858637)	(140, 0.6791403053737796)
SRR14240732_2 - polya	(1, 0.02182675994990409)	(2, 0.026958602680684198)	(3, 0.035371154729087924)	(4, 0.046429600082030134)	(5, 0.05680735404594159)	(6, 0.0664635007449789)	(7, 0.07714874371522848)	(8, 0.0953017539644074)	(9, 0.11555263275682864)	(12, 0.16267457905312976)	(17, 0.2490916365594013)	(22, 0.33474691484997077)	(27, 0.42329134992509293)	(32, 0.4990055582357521)	(37, 0.5727505970308217)	(42, 0.6265758036652939)	(47, 0.6779428340740965)	(52, 0.7281238000334519)	(57, 0.777505542551333)	(62, 0.8223525661507424)	(67, 0.8849362499657485)	(72, 0.963410172108292)	(77, 1.003601464986735)	(82, 1.0383988055539952)	(87, 1.0799373466352085)	(92, 1.1190338298660847)	(97, 1.157063772599977)	(102, 1.1919595592442662)	(107, 1.2259110570690919)	(112, 1.256581349626283)	(117, 1.2841551782946485)	(122, 1.3104893799124624)	(127, 1.3370098107591146)	(132, 1.362340705506248)	(137, 1.3887902155014384)	(140, 1.398131433943984)
SRR14240732_2 - polyg	(1, 1.9484710419128592)	(2, 1.9784586592809792)	(3, 1.978825662288544)	(4, 1.9790959550441154)	(5, 1.979457998551578)	(6, 1.979903113685753)	(7, 1.9804684966974069)	(8, 1.9824423777380935)	(9, 1.986613317324067)	(12, 2.0031986295909316)	(17, 2.018074898122569)	(22, 2.0196044079540956)	(27, 2.020265261342718)	(32, 2.0207743540282115)	(37, 2.0213786691156677)	(42, 2.021847341875328)	(47, 2.0223078314598206)	(52, 2.0241235044472456)	(57, 2.0288836326453636)	(62, 2.0311600431922865)	(67, 2.0319942311094814)	(72, 2.0328058533012103)	(77, 2.03477601471682)	(82, 2.0456388077907297)	(87, 2.060168159290216)	(92, 2.072836954326352)	(97, 2.083618163623579)	(102, 2.0912213252552996)	(107, 2.0971409845773183)	(112, 2.1029562464221856)	(117, 2.109694223261072)	(122, 2.116403682974371)	(127, 2.1242327498357474)	(132, 2.1331700169949666)	(137, 2.143725321062538)	(140, 2.150816166333698)
SRR14240733_1 - polya	(1, 0.05420130794686439)	(2, 0.06402270835395135)	(3, 0.06905380574299391)	(4, 0.07719566541236879)	(5, 0.08108599946880762)	(6, 0.08455494337599968)	(7, 0.088902786737335)	(8, 0.09863689918493514)	(9, 0.11277152876252643)	(12, 0.13463866757879578)	(17, 0.1599488649073748)	(22, 0.18429769070974383)	(27, 0.21769948188275193)	(32, 0.2512689261365675)	(37, 0.2783790613883577)	(42, 0.30148900015194124)	(47, 0.3266017460963019)	(52, 0.3470168948554523)	(57, 0.367577423216093)	(62, 0.38645269197271026)	(67, 0.4059823194325151)	(72, 0.4272197809686242)	(77, 0.45153278860830726)	(82, 0.4731124791441975)	(87, 0.4951033260685671)	(92, 0.514977590471863)	(97, 0.5335777516596151)	(102, 0.5513751646130519)	(107, 0.569141274298259)	(112, 0.5864273002062885)	(117, 0.6009529196437879)	(122, 0.6143383777346114)	(127, 0.6270526215162774)	(132, 0.6410012374422726)	(137, 0.6552014834859609)	(140, 0.6600670347449422)
