Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR14240730_1	(1, 1.5020253400516552)	(2, 1.4745669780429504)	(3, 1.4691468163985688)	(4, 1.5010423829981987)	(5, 1.4691468163985688)	(6, 1.4987100710178891)	(7, 1.4691468163985688)	(8, 1.4691607142489391)	(9, 1.4691506067213973)	(12, 1.4693790368438457)	(17, 1.4691976067244674)	(22, 1.4693080314628633)	(27, 1.4709714778080831)	(32, 1.4746412683703838)	(37, 0.2997523835689805)	(42, 0.00022906464862335803)	(47, 5.131228448006693e-06)	(52, 1.1806149998059685e-05)	(57, 9.246077558348438e-06)	(62, 3.086122674091247e-06)	(67, 9.903309501895872e-05)	(72, 2.4102126150917018e-05)	(77, 1.98745116015291e-05)	(82, 1.8571909712756444e-06)	(87, 4.4188310801623286e-05)	(92, 1.676073264715676e-06)	(97, 2.1533985755483763e-05)	(102, 8.255625474927788e-05)	(107, 3.2206098832865153e-06)	(112, 5.768971726737873e-06)	(117, 8.295912096977106e-06)	(122, 4.23491103891777e-06)	(127, 1.236258726698841e-06)	(132, 5.327880284555481e-05)	(137, 0.00011892873899486686)	(142, 0.00025985240835559693)	(147, 8.985383487506636e-05)	(150, 7.1698144930594315e-06)
SRR14240730_2	(1, 0.014629382676059136)	(2, 0.017378630167475036)	(3, 0.014500511699899016)	(4, 0.014500511699899016)	(5, 0.014505565463670001)	(6, 0.014514409550269225)	(7, 0.014500511699899016)	(8, 0.014500511699899016)	(9, 0.014500511699899016)	(12, 0.014534371917164618)	(17, 0.014503543958161606)	(22, 0.014643533214617897)	(27, 0.016235721490666755)	(32, 0.019692495910020567)	(37, 0.004780592779856697)	(42, 5.6622272833097085e-05)	(47, 0.00020453630321798531)	(52, 4.476620504185985e-05)	(57, 0.0002022184559196503)	(62, 6.740884719731094e-05)	(67, 5.4379420314718755e-05)	(72, 3.0383295200978693e-05)	(77, 2.0347891559461224e-05)	(82, 6.608691360102013e-05)	(87, 4.267846971044053e-05)	(92, 1.785042658510058e-05)	(97, 0.0008880055284687043)	(102, 5.994805009884923e-05)	(107, 1.44975867458927e-05)	(112, 4.275722844754947e-05)	(117, 1.967864000750234e-05)	(122, 7.405860987164239e-05)	(127, 0.0001660454524439418)	(132, 0.00011521394830565263)	(137, 2.985310683793237e-05)	(142, 3.855259449997507e-06)	(147, 3.1075121838560824e-06)	(150, 3.5167355466213276e-06)
SRR14240731_1	(1, 0.6704179243115332)	(2, 0.6431453405984094)	(3, 0.6375642856514575)	(4, 0.6694632295666905)	(5, 0.6375642856514575)	(6, 0.6674375895315663)	(7, 0.6375642856514575)	(8, 0.6375756020762348)	(9, 0.637567371949124)	(12, 0.6377969924955129)	(17, 0.637612637648233)	(22, 0.6377177775220723)	(27, 0.6390568192029852)	(32, 0.6415818222005518)	(37, 0.1299833242085398)	(42, 0.0002421008488585939)	(47, 3.935351275420008e-06)	(52, 1.4708998326888733e-05)	(57, 1.1398978921333568e-05)	(62, 5.807775708149248e-06)	(67, 0.0001003500381775799)	(72, 2.2921633163779026e-05)	(77, 2.661247835221569e-05)	(82, 2.1153379201136204e-06)	(87, 3.931348776870068e-05)	(92, 4.615224451881109e-06)	(97, 2.6542988861418484e-05)	(102, 9.634295234750536e-05)	(107, 4.198721994975038e-06)	(112, 6.224174296175234e-06)	(117, 6.84540566669417e-06)	(122, 8.417671019391135e-06)	(127, 0.0)	(132, 5.649159649403168e-05)	(137, 0.00011646125855905002)	(142, 0.0002414467624349514)	(147, 9.08890567333496e-05)	(150, 9.285748207121002e-06)
SRR14240731_2	(1, 0.009861749810411305)	(2, 0.012698057365940617)	(3, 0.009733154074306423)	(4, 0.009733154074306423)	(5, 0.009737269137861779)	(6, 0.00974652803086133)	(7, 0.009733154074306423)	(8, 0.009733154074306423)	(9, 0.009733154074306423)	(12, 0.009770601152660164)	(17, 0.009741589954594903)	(22, 0.009869362677988715)	(27, 0.01115429127314871)	(32, 0.013427452381127514)	(37, 0.0032863322858068577)	(42, 5.762394143713406e-05)	(47, 0.00021220253752905814)	(52, 4.4261232404031975e-05)	(57, 0.00022242540920652874)	(62, 6.987122284310647e-05)	(67, 5.6152630165146275e-05)	(72, 2.5259179837619128e-05)	(77, 1.8736307974539905e-05)	(82, 6.912814073963324e-05)	(87, 4.8850184098745e-05)	(92, 1.832258588975523e-05)	(97, 0.0008617616113759518)	(102, 6.504832699938118e-05)	(107, 1.4668146460992591e-05)	(112, 4.486520348316929e-05)	(117, 2.1350439341368133e-05)	(122, 7.836173591630545e-05)	(127, 0.00016871777052478154)	(132, 0.00011183273700272035)	(137, 3.081330791573236e-05)	(142, 1.0933446373506492e-05)	(147, 1.055047687510724e-05)	(150, 9.261615213256166e-06)
SRR14240732_1	(1, 1.2160235496902854)	(2, 1.188824411254643)	(3, 1.1831792602632825)	(4, 1.215330459550999)	(5, 1.1831792602632825)	(6, 1.2128531892499363)	(7, 1.1831792602632825)	(8, 1.183186699513436)	(9, 1.183180500138308)	(12, 1.1834225237432967)	(17, 1.1832343107144172)	(22, 1.183264563665041)	(27, 1.1840744500317346)	(32, 1.1859751784459134)	(37, 0.24043750152764803)	(42, 0.00023039482759094513)	(47, 3.7651131642412647e-06)	(52, 1.2302889723075586e-05)	(57, 7.787873636615274e-06)	(62, 4.5271831088021535e-06)	(67, 9.907807198539254e-05)	(72, 2.4811635695057148e-05)	(77, 2.118125474165036e-05)	(82, 1.0340092225092072e-06)	(87, 3.9299334952916075e-05)	(92, 4.613820221349762e-06)	(97, 1.948189987928083e-05)	(102, 9.045260505474721e-05)	(107, 5.957133016362228e-06)	(112, 4.658590115569206e-06)	(117, 7.108717754336441e-06)	(122, 3.4328992617847654e-06)	(127, 4.1068092038292446e-07)	(132, 5.577175471352108e-05)	(137, 0.00012075902248291957)	(142, 0.000272487154682009)	(147, 9.810850612408992e-05)	(150, 5.637421035469093e-06)
SRR14240732_2	(1, 0.00827120629549024)	(2, 0.011094401728683355)	(3, 0.008118701667346738)	(4, 0.008118701667346738)	(5, 0.008118701667346738)	(6, 0.008134820042678978)	(7, 0.008118701667346738)	(8, 0.008118701667346738)	(9, 0.008118701667346738)	(12, 0.008152674243046998)	(17, 0.008125149017479634)	(22, 0.008189870493813705)	(27, 0.008980662785113912)	(32, 0.010673340170004224)	(37, 0.0026727309875453566)	(42, 5.109308433004594e-05)	(47, 0.00019571649957513147)	(52, 4.1188870087437896e-05)	(57, 0.00021673390461593488)	(62, 6.387519139536252e-05)	(67, 4.78304481164184e-05)	(72, 2.7766707227738932e-05)	(77, 1.689012818845979e-05)	(82, 6.126530780724493e-05)	(87, 4.4253565568999577e-05)	(92, 1.4185429455405654e-05)	(97, 0.0008707760741282912)	(102, 5.5127294581758146e-05)	(107, 1.1388562204733056e-05)	(112, 4.270364258811456e-05)	(117, 1.84069280287447e-05)	(122, 7.840931155985284e-05)	(127, 0.00016549824374858897)	(132, 0.0001130673489904287)	(137, 3.174465943031972e-05)	(142, 8.422126533543529e-06)	(147, 4.295684277429337e-06)	(150, 1.838677928789622e-06)
SRR14240733_1	(1, 1.1597785630884865)	(2, 1.1323355296187911)	(3, 1.1267626448950028)	(4, 1.1592352707889217)	(5, 1.1267626448950028)	(6, 1.1564300163667935)	(7, 1.1267626448950028)	(8, 1.1267716746839151)	(9, 1.1267641498598215)	(12, 1.1269907975615234)	(17, 1.1268108037692024)	(22, 1.1268252514314623)	(27, 1.1274308492745226)	(32, 1.1289632044529623)	(37, 0.22875027213426385)	(42, 0.00022346735825693804)	(47, 3.6537827466624886e-06)	(52, 7.918237353099414e-06)	(57, 7.921768465829674e-06)	(62, 4.2695554429999085e-06)	(67, 9.259517345244181e-05)	(72, 2.2086047966810267e-05)	(77, 2.0390050797053883e-05)	(82, 2.187501011719218e-06)	(87, 3.880071160377866e-05)	(92, 1.955438617429287e-06)	(97, 2.1908613933439616e-05)	(102, 8.927584963070412e-05)	(107, 2.2095997689701407e-06)	(112, 4.255648570707543e-06)	(117, 8.603258697264662e-06)	(122, 3.0504080319474636e-06)	(127, 4.641447959472808e-07)	(132, 6.280415011406421e-05)	(137, 0.00011284129211315457)	(142, 0.00022733948677202632)	(147, 8.620839180048187e-05)	(150, 1.0178682288962529e-05)
SRR14240733_2	(1, 0.0048143824551442225)	(2, 0.007568468073435541)	(3, 0.004687965410370195)	(4, 0.004687965410370195)	(5, 0.00469248030482641)	(6, 0.004696995199282626)	(7, 0.004687965410370195)	(8, 0.004687965410370195)	(9, 0.004687965410370195)	(12, 0.00472378357305617)	(17, 0.004692179311862662)	(22, 0.004731910383077357)	(27, 0.005293864246394285)	(32, 0.006610708462790407)	(37, 0.0017835168725211371)	(42, 5.177792728754627e-05)	(47, 0.00019779907553649543)	(52, 4.1254497474223506e-05)	(57, 0.00020666392900225208)	(62, 6.302075383182315e-05)	(67, 4.9248851233532806e-05)	(72, 2.6686541427960986e-05)	(77, 1.7406015790224508e-05)	(82, 6.052488707546034e-05)	(87, 4.30362443585138e-05)	(92, 1.576327559425635e-05)	(97, 0.0008775071805265839)	(102, 5.954629909105517e-05)	(107, 1.376454548874936e-05)	(112, 4.1410523582654925e-05)	(117, 2.1275477138000495e-05)	(122, 7.965720548218949e-05)	(127, 0.0001583947103407647)	(132, 0.00011444931002550374)	(137, 2.7096375370525678e-05)	(142, 1.199547351897259e-05)	(147, 4.101597820204667e-06)	(150, 5.99802688907457e-06)
SRR14240734_1	(1, 1.3513344495298942)	(2, 1.3239072990981222)	(3, 1.318363481271974)	(4, 1.3505597181504612)	(5, 1.318363481271974)	(6, 1.3480408982128493)	(7, 1.318363481271974)	(8, 1.318370270544043)	(9, 1.318366498726227)	(12, 1.3186000496854018)	(17, 1.3184125149035837)	(22, 1.3184807093696995)	(27, 1.3195668420280322)	(32, 1.3219082356555731)	(37, 0.26824789438384383)	(42, 0.0002419028887367113)	(47, 4.8937485150627424e-06)	(52, 1.1931708645290978e-05)	(57, 1.0101080827127005e-05)	(62, 4.748883192884347e-06)	(67, 8.441667646040809e-05)	(72, 1.801865487972302e-05)	(77, 1.797870620016359e-05)	(82, 2.34950399033884e-06)	(87, 4.7640716899356175e-05)	(92, 3.7588941236737487e-06)	(97, 1.796454237263731e-05)	(102, 8.136763372549417e-05)	(107, 3.562733706424307e-06)	(112, 4.771943235675323e-06)	(117, 5.093773980665469e-06)	(122, 4.327426528980861e-06)	(127, 9.812799554718707e-07)	(132, 5.68842306636398e-05)	(137, 9.685357947559169e-05)	(142, 0.0002261124480000995)	(147, 7.763541116095177e-05)	(150, 4.510778245247269e-06)
SRR14240734_2	(1, 0.005655463633505558)	(2, 0.008369663733992819)	(3, 0.005549852734653914)	(4, 0.005549852734653914)	(5, 0.005551361461780366)	(6, 0.005556642006722948)	(7, 0.005549852734653914)	(8, 0.005549852734653914)	(9, 0.005549852734653914)	(12, 0.005585307822125537)	(17, 0.005554228043320625)	(22, 0.005646562143459492)	(27, 0.006655900591055921)	(32, 0.0086866473032604)	(37, 0.0023300111556866197)	(42, 6.398203268630185e-05)	(47, 0.0002188343069543306)	(52, 4.453305774848115e-05)	(57, 0.00021778885766256817)	(62, 7.649174360893304e-05)	(67, 5.861199871730291e-05)	(72, 3.1453841501272464e-05)	(77, 2.125198602293879e-05)	(82, 7.445183998701808e-05)	(87, 5.04106569108655e-05)	(92, 2.011882603566268e-05)	(97, 0.0009155290108747092)	(102, 6.403006167778564e-05)	(107, 1.6540698982554956e-05)	(112, 4.782951107781347e-05)	(117, 2.379950382421913e-05)	(122, 9.031415046758048e-05)	(127, 0.0001812472760054708)	(132, 0.0001247775199595231)	(137, 3.81312891063288e-05)	(142, 7.991054659512348e-06)	(147, 6.1052401372496535e-06)	(150, 4.369401813161932e-06)
