Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR14240730_1	(1, 35.931605494457024)	(2, 35.89306664167075)	(3, 36.026870015464894)	(4, 36.052569933003895)	(5, 36.08404665629659)	(6, 36.06575669354271)	(7, 36.04039371043432)	(8, 36.075207787708464)	(9, 36.0881470401666)	(12, 36.09192954482228)	(17, 36.0827762891706)	(22, 36.05676595935326)	(27, 36.0189926102729)	(32, 35.989832097669144)	(37, 36.367840116588404)	(42, 36.42450702166131)	(47, 36.425400278910615)	(52, 36.44193438413513)	(57, 36.41804935156587)	(62, 36.400600310699474)	(67, 36.37434099154872)	(72, 36.325481549733205)	(77, 36.33785726081381)	(82, 36.31963562285352)	(87, 36.30029022426519)	(92, 36.28415978544857)	(97, 36.24272168554158)	(102, 36.18070519191146)	(107, 36.165514542694986)	(112, 36.133180569272575)	(117, 36.09302860272615)	(122, 36.05674823802172)	(127, 36.025874264813964)	(132, 35.96385934464426)	(137, 35.93357754215851)	(142, 35.80040176669447)	(147, 35.80809407264772)	(150, 35.63110218080521)
SRR14240730_2	(1, 36.33839994629871)	(2, 36.29060895339193)	(3, 36.26379514841457)	(4, 36.274318423833165)	(5, 36.29633277043249)	(6, 36.28918703905173)	(7, 36.164120523624)	(8, 36.101750053958405)	(9, 36.13766813856273)	(12, 36.06454868228101)	(17, 36.067827528839274)	(22, 35.98240792917342)	(27, 35.876645012426)	(32, 35.83018204756297)	(37, 35.78585830869248)	(42, 35.80356640616246)	(47, 35.781597843203784)	(52, 35.725850577456555)	(57, 35.7683483109401)	(62, 35.835042070265125)	(67, 35.72167111651986)	(72, 35.66253548573377)	(77, 35.62642053779076)	(82, 35.73468188502306)	(87, 35.82137062836172)	(92, 35.85729118788436)	(97, 35.838527344615024)	(102, 35.76665108057541)	(107, 35.71098108256027)	(112, 35.63814709039032)	(117, 35.61651530679535)	(122, 35.45290183401601)	(127, 35.43363487982725)	(132, 35.422280471180294)	(137, 35.31377037675562)	(142, 35.19912824216054)	(147, 35.009793959610576)	(150, 34.64973342585817)
SRR14240731_1	(1, 36.234120440400275)	(2, 36.17132782144574)	(3, 36.31648628714224)	(4, 36.33165001857694)	(5, 36.36527651761101)	(6, 36.35266174913143)	(7, 36.32239329627341)	(8, 36.360476450288566)	(9, 36.37035206786316)	(12, 36.375480745643344)	(17, 36.36428058787181)	(22, 36.33968862034212)	(27, 36.301174020430985)	(32, 36.27972767949663)	(37, 36.43736277777917)	(42, 36.44863487023404)	(47, 36.429707732161546)	(52, 36.42040282325513)	(57, 36.40205411379014)	(62, 36.38688163757813)	(67, 36.35754235023345)	(72, 36.315674969660996)	(77, 36.31818953804211)	(82, 36.292553875144655)	(87, 36.25398639596697)	(92, 36.23361089246865)	(97, 36.18648282489184)	(102, 36.13148850982465)	(107, 36.101507606192776)	(112, 36.0662038548827)	(117, 36.019736463975235)	(122, 35.984610998795965)	(127, 35.95870146472804)	(132, 35.89350019077479)	(137, 35.873633505384376)	(142, 35.75080079669118)	(147, 35.76415334015728)	(150, 35.565848192799734)
SRR14240731_2	(1, 36.31065883247725)	(2, 36.22563012810861)	(3, 36.24591778236756)	(4, 36.26939775890553)	(5, 36.272046954521194)	(6, 36.24741781562242)	(7, 36.17275839242779)	(8, 36.19469519955718)	(9, 36.20006840264395)	(12, 36.137847374247386)	(17, 36.13372667922756)	(22, 36.08472650438879)	(27, 35.98693084414511)	(32, 35.9389500219873)	(37, 35.89900564236886)	(42, 35.91599773074845)	(47, 35.86545797052471)	(52, 35.82421350752125)	(57, 35.83555215413786)	(62, 35.877924793218334)	(67, 35.82473270649229)	(72, 35.74684328280063)	(77, 35.70085175704342)	(82, 35.70682953645628)	(87, 35.713759678942615)	(92, 35.745887413523846)	(97, 35.731681847699164)	(102, 35.66040046627605)	(107, 35.61632245828506)	(112, 35.53391209466973)	(117, 35.51386355255125)	(122, 35.354042671278684)	(127, 35.336045052719456)	(132, 35.331679151323584)	(137, 35.22279430748214)	(142, 35.105806445626115)	(147, 34.90193716218952)	(150, 34.53437509546022)
SRR14240732_1	(1, 36.042693273888766)	(2, 35.986682775123)	(3, 36.12826629887014)	(4, 36.1472506825202)	(5, 36.18103084201525)	(6, 36.16481162764718)	(7, 36.12841178580564)	(8, 36.16725382188377)	(9, 36.17096552415903)	(12, 36.17593823141003)	(17, 36.16682647663846)	(22, 36.14019702606056)	(27, 36.10070666429107)	(32, 36.076259113546385)	(37, 36.38528385622417)	(42, 36.440509565133546)	(47, 36.41488709421207)	(52, 36.40645088177102)	(57, 36.38214557983814)	(62, 36.3641123773656)	(67, 36.339763418389126)	(72, 36.29954990584062)	(77, 36.30516080736301)	(82, 36.27811227662501)	(87, 36.25145531835828)	(92, 36.23937267715466)	(97, 36.19944731943909)	(102, 36.14938314624872)	(107, 36.13045692192868)	(112, 36.09832037363316)	(117, 36.05997890772641)	(122, 36.0193760281142)	(127, 35.99722469745266)	(132, 35.92616499263434)	(137, 35.905970967522194)	(142, 35.78883012273188)	(147, 35.7876843042682)	(150, 35.57982800387376)
SRR14240732_2	(1, 36.357753105917936)	(2, 36.273914976066074)	(3, 36.26917528100837)	(4, 36.284431397652845)	(5, 36.29684254665867)	(6, 36.28395968719937)	(7, 36.18928705822168)	(8, 36.14974796440418)	(9, 36.16503153188171)	(12, 36.102874322919746)	(17, 36.10410349286433)	(22, 36.05226135970399)	(27, 35.924027575316515)	(32, 35.879229824350624)	(37, 35.84869180357357)	(42, 35.839359286732666)	(47, 35.79360539345616)	(52, 35.759298201503405)	(57, 35.79851528916527)	(62, 35.86088857297152)	(67, 35.77542301189224)	(72, 35.68383634669717)	(77, 35.64904715569523)	(82, 35.699886584722705)	(87, 35.77679009169147)	(92, 35.81160923906914)	(97, 35.79542609115905)	(102, 35.727155205218594)	(107, 35.67800036156098)	(112, 35.59335834771734)	(117, 35.575149860821654)	(122, 35.42638480189439)	(127, 35.38814529905541)	(132, 35.37179775869676)	(137, 35.24832040657897)	(142, 35.12524011553407)	(147, 34.91075315232827)	(150, 34.54821448057326)
SRR14240733_1	(1, 36.079774859069076)	(2, 36.02933618891378)	(3, 36.161624236892536)	(4, 36.18180787691362)	(5, 36.217038155192455)	(6, 36.197958075773656)	(7, 36.1692747255486)	(8, 36.208271945818375)	(9, 36.21582068380304)	(12, 36.21973773098501)	(17, 36.21262960757019)	(22, 36.18991538425605)	(27, 36.15576964081426)	(32, 36.128468865649026)	(37, 36.41940799691347)	(42, 36.4647813608755)	(47, 36.44536599978262)	(52, 36.44612180463575)	(57, 36.427560201475096)	(62, 36.41015854037444)	(67, 36.38886498484153)	(72, 36.354048693340886)	(77, 36.35247855823844)	(82, 36.31908710512183)	(87, 36.303433492074824)	(92, 36.29609562386539)	(97, 36.25569609306936)	(102, 36.21078543728388)	(107, 36.19433510198293)	(112, 36.16879771663966)	(117, 36.13196840729685)	(122, 36.096184304235635)	(127, 36.076217569849796)	(132, 36.01079258173961)	(137, 35.99364662711419)	(142, 35.885636541236)	(147, 35.88208278586056)	(150, 35.65900636042218)
SRR14240733_2	(1, 36.298676055359586)	(2, 36.20525680900263)	(3, 36.21154211397231)	(4, 36.2299310683974)	(5, 36.24860589088981)	(6, 36.229327517306494)	(7, 36.11956028961302)	(8, 36.09404722302688)	(9, 36.11732135345218)	(12, 36.04741058763218)	(17, 36.0531360065602)	(22, 35.99778163068838)	(27, 35.882080131069195)	(32, 35.828782069897315)	(37, 35.789328497075786)	(42, 35.793484863974314)	(47, 35.756263892058236)	(52, 35.71174428804324)	(57, 35.75185102980169)	(62, 35.80561523115726)	(67, 35.703363643170704)	(72, 35.63876533923937)	(77, 35.61078648547196)	(82, 35.69642164372883)	(87, 35.74505124064233)	(92, 35.76552170967242)	(97, 35.748446335515794)	(102, 35.677391685957026)	(107, 35.62720831399321)	(112, 35.54778638850486)	(117, 35.537278255121876)	(122, 35.38434723554043)	(127, 35.36324656607629)	(132, 35.36120356444685)	(137, 35.249527016123)	(142, 35.14035118271628)	(147, 34.9378697121362)	(150, 34.580097283207095)
SRR14240734_1	(1, 36.022784427425535)	(2, 35.96270695851202)	(3, 36.090679931717425)	(4, 36.1105664036221)	(5, 36.14226414197074)	(6, 36.12517208164422)	(7, 36.09037954414655)	(8, 36.125489427308004)	(9, 36.132878984182476)	(12, 36.14087718119321)	(17, 36.13152970989984)	(22, 36.107824178915244)	(27, 36.07090409175547)	(32, 36.05104173685391)	(37, 36.400713084513185)	(42, 36.46505658018246)	(47, 36.4375543598561)	(52, 36.439348728607946)	(57, 36.419261982553195)	(62, 36.3990601986687)	(67, 36.37872767742679)	(72, 36.33855135475089)	(77, 36.34495109537074)	(82, 36.326775043812816)	(87, 36.29660595394709)	(92, 36.28594273739734)	(97, 36.251585690543585)	(102, 36.20258726959359)	(107, 36.17795133365549)	(112, 36.14970584576603)	(117, 36.10948883227726)	(122, 36.07525059299422)	(127, 36.047796277460435)	(132, 35.987003473804485)	(137, 35.96444824546662)	(142, 35.84704024745994)	(147, 35.84380564208364)	(150, 35.652793584165394)
SRR14240734_2	(1, 36.23061350517776)	(2, 36.13523253060702)	(3, 36.14304242640256)	(4, 36.159555746547)	(5, 36.177549082740676)	(6, 36.160250719066894)	(7, 36.03486310066538)	(8, 36.02544383055679)	(9, 36.05098446858965)	(12, 35.96638373708028)	(17, 35.97799675376236)	(22, 35.93015063222154)	(27, 35.78889047271711)	(32, 35.73462063765507)	(37, 35.67777586118501)	(42, 35.68553910939651)	(47, 35.64156630566822)	(52, 35.59463413588761)	(57, 35.6308874340892)	(62, 35.70238858011811)	(67, 35.59612892730421)	(72, 35.50591473411003)	(77, 35.4647926589128)	(82, 35.54328050941159)	(87, 35.61787216509021)	(92, 35.65786993137275)	(97, 35.63735117753757)	(102, 35.560035594932764)	(107, 35.50813780385181)	(112, 35.41627385609364)	(117, 35.401064482919075)	(122, 35.23433341263576)	(127, 35.199356321288974)	(132, 35.18661383798796)	(137, 35.055508618589954)	(142, 34.9246336656247)	(147, 34.70490719759939)	(150, 34.330635479117845)
