Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
SRR14240730_1	(2.0, 1162814.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 2.0)	(14.0, 10.0)	(15.0, 59.0)	(16.0, 215.0)	(17.0, 625.0)	(18.0, 1445.0)	(19.0, 2903.0)	(20.0, 5754.0)	(21.0, 11074.0)	(22.0, 18814.0)	(23.0, 31694.0)	(24.0, 51514.0)	(25.0, 82412.0)	(26.0, 128076.0)	(27.0, 197214.0)	(28.0, 283088.0)	(29.0, 398442.0)	(30.0, 527773.0)	(31.0, 690895.0)	(32.0, 872551.0)	(33.0, 1183374.0)	(34.0, 1796505.0)	(35.0, 4084689.0)	(36.0, 48773545.0)	(37.0, 18843444.0)
SRR14240730_2	(2.0, 11477.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 1.0)	(10.0, 0.0)	(11.0, 232.0)	(12.0, 11593.0)	(13.0, 69523.0)	(14.0, 124113.0)	(15.0, 110125.0)	(16.0, 77183.0)	(17.0, 59904.0)	(18.0, 56700.0)	(19.0, 67185.0)	(20.0, 92214.0)	(21.0, 137631.0)	(22.0, 199300.0)	(23.0, 260480.0)	(24.0, 320873.0)	(25.0, 425052.0)	(26.0, 523970.0)	(27.0, 444329.0)	(28.0, 336188.0)	(29.0, 352517.0)	(30.0, 433088.0)	(31.0, 573042.0)	(32.0, 774476.0)	(33.0, 1161739.0)	(34.0, 2037114.0)	(35.0, 5906590.0)	(36.0, 50749795.0)	(37.0, 13832497.0)
SRR14240731_1	(2.0, 619737.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 21.0)	(15.0, 116.0)	(16.0, 298.0)	(17.0, 873.0)	(18.0, 1785.0)	(19.0, 3586.0)	(20.0, 6598.0)	(21.0, 12726.0)	(22.0, 22344.0)	(23.0, 37412.0)	(24.0, 59565.0)	(25.0, 97527.0)	(26.0, 153706.0)	(27.0, 240148.0)	(28.0, 349582.0)	(29.0, 498817.0)	(30.0, 666108.0)	(31.0, 875280.0)	(32.0, 1112530.0)	(33.0, 1518613.0)	(34.0, 2344387.0)	(35.0, 5602318.0)	(36.0, 64210623.0)	(37.0, 18769145.0)
SRR14240731_2	(2.0, 9461.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 423.0)	(12.0, 20067.0)	(13.0, 111543.0)	(14.0, 179792.0)	(15.0, 157552.0)	(16.0, 108358.0)	(17.0, 80322.0)	(18.0, 71273.0)	(19.0, 79003.0)	(20.0, 103555.0)	(21.0, 149196.0)	(22.0, 205849.0)	(23.0, 257247.0)	(24.0, 283521.0)	(25.0, 317117.0)	(26.0, 361174.0)	(27.0, 412426.0)	(28.0, 450717.0)	(29.0, 516663.0)	(30.0, 617139.0)	(31.0, 800575.0)	(32.0, 1082354.0)	(33.0, 1634539.0)	(34.0, 2951930.0)	(35.0, 9056927.0)	(36.0, 64726109.0)	(37.0, 12459013.0)
SRR14240732_1	(2.0, 954273.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 1.0)	(13.0, 0.0)	(14.0, 8.0)	(15.0, 47.0)	(16.0, 146.0)	(17.0, 430.0)	(18.0, 976.0)	(19.0, 1988.0)	(20.0, 4119.0)	(21.0, 8193.0)	(22.0, 15004.0)	(23.0, 26696.0)	(24.0, 46251.0)	(25.0, 77892.0)	(26.0, 128340.0)	(27.0, 200379.0)	(28.0, 292643.0)	(29.0, 413097.0)	(30.0, 549010.0)	(31.0, 720031.0)	(32.0, 916290.0)	(33.0, 1248045.0)	(34.0, 1923383.0)	(35.0, 4589107.0)	(36.0, 51250418.0)	(37.0, 17286523.0)
SRR14240732_2	(2.0, 6548.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 232.0)	(12.0, 13763.0)	(13.0, 78811.0)	(14.0, 129884.0)	(15.0, 118385.0)	(16.0, 86932.0)	(17.0, 66116.0)	(18.0, 59737.0)	(19.0, 68171.0)	(20.0, 88895.0)	(21.0, 129716.0)	(22.0, 184099.0)	(23.0, 240281.0)	(24.0, 294393.0)	(25.0, 379053.0)	(26.0, 453691.0)	(27.0, 417643.0)	(28.0, 345654.0)	(29.0, 368043.0)	(30.0, 454333.0)	(31.0, 604767.0)	(32.0, 820942.0)	(33.0, 1230872.0)	(34.0, 2169929.0)	(35.0, 6445995.0)	(36.0, 52927457.0)	(37.0, 12468948.0)
SRR14240733_1	(2.0, 748697.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 2.0)	(14.0, 2.0)	(15.0, 25.0)	(16.0, 85.0)	(17.0, 258.0)	(18.0, 689.0)	(19.0, 1538.0)	(20.0, 3174.0)	(21.0, 6309.0)	(22.0, 11514.0)	(23.0, 19255.0)	(24.0, 31981.0)	(25.0, 53467.0)	(26.0, 88429.0)	(27.0, 143029.0)	(28.0, 216931.0)	(29.0, 314881.0)	(30.0, 426334.0)	(31.0, 564696.0)	(32.0, 722927.0)	(33.0, 986382.0)	(34.0, 1510935.0)	(35.0, 3533426.0)	(36.0, 42418187.0)	(37.0, 14643583.0)
SRR14240733_2	(2.0, 3115.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 266.0)	(12.0, 11341.0)	(13.0, 65583.0)	(14.0, 108092.0)	(15.0, 96788.0)	(16.0, 67653.0)	(17.0, 50690.0)	(18.0, 46292.0)	(19.0, 53398.0)	(20.0, 71320.0)	(21.0, 103771.0)	(22.0, 147236.0)	(23.0, 188363.0)	(24.0, 228336.0)	(25.0, 285558.0)	(26.0, 359937.0)	(27.0, 368414.0)	(28.0, 323690.0)	(29.0, 337528.0)	(30.0, 415716.0)	(31.0, 552716.0)	(32.0, 757132.0)	(33.0, 1149036.0)	(34.0, 2065078.0)	(35.0, 6203724.0)	(36.0, 43537976.0)	(37.0, 8847987.0)
SRR14240734_1	(2.0, 1747650.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 1.0)	(14.0, 14.0)	(15.0, 102.0)	(16.0, 317.0)	(17.0, 790.0)	(18.0, 1874.0)	(19.0, 3921.0)	(20.0, 7956.0)	(21.0, 15887.0)	(22.0, 28095.0)	(23.0, 47571.0)	(24.0, 78002.0)	(25.0, 128906.0)	(26.0, 203613.0)	(27.0, 316932.0)	(28.0, 460636.0)	(29.0, 650063.0)	(30.0, 869543.0)	(31.0, 1142087.0)	(32.0, 1450043.0)	(33.0, 1968418.0)	(34.0, 2990219.0)	(35.0, 6829492.0)	(36.0, 82346007.0)	(37.0, 31273937.0)
SRR14240734_2	(2.0, 7357.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 498.0)	(12.0, 25750.0)	(13.0, 144625.0)	(14.0, 233934.0)	(15.0, 201809.0)	(16.0, 142970.0)	(17.0, 111096.0)	(18.0, 106148.0)	(19.0, 127392.0)	(20.0, 171094.0)	(21.0, 245012.0)	(22.0, 330087.0)	(23.0, 409318.0)	(24.0, 482961.0)	(25.0, 612675.0)	(26.0, 784508.0)	(27.0, 851193.0)	(28.0, 771025.0)	(29.0, 777199.0)	(30.0, 905616.0)	(31.0, 1166164.0)	(32.0, 1560550.0)	(33.0, 2342408.0)	(34.0, 4297227.0)	(35.0, 13740008.0)	(36.0, 87496246.0)	(37.0, 14517206.0)
