Sample	Unique Reads	Duplicate Reads
SRR14240730_1	22175119	56973812
SRR14240730_2	26712453	52436478
SRR14240731_1	32885489	64318356
SRR14240731_2	38298113	58905732
SRR14240732_1	30086785	50566505
SRR14240732_2	35624087	45029203
SRR14240733_1	25933164	40513572
SRR14240733_2	31674986	34771750
SRR14240734_1	34105689	98456387
SRR14240734_2	41471160	91090916
SRR14240735_1	46948245	94673973
SRR14240735_2	55661788	85960430
SRR14240736_1	24890195	70197906
SRR14240736_2	30012068	65076033
SRR14240737_1	28977874	82156615
SRR14240737_2	35215500	75918989
SRR14240738_1	35763368	77578080
SRR14240738_2	44700330	68641118
SRR14240739_1	21441708	68259606
SRR14240739_2	25675700	64025614
SRR14240740_1	28803370	71273415
SRR14240740_2	33620504	66456281
SRR14240741_1	31940653	62637131
SRR14240741_2	40959098	53618686
SRR14240742_1	21957397	19598823
SRR14240742_2	25082619	16473601
SRR14240743_1	21743904	44969139
SRR14240743_2	24743136	41969907
SRR14240744_1	39752517	74487759
SRR14240744_2	46484417	67755859
SRR14240745_1	28651598	48958465
SRR14240745_2	34440331	43169732
SRR14240746_1	28466937	69999040
SRR14240746_2	32742159	65723818
SRR14240747_1	28888900	44605816
SRR14240747_2	34926997	38567719
SRR14240748_1	30032870	65782078
SRR14240748_2	36063849	59751099
SRR14240749_1	30339923	66936390
SRR14240749_2	37563430	59712883
SRR14240750_1	27124384	59116026
SRR14240750_2	33385890	52854520
SRR14240751_1	11856800	63797017
SRR14240751_2	17984379	57669438
SRR14240752_1	23870292	45732021
SRR14240752_2	28626944	40975369
SRR14240753_1	39944280	57439330
SRR14240753_2	48774868	48608742
SRR14240754_1	23286797	37611412
SRR14240754_2	29786976	31111233
SRR14240755_1	33382747	52275025
SRR14240755_2	39786044	45871728
SRR14240756_1	23991983	32414928
SRR14240756_2	29207657	27199254
SRR14240757_1	21708923	58126305
SRR14240757_2	29580560	50254668
SRR14240758_1	22901687	32707806
SRR14240758_2	27752309	27857184
SRR14240759_1	22491606	22670922
SRR14240759_2	26673912	18488616
SRR14240760_1	39009484	63276838
SRR14240760_2	47071101	55215221
SRR14240761_1	16648482	54355117
SRR14240761_2	24244534	46759065
SRR14240762_1	54713352	99470325
SRR14240762_2	67112024	87071653
SRR14240763_1	30603861	38105545
SRR14240763_2	36926050	31783356
SRR14240764_1	34461726	53297330
SRR14240764_2	42559643	45199413
SRR14240765_1	41468837	83597646
SRR14240765_2	52478395	72588088
SRR14240766_1	31598932	55673422
SRR14240766_2	37179309	50093045
SRR14240767_1	37021280	48330525
SRR14240767_2	45336392	40015413
SRR14240768_1	23771863	35955010
SRR14240768_2	29686496	30040377
SRR14240769_1	44097174	75191195
SRR14240769_2	55583228	63705141
SRR14240770_1	25816624	59378197
SRR14240770_2	34167096	51027725
SRR14240771_1	23444354	43327086
SRR14240771_2	27734545	39036895
SRR14240772_1	28128746	58397954
SRR14240772_2	36285572	50241128
SRR14240773_1	37579279	50658421
SRR14240773_2	46847638	41390062
SRR14240774_1	11785525	15632373
SRR14240774_2	13553398	13864500
SRR14240775_1	41209252	85028612
SRR14240775_2	51125692	75112172
SRR14240776_1	44265116	52981880
SRR14240776_2	51639542	45607454
SRR14240777_1	36254107	49839121
SRR14240777_2	42218164	43875064
SRR14240778_1	35965236	54353933
SRR14240778_2	43505146	46814023
SRR14240779_1	42096549	80172737
SRR14240779_2	51184469	71084817
SRR14240780_1	39579799	75562081
SRR14240780_2	52213068	62928812
SRR14240781_1	26629121	50000145
SRR14240781_2	33126691	43502575
SRR14240782_1	24983739	54825926
SRR14240782_2	30846932	48962733
SRR14240783_1	33261752	49579430
SRR14240783_2	39269347	43571835
SRR14240784_1	30723929	63723184
SRR14240784_2	38122194	56324919
SRR14240785_1	25114070	51582680
SRR14240785_2	32399247	44297503
SRR14240786_1	38099553	65854083
SRR14240786_2	46635499	57318137
SRR14240787_1	39834085	78260615
SRR14240787_2	50749753	67344947
SRR14240788_1	19132988	39519391
SRR14240788_2	23866982	34785397
SRR14240789_1	19442686	71361805
SRR14240789_2	24966224	65838267
SRR14240790_1	25967580	47988947
SRR14240790_2	32494827	41461700
SRR14240791_1	29549674	71191011
SRR14240791_2	38899908	61840777
SRR14240792_1	24674774	53354955
SRR14240792_2	36910154	41119575
SRR14240793_1	62181126	98048606
SRR14240793_2	76212739	84016993
SRR14240794_1	20450600	44630673
SRR14240794_2	27144784	37936489
SRR14240795_1	27628972	72685423
SRR14240795_2	33630101	66684294
SRR14240796_1	33360270	54732476
SRR14240796_2	39399353	48693393
SRR14240797_1	40812426	100281551
SRR14240797_2	52214063	88879914
SRR14240798_1	37379164	52294768
SRR14240798_2	44179889	45494043
