Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR14240730_1	(1.0, 16.125319446306474)	(2.0, 12.488190903654736)	(3.0, 7.388114282460151)	(4.0, 4.422923297786975)	(5.0, 2.9161017122222606)	(6.0, 2.047403371778399)	(7.0, 1.6101750023078822)	(8.0, 1.2724144060199258)	(9.0, 1.0377797659729322)	('>10', 10.375376393707691)	('>50', 2.5272492766276486)	('>100', 4.063807175657576)	('>500', 1.359909694761432)	('>1k', 3.2325609375898754)	('>5k', 1.6216828515694737)	('>10k+', 27.51099148157642)
SRR14240730_2	(1.0, 21.166482511742053)	(2.0, 13.931387971863254)	(3.0, 7.993619033368063)	(4.0, 4.443985610880415)	(5.0, 2.832255468797644)	(6.0, 1.8557788473684125)	(7.0, 1.467880007044161)	(8.0, 1.096127666499494)	(9.0, 0.9346767020745876)	('>10', 8.176078129812254)	('>50', 1.9740333735165534)	('>100', 3.1931355545144737)	('>500', 1.1364973672458571)	('>1k', 2.8297531592497434)	('>5k', 1.8206070672282513)	('>10k+', 25.14770152879477)
SRR14240731_1	(1.0, 20.02144961638519)	(2.0, 14.320994207651804)	(3.0, 8.471793436386337)	(4.0, 5.069112380227773)	(5.0, 3.372456202380884)	(6.0, 2.6474745323002398)	(7.0, 2.0259575468097357)	(8.0, 1.5712846370781697)	(9.0, 1.338085267285673)	('>10', 13.040924213986058)	('>50', 2.9938862026378485)	('>100', 4.529275126934781)	('>500', 1.4530485834420612)	('>1k', 2.7206566764678466)	('>5k', 1.3741215085297989)	('>10k+', 15.049479861496112)
SRR14240731_2	(1.0, 24.897253088371045)	(2.0, 15.819905037133358)	(3.0, 8.991277627733579)	(4.0, 5.345985183963396)	(5.0, 3.3615217786121954)	(6.0, 2.3851821920715794)	(7.0, 1.690758611075465)	(8.0, 1.402708637112804)	(9.0, 1.134127722999427)	('>10', 10.27830610279768)	('>50', 2.255861698469324)	('>100', 3.5099079308175267)	('>500', 1.099152821122272)	('>1k', 2.4163984905818885)	('>5k', 1.3520596397077569)	('>10k+', 14.059593437430681)
SRR14240732_1	(1.0, 24.68010779837488)	(2.0, 13.780519331249257)	(3.0, 7.214330373752381)	(4.0, 4.29034229486761)	(5.0, 2.919449404250022)	(6.0, 2.3250811061324295)	(7.0, 1.7725290433250804)	(8.0, 1.4331068548188204)	(9.0, 1.1581899169044416)	('>10', 11.51397381510155)	('>50', 2.4856040529307966)	('>100', 4.132392592589389)	('>500', 1.5218406239900453)	('>1k', 3.349136672888316)	('>5k', 1.5869748526021015)	('>10k+', 15.836421266222986)
SRR14240732_2	(1.0, 31.10785409313702)	(2.0, 15.272259570236917)	(3.0, 7.581062807157784)	(4.0, 4.134039155229923)	(5.0, 2.778793483986271)	(6.0, 1.9642672726575778)	(7.0, 1.4975882256390505)	(8.0, 1.1183466005721059)	(9.0, 0.9296814051923772)	('>10', 8.17325675345511)	('>50', 1.8674397051037657)	('>100', 3.582712166024721)	('>500', 1.2933727086298945)	('>1k', 3.095750954180644)	('>5k', 1.3997970668679087)	('>10k+', 14.203778031928795)
SRR14240733_1	(1.0, 26.23224960960678)	(2.0, 14.181984800150415)	(3.0, 7.2996478699109915)	(4.0, 4.343752712403683)	(5.0, 2.953245800895487)	(6.0, 2.2133317586596104)	(7.0, 1.748610862429081)	(8.0, 1.3353484365062145)	(9.0, 1.1261841265779327)	('>10', 10.857568367290641)	('>50', 2.428676645651372)	('>100', 3.7850242503892817)	('>500', 1.1860529454366238)	('>1k', 2.590454389503468)	('>5k', 1.1415238496950573)	('>10k+', 16.576343574893333)
SRR14240733_2	(1.0, 34.47157969547856)	(2.0, 16.138697782317422)	(3.0, 7.4582155342283745)	(4.0, 3.968793578227255)	(5.0, 2.4287463297983978)	(6.0, 1.785543013533855)	(7.0, 1.3061404185360317)	(8.0, 1.0394841896043678)	(9.0, 0.8060481463399438)	('>10', 7.259277571812412)	('>50', 1.628425169063702)	('>100', 2.8054884092396346)	('>500', 1.006883374544029)	('>1k', 2.3024011716108967)	('>5k', 1.2953236768481504)	('>10k+', 14.298951938816998)
SRR14240734_1	(1.0, 13.839768618735809)	(2.0, 11.490073408396492)	(3.0, 7.425092487466518)	(4.0, 4.568431422366654)	(5.0, 3.1376059502997307)	(6.0, 2.403618034170493)	(7.0, 1.8832262129136836)	(8.0, 1.589944362183292)	(9.0, 1.3879040356546712)	('>10', 14.197092389553267)	('>50', 3.5823054403749497)	('>100', 5.291574674463689)	('>500', 1.6524054140290043)	('>1k', 3.4675251273718586)	('>5k', 1.569372472130482)	('>10k+', 22.51405994988972)
SRR14240734_2	(1.0, 18.533617860133695)	(2.0, 12.851686260594212)	(3.0, 8.071388876933161)	(4.0, 4.962659611899311)	(5.0, 3.259867877312418)	(6.0, 2.4050233012293636)	(7.0, 1.8116983659994743)	(8.0, 1.5053306343019028)	(9.0, 1.271526732390833)	('>10', 12.038529105440427)	('>50', 2.7210983481526485)	('>100', 4.201925032318358)	('>500', 1.37972269820364)	('>1k', 2.774587411419099)	('>5k', 1.6338565965763445)	('>10k+', 20.577481287094844)
SRR14240735_1	(1.0, 20.192908588582792)	(2.0, 13.456556893976067)	(3.0, 7.821959959068769)	(4.0, 4.732742075296535)	(5.0, 3.3232249582843147)	(6.0, 2.458245332573539)	(7.0, 1.8371586480516164)	(8.0, 1.5178153206615592)	(9.0, 1.3365761493277004)	('>10', 12.231876575605284)	('>50', 2.6574584950540325)	('>100', 4.093165050390125)	('>500', 1.322483141656581)	('>1k', 2.501719393749992)	('>5k', 1.1750870555823856)	('>10k+', 19.341022362138524)
