Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
SRR14240730_1	(37, 1175178.0)	(42, 12284.0)	(47, 21484.0)	(52, 42529.0)	(57, 76637.0)	(62, 161339.0)	(67, 302220.0)	(72, 540858.0)	(77, 909150.0)	(82, 1425890.0)	(87, 1885916.0)	(92, 2617796.0)	(97, 3264936.0)	(102, 3290629.0)	(107, 3220221.0)	(112, 3304950.0)	(117, 3586264.0)	(122, 3446838.0)	(127, 3265655.0)	(132, 2884202.0)	(137, 2861392.0)	(142, 2616107.0)	(147, 5640252.0)	(151, 32596204.0)
SRR14240730_2	(37, 23689.0)	(42, 12132.0)	(47, 21278.0)	(52, 42099.0)	(57, 75702.0)	(62, 159292.0)	(67, 298898.0)	(72, 533958.0)	(77, 898147.0)	(82, 1407224.0)	(87, 1862344.0)	(92, 2582522.0)	(97, 3221540.0)	(102, 3247707.0)	(107, 3173989.0)	(112, 3246132.0)	(117, 3529696.0)	(122, 3396217.0)	(127, 3214011.0)	(132, 2838699.0)	(137, 2813571.0)	(142, 2600855.0)	(147, 6595136.0)	(151, 33354093.0)
SRR14240731_1	(37, 629518.0)	(42, 8480.0)	(47, 15414.0)	(52, 31306.0)	(57, 55921.0)	(62, 120205.0)	(67, 223248.0)	(72, 409964.0)	(77, 724935.0)	(82, 1222974.0)	(87, 1790871.0)	(92, 2559517.0)	(97, 3308225.0)	(102, 3577589.0)	(107, 3860220.0)	(112, 3945846.0)	(117, 4183965.0)	(122, 4096781.0)	(127, 4030435.0)	(132, 3735950.0)	(137, 3680460.0)	(142, 3415493.0)	(147, 7572378.0)	(151, 44004150.0)
SRR14240731_2	(37, 19062.0)	(42, 8321.0)	(47, 15201.0)	(52, 31011.0)	(57, 55257.0)	(62, 117188.0)	(67, 220583.0)	(72, 404513.0)	(77, 715680.0)	(82, 1206037.0)	(87, 1766568.0)	(92, 2522547.0)	(97, 3260909.0)	(102, 3526324.0)	(107, 3799442.0)	(112, 3879437.0)	(117, 4115444.0)	(122, 4033451.0)	(127, 3960690.0)	(132, 3671084.0)	(137, 3615982.0)	(142, 3393355.0)	(147, 8497880.0)	(151, 44367879.0)
SRR14240732_1	(37, 961157.0)	(42, 8002.0)	(47, 15823.0)	(52, 35366.0)	(57, 64727.0)	(62, 142436.0)	(67, 263182.0)	(72, 487915.0)	(77, 827847.0)	(82, 1311901.0)	(87, 1875265.0)	(92, 2570990.0)	(97, 3264066.0)	(102, 3536126.0)	(107, 3718617.0)	(112, 3719493.0)	(117, 3921575.0)	(122, 3748913.0)	(127, 3647667.0)	(132, 3316219.0)	(137, 3252319.0)	(142, 2939837.0)	(147, 5820713.0)	(151, 31203134.0)
SRR14240732_2	(37, 13341.0)	(42, 7927.0)	(47, 15648.0)	(52, 34990.0)	(57, 64015.0)	(62, 140585.0)	(67, 259884.0)	(72, 481158.0)	(77, 816768.0)	(82, 1292463.0)	(87, 1848359.0)	(92, 2531237.0)	(97, 3213994.0)	(102, 3480558.0)	(107, 3657323.0)	(112, 3653164.0)	(117, 3852477.0)	(122, 3683589.0)	(127, 3582624.0)	(132, 3259741.0)	(137, 3197836.0)	(142, 2924432.0)	(147, 6599471.0)	(151, 32041706.0)
SRR14240733_1	(37, 753061.0)	(42, 4919.0)	(47, 10189.0)	(52, 22012.0)	(57, 43280.0)	(62, 98008.0)	(67, 192053.0)	(72, 361043.0)	(77, 613964.0)	(82, 956163.0)	(87, 1343398.0)	(92, 1811993.0)	(97, 2334332.0)	(102, 2539290.0)	(107, 2615069.0)	(112, 2720696.0)	(117, 3000318.0)	(122, 2835114.0)	(127, 2727459.0)	(132, 2516435.0)	(137, 2533592.0)	(142, 2342143.0)	(147, 5172042.0)	(151, 28900163.0)
SRR14240733_2	(37, 7415.0)	(42, 4897.0)	(47, 10112.0)	(52, 21810.0)	(57, 42868.0)	(62, 96875.0)	(67, 189844.0)	(72, 356373.0)	(77, 606216.0)	(82, 943160.0)	(87, 1325521.0)	(92, 1785414.0)	(97, 2300480.0)	(102, 2502613.0)	(107, 2575465.0)	(112, 2668024.0)	(117, 2945367.0)	(122, 2788144.0)	(127, 2680639.0)	(132, 2475338.0)	(137, 2490280.0)	(142, 2326797.0)	(147, 5823121.0)	(151, 29479963.0)
SRR14240734_1	(37, 1760902.0)	(42, 13616.0)	(47, 25424.0)	(52, 51894.0)	(57, 89581.0)	(62, 188169.0)	(67, 349431.0)	(72, 635122.0)	(77, 1108083.0)	(82, 1810433.0)	(87, 2701958.0)	(92, 3871899.0)	(97, 5146932.0)	(102, 5692717.0)	(107, 6113955.0)	(112, 6132567.0)	(117, 6546701.0)	(122, 6305112.0)	(127, 6143115.0)	(132, 5622777.0)	(137, 5579380.0)	(142, 5111527.0)	(147, 9900671.0)	(151, 51660110.0)
SRR14240734_2	(37, 20090.0)	(42, 13302.0)	(47, 25018.0)	(52, 51192.0)	(57, 88105.0)	(62, 184898.0)	(67, 344142.0)	(72, 624229.0)	(77, 1089521.0)	(82, 1778184.0)	(87, 2655854.0)	(92, 3802539.0)	(97, 5056980.0)	(102, 5594323.0)	(107, 5999684.0)	(112, 6007234.0)	(117, 6413409.0)	(122, 6178087.0)	(127, 6018202.0)	(132, 5508434.0)	(137, 5469926.0)	(142, 5040821.0)	(147, 11077767.0)	(151, 53520135.0)
