Sample	FastQC_mqc_generalstats_fastqc_percent_duplicates	FastQC_mqc_generalstats_fastqc_percent_gc	FastQC_mqc_generalstats_fastqc_avg_sequence_length	FastQC_mqc_generalstats_fastqc_median_sequence_length	FastQC_mqc_generalstats_fastqc_percent_fails	FastQC_mqc_generalstats_fastqc_total_sequences
SRR14240730_1	71.983047558178	50.0	129.24852747537423	142	36.36363636363637	79.14893099999999
SRR14240730_2	66.25039382969365	51.0	131.1360287860363	147	18.181818181818183	79.14893099999999
SRR14240731_1	66.1685314497468	48.0	132.82007928801582	147	36.36363636363637	97.203845
SRR14240731_2	60.60020797045995	48.0	133.75666786637916	147	18.181818181818183	97.203845
SRR14240732_1	62.696146699430734	46.0	129.1214252512204	137	36.36363636363637	80.65329
SRR14240732_2	55.83058451309475	47.0	130.74268965345368	142	27.27272727272727	80.65329
SRR14240733_1	60.97150084482699	47.0	131.46930473755702	147	36.36363636363637	66.446736
SRR14240733_2	52.330260896642976	47.0	132.9834207206205	147	27.27272727272727	66.446736
SRR14240734_1	74.27191163228136	49.0	129.7912842508592	142	36.36363636363637	132.562076
SRR14240734_2	68.71566819738473	50.0	131.6124378362934	142	18.181818181818183	132.562076
SRR14240735_1	66.84966155738377	49.0	131.12361196037756	142	36.36363636363637	141.622218
SRR14240735_2	60.69699482031716	50.0	132.4685240842648	147	18.181818181818183	141.622218
SRR14240736_1	73.82406976784144	51.0	128.07489424991252	137	36.36363636363637	95.088101
SRR14240736_2	68.43762020137468	52.0	131.36836860376462	142	18.181818181818183	95.088101
SRR14240737_1	73.9254001405574	50.0	128.64877357739056	137	36.36363636363637	111.13448899999999
SRR14240737_2	68.31271784671691	51.0	131.47763929521466	142	18.181818181818183	111.13448899999999
SRR14240738_1	68.44634651734592	48.0	129.1078463370258	142	36.36363636363637	113.341448
SRR14240738_2	60.56135647825257	49.0	132.01534516305102	147	18.181818181818183	113.341448
SRR14240739_1	76.09655182922069	51.0	128.54745046432654	137	36.36363636363637	89.701314
SRR14240739_2	71.37645106124128	51.0	130.492738367244	142	18.181818181818183	89.701314
SRR14240740_1	71.21872970785803	50.0	126.84218697672992	137	36.36363636363637	100.076785
SRR14240740_2	66.40529269193235	51.0	128.57192712575647	137	18.181818181818183	100.076785
SRR14240741_1	66.22816529929408	46.0	128.48042311923908	137	36.36363636363637	94.577784
SRR14240741_2	56.69268633271313	47.0	130.9983737618551	142	27.27272727272727	94.577784
SRR14240742_1	47.16218923534991	46.0	136.41838634505257	151	9.090909090909092	41.556219999999996
SRR14240742_2	39.64172198593886	46.0	137.25347673585327	151	9.090909090909092	41.556219999999996
SRR14240743_1	67.4068187806522	53.0	130.3990108950659	142	36.36363636363637	66.713043
SRR14240743_2	62.911097080425336	53.0	131.3195873406644	142	18.181818181818183	66.713043
SRR14240744_1	65.20271304599615	49.0	128.51898376015828	137	36.36363636363637	114.240276
SRR14240744_2	59.30995790181616	49.0	130.32824827909204	142	18.181818181818183	114.240276
SRR14240745_1	63.0826257079676	48.0	130.43284415321244	142	36.36363636363637	77.610063
SRR14240745_2	55.623885953165455	49.0	132.44582271502603	147	27.27272727272727	77.610063
SRR14240746_1	71.08957107565087	51.0	130.31778973766745	142	36.36363636363637	98.465977
SRR14240746_2	66.74774465783585	52.0	131.43086672465557	142	18.181818181818183	98.465977
