Module	Section	Sample Name	Source
FastQC	all_sections	SRR14240744_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240744_1_fastqc.zip
FastQC	all_sections	SRR14240759_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240759_2_fastqc.zip
FastQC	all_sections	SRR14240786_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240786_2_fastqc.zip
FastQC	all_sections	SRR14240773_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240773_2_fastqc.zip
FastQC	all_sections	SRR14240772_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240772_2_fastqc.zip
FastQC	all_sections	SRR14240745_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240745_1_fastqc.zip
FastQC	all_sections	SRR14240787_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240787_2_fastqc.zip
FastQC	all_sections	SRR14240758_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240758_2_fastqc.zip
FastQC	all_sections	SRR14240770_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240770_2_fastqc.zip
FastQC	all_sections	SRR14240785_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240785_2_fastqc.zip
FastQC	all_sections	SRR14240747_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240747_1_fastqc.zip
FastQC	all_sections	SRR14240798_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240798_1_fastqc.zip
FastQC	all_sections	SRR14240784_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240784_2_fastqc.zip
FastQC	all_sections	SRR14240746_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240746_1_fastqc.zip
FastQC	all_sections	SRR14240771_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240771_2_fastqc.zip
FastQC	all_sections	SRR14240743_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240743_1_fastqc.zip
FastQC	all_sections	SRR14240781_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240781_2_fastqc.zip
FastQC	all_sections	SRR14240774_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240774_2_fastqc.zip
FastQC	all_sections	SRR14240769_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240769_1_fastqc.zip
FastQC	all_sections	SRR14240775_2	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240775_2_fastqc.zip
FastQC	all_sections	SRR14240768_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240768_1_fastqc.zip
FastQC	all_sections	SRR14240742_1	/wrk-vakka/users/nikiarte/rnaseq_analysis/snakemake/fastqc_notrim/SRR14240742_1_fastqc.zip
