Sample	Assigned	Unassigned: Multi Mapping	Unassigned: No Features
SRR14240730	72406348	118486054	44300319
SRR14240731	93672796	95681939	67650299
SRR14240732	77778066	65471329	56413361
SRR14240733	59845982	49587637	51348232
SRR14240734	129960524	144721381	83202886
SRR14240735	118664038	155570846	108312004
SRR14240736	94303956	131476103	49861118
SRR14240737	106468670	140870560	67335367
SRR14240738	94853735	103152882	90952438
SRR14240739	84512060	124317296	54381044
SRR14240740	77597126	182443048	77028835
SRR14240741	79005203	59567687	83412817
SRR14240742	33907351	21526395	40087197
SRR14240743	56199352	110690083	38586858
SRR14240744	93231746	121989227	95388659
SRR14240745	62311454	85993295	59572523
SRR14240746	87923048	164302262	58948504
SRR14240747	66788812	49122973	59887118
SRR14240748	86863627	111082791	65869296
SRR14240749	83757699	71286554	82664832
SRR14240750	70717365	90853681	70927234
SRR14240751	65471754	100720087	44671347
SRR14240752	62929741	68543865	50955497
SRR14240753	85049550	69035941	80438396
SRR14240754	53890211	85099701	34873385
SRR14240755	74022056	82441854	67497076
SRR14240756	51057002	59689559	36881119
SRR14240757	79035182	127012989	35321486
SRR14240758	55923592	37296749	38512521
SRR14240759	36370663	47320608	38834558
SRR14240760	103207933	100391709	66987228
SRR14240761	69282343	92529086	32292290
SRR14240762	144285874	117635121	116697042
SRR14240763	57672140	55620577	58211593
SRR14240764	75529854	60968224	71477775
SRR14240765	110988893	116728585	89843447
SRR14240766	73231792	92445973	66427329
SRR14240767	71520146	61343536	74986033
SRR14240768	49801730	74209800	43235988
SRR14240769	95226736	111393602	97444037
SRR14240770	75160757	76892496	64631863
SRR14240771	54846165	80601107	51590936
SRR14240772	73658097	110793826	56275066
SRR14240773	73085332	79246696	73238105
SRR14240774	26393299	31907535	16392263
SRR14240775	107755837	174842907	85126770
SRR14240776	71309155	72059094	93935161
SRR14240777	64707592	72397951	80521352
SRR14240778	75916490	92161572	71250861
SRR14240779	114561540	105100023	85501818
SRR14240780	101510583	116927219	86759387
SRR14240781	69453691	87607807	50508423
SRR14240782	79786352	78332022	51037290
SRR14240783	63994174	66128271	77149599
SRR14240784	91885380	96126920	63937449
SRR14240785	60729302	142645172	35819578
SRR14240786	98953615	76672872	78766684
SRR14240787	115513552	95305954	80030035
SRR14240788	58019307	68478740	31732532
SRR14240789	82995319	225394961	30894848
SRR14240790	63969248	74672766	52563442
SRR14240791	99825118	80708265	64468607
SRR14240792	55211992	66302010	58085637
SRR14240793	128971522	222349133	122925497
SRR14240794	59276715	106654803	28231467
SRR14240795	102877803	125791703	46710775
SRR14240796	76984091	115064262	60405608
SRR14240797	142277957	147076967	83235724
SRR14240798	94675945	80380602	49199570
