Sample	featureCounts_mqc_generalstats_featurecounts_percent_assigned	featureCounts_mqc_generalstats_featurecounts_Assigned
SRR14240730	30.785964672775734	72.406348
SRR14240731	36.44784483093043	93.67279599999999
SRR14240732	38.95471922665437	77.778066
SRR14240733	37.22185161309034	59.845982
SRR14240734	36.313508500002165	129.960524
SRR14240735	31.019475447935157	118.66403799999999
SRR14240736	34.21257920401348	94.303956
SRR14240737	33.83452970625398	106.46866999999999
SRR14240738	32.82601232205719	94.853735
SRR14240739	32.10817657660944	84.51205999999999
SRR14240740	23.021139270623365	77.597126
SRR14240741	35.590220680289114	79.005203
SRR14240742	35.49729508009568	33.907351
SRR14240743	27.35077179925569	56.199352
SRR14240744	30.01572919670437	93.231746
SRR14240745	29.975116279186114	62.311454
SRR14240746	28.25528500286981	87.923048
SRR14240747	37.991597706386145	66.788812
SRR14240748	32.92587302058891	86.863627
SRR14240749	35.23537983413634	83.757699
SRR14240750	30.416295982920822	70.717365
SRR14240751	31.049399670463107	65.47175399999999
SRR14240752	34.49545054223064	62.929741
SRR14240753	36.26477076085644	85.04955
SRR14240754	30.99573741547073	53.890211
SRR14240755	33.05131725040717	74.02205599999999
SRR14240756	34.58497891452335	51.057002
SRR14240757	32.74445635890347	79.03518199999999
SRR14240758	42.45227132467523	55.923592
SRR14240759	29.684078285240577	36.370663
SRR14240760	38.142254648202254	103.207933
SRR14240761	35.693464997442945	69.282343
SRR14240762	38.10855793962082	144.285874
SRR14240763	33.62722487848848	57.67214
SRR14240764	36.31664585599752	75.529854
SRR14240765	34.950425024741314	110.98889299999999
SRR14240766	31.551135193956583	73.231792
SRR14240767	34.40954730200135	71.520146
SRR14240768	29.777261029368457	49.80173
SRR14240769	31.31795232506274	95.226736
SRR14240770	34.68662656091247	75.16075699999999
SRR14240771	29.323508595634106	54.846165
SRR14240772	30.59818814084033	73.658097
SRR14240773	32.40026994176574	73.085332
SRR14240774	35.33566026857876	26.393299
SRR14240775	29.30333438870385	107.755837
SRR14240776	30.049780995561758	71.30915499999999
SRR14240777	29.73326986997632	64.70759199999999
SRR14240778	31.720566427318104	75.91649
SRR14240779	37.54105083794441	114.56154
SRR14240780	33.26065463859826	101.510583
SRR14240781	33.46038321226706	69.45369099999999
SRR14240782	38.146876098942265	79.786352
SRR14240783	30.874483970448036	63.994173999999994
SRR14240784	36.4697247624565	91.88538
SRR14240785	25.38913551244995	60.729302
SRR14240786	38.89790540014142	98.953615
SRR14240787	39.715913459186105	115.51355199999999
SRR14240788	36.6675691681568	58.019307
SRR14240789	24.461820501604777	82.995319
SRR14240790	33.45576498612048	63.969248
SRR14240791	40.744615176391015	99.82511799999999
SRR14240792	30.741705444073858	55.211991999999995
SRR14240793	27.19505924425508	128.971522
SRR14240794	30.529359136088686	59.276714999999996
SRR14240795	37.35844942361723	102.877803
SRR14240796	30.4943090197741	76.98409099999999
SRR14240797	38.18613208992836	142.277957
SRR14240798	42.21777593696586	94.675945
