Sample	STAR_mqc_generalstats_star_uniquely_mapped_percent	STAR_mqc_generalstats_star_uniquely_mapped
SRR14240730	74.83	58.353685
SRR14240731	83.52	80.662536
SRR14240732	84.19	67.096232
SRR14240733	84.63	55.597229
SRR14240734	81.48	106.582055
SRR14240735	80.95	113.48844299999999
SRR14240736	77.91	72.082897
SRR14240737	80.06	86.902391
SRR14240738	83.96	92.90333299999999
SRR14240739	78.64	69.446896
SRR14240740	78.29	77.313935
SRR14240741	87.61	81.209392
SRR14240742	89.57	36.997327999999996
SRR14240743	71.53	47.39333
SRR14240744	83.74	94.31066299999999
SRR14240745	79.78	60.942968
SRR14240746	75.2	73.436239
SRR14240747	87.13	63.338127
SRR14240748	81.72	76.366784
SRR14240749	86.37	83.211406
SRR14240750	83.59	70.822735
SRR14240751	77.0	55.072049
SRR14240752	82.66	56.942890999999996
SRR14240753	86.09	82.744168
SRR14240754	76.8	44.382068
SRR14240755	84.36	70.75988199999999
SRR14240756	81.12	43.969287
SRR14240757	74.87	57.178804
SRR14240758	85.39	47.218139
SRR14240759	84.31	37.602796999999995
SRR14240760	83.62	85.09771599999999
SRR14240761	75.76	50.787517
SRR14240762	85.22	130.491848
SRR14240763	85.86	57.942119999999996
SRR14240764	85.55	73.50414599999999
SRR14240765	81.45	100.416427
SRR14240766	80.44	69.829832
SRR14240767	86.23	73.25324499999999
SRR14240768	78.38	46.519254
SRR14240769	82.05	96.33563199999999
SRR14240770	83.73	69.89662899999999
SRR14240771	82.24	53.218767
SRR14240772	76.65	64.966984
SRR14240773	84.08	73.16201199999999
SRR14240774	79.12	21.392958999999998
SRR14240775	77.88	96.442025
SRR14240776	85.43	82.622317
SRR14240777	85.38	72.614665
SRR14240778	82.57	73.583991
SRR14240779	82.78	100.031977
SRR14240780	83.47	94.13527599999999
SRR14240781	80.8	59.981384
SRR14240782	83.13	65.412039
SRR14240783	85.73	70.572043
SRR14240784	83.63	77.911681
SRR14240785	68.75	48.275082
SRR14240786	85.98	88.860359
SRR14240787	83.35	97.772053
SRR14240788	78.22	44.876092
SRR14240789	65.52	56.945705
SRR14240790	80.46	58.266563999999995
SRR14240791	83.04	82.147179
SRR14240792	83.33	56.653969
SRR14240793	79.11	125.949356
SRR14240794	71.94	43.754763
SRR14240795	74.92	74.794485
SRR14240796	78.84	68.69516
SRR14240797	80.9	112.75716899999999
SRR14240798	81.26	71.93807799999999
