Sample	Uniquely mapped	Mapped to multiple loci	Mapped to too many loci	Unmapped: too short	Unmapped: other
SRR14240730	58353685	17147404	72464	2311018	93374
SRR14240731	80662536	12809887	75646	2932902	96477
SRR14240732	67096232	9736608	124335	2593920	143663
SRR14240733	55597229	8117389	50263	1864823	65663
SRR14240734	106582055	20007688	98105	4000550	117663
SRR14240735	113488443	22567994	135354	3856700	154268
SRR14240736	72082897	17545600	99214	2696924	101596
SRR14240737	86902391	18785147	104793	2650023	108608
SRR14240738	92903333	14559415	125468	2917508	143665
SRR14240739	69446896	16834435	77470	1866579	79242
SRR14240740	77313935	18745190	109978	2470501	108269
SRR14240741	81209392	8680192	104211	2572772	129564
SRR14240742	36997328	3134761	33489	1095011	45453
SRR14240743	47393330	17209849	82410	1507245	59759
SRR14240744	94310663	15292571	113941	2785767	123562
SRR14240745	60942968	12995822	98092	2216168	137555
SRR14240746	73436239	21747744	84091	2294563	87877
SRR14240747	63338127	7380198	69981	1822644	80196
SRR14240748	76366784	14318245	92570	2575028	93298
SRR14240749	83211406	10484619	178791	2307799	164153
SRR14240750	70822735	11777749	90685	1941152	93243
SRR14240751	55072049	14364218	143317	1811255	128357
SRR14240752	56942891	9457711	56170	2360519	68820
SRR14240753	82744168	10003686	229386	2974704	163657
SRR14240754	44382068	11511016	69786	1742447	81044
SRR14240755	70759882	10261063	68375	2709877	75507
SRR14240756	43969287	8472308	74771	1618354	64951
SRR14240757	57178804	16160933	70681	2894608	61100
SRR14240758	47218139	6342321	40826	1648974	49801
SRR14240759	37602797	5453020	40736	1458922	44615
SRR14240760	85097716	13647574	84538	2859767	81417
SRR14240761	50787517	13840789	104477	2214107	87222
SRR14240762	130491848	17699071	155256	4632775	153403
SRR14240763	57942120	6995636	87506	2359504	101122
SRR14240764	73504146	9278271	122206	2868783	146016
SRR14240765	100416427	18759425	101498	3894022	110906
SRR14240766	69829832	14117408	175683	2523231	164747
SRR14240767	73253245	9022017	74880	2517624	85055
SRR14240768	46519254	10986707	61579	1726078	59520
SRR14240769	96335632	17803877	110134	3054490	105732
SRR14240770	69896629	10637725	83368	2764256	91864
SRR14240771	53218767	9289951	55471	2096443	51764
SRR14240772	64966984	16302091	92915	3314691	84775
SRR14240773	73162012	10171636	87392	3496913	95687
SRR14240774	21392959	4840639	21644	763211	21651
SRR14240775	96442025	22141195	129102	4999205	124050
SRR14240776	82622317	10639461	139435	3157405	154965
SRR14240777	72614665	9379721	102126	2856267	93509
SRR14240778	73583991	12508000	82959	2848164	89005
SRR14240779	100031977	16183798	181289	4289945	157097
SRR14240780	94135276	14597318	118011	3800215	124043
SRR14240781	59981384	11690414	86410	2392610	81735
SRR14240782	65412039	11068481	62980	2070411	70851
SRR14240783	70572043	9265071	93621	2307840	82423
SRR14240784	77911681	11835141	90367	3222698	102456
SRR14240785	48275082	19904521	102472	1876836	63028
SRR14240786	88860359	11311324	113478	2953780	113607
SRR14240787	97772053	15390240	105961	3915427	117228
SRR14240788	44876092	10363562	117892	1901689	109160
SRR14240789	56945705	27109021	89804	2713173	52176
SRR14240790	58266564	11845124	110381	2094156	101447
SRR14240791	82147179	13528618	102080	3028661	118384
SRR14240792	56653969	9034661	93831	2123422	81670
SRR14240793	125949356	26362482	206557	6490349	206800
SRR14240794	43754763	14757861	195452	1962011	151858
SRR14240795	74794485	22058519	86818	2797998	89936
SRR14240796	68695160	15506106	94832	2741467	96039
SRR14240797	112757169	21585263	119401	4793275	125405
SRR14240798	71938078	12154461	96112	4220750	123879
