Sample	Trimmomatic_mqc_generalstats_trimmomatic_dropped_pct
SRR14240730	0.02
SRR14240731	0.02
SRR14240732	0.01
SRR14240733	0.01
SRR14240734	0.01
SRR14240735	0.01
SRR14240736	0.02
SRR14240737	0.02
SRR14240738	0.01
SRR14240739	0.01
SRR14240740	0.03
SRR14240741	0.02
SRR14240742	0.0
SRR14240743	0.02
SRR14240744	0.01
SRR14240745	0.04
SRR14240746	0.04
SRR14240747	0.02
SRR14240748	0.01
SRR14240749	0.01
SRR14240750	0.05
SRR14240751	0.25
SRR14240752	0.01
SRR14240753	0.01
SRR14240754	0.04
SRR14240755	0.03
SRR14240756	0.03
SRR14240757	0.04
SRR14240758	0.01
SRR14240759	0.02
SRR14240760	0.01
SRR14240761	0.02
SRR14240762	0.01
SRR14240763	0.01
SRR14240764	0.02
SRR14240765	0.01
SRR14240766	0.02
SRR14240767	0.0
SRR14240768	0.02
SRR14240769	0.02
SRR14240770	0.06
SRR14240771	0.01
SRR14240772	0.03
SRR14240773	0.01
SRR14240774	0.02
SRR14240775	0.01
SRR14240776	0.01
SRR14240777	0.03
SRR14240778	0.02
SRR14240779	0.01
SRR14240780	0.02
SRR14240781	0.03
SRR14240782	0.04
SRR14240783	0.01
SRR14240784	0.01
SRR14240785	0.16
SRR14240786	0.01
SRR14240787	0.01
SRR14240788	0.02
SRR14240789	0.02
SRR14240790	0.01
SRR14240791	0.02
SRR14240792	0.68
SRR14240793	0.01
SRR14240794	0.1
SRR14240795	0.02
SRR14240796	0.02
SRR14240797	0.01
SRR14240798	0.04
