Sample	Surviving Reads	Forward Only Surviving	Reverse Only Surviving	Dropped
SRR14240730	77977945	476	1151920	18590
SRR14240731	96577448	386	610765	15246
SRR14240732	79694758	234	948007	10291
SRR14240733	65695367	134	745758	5477
SRR14240734	130806061	370	1741042	14603
SRR14240735	140202759	333	1409702	9424
SRR14240736	92526231	448	2539791	21631
SRR14240737	108550962	488	2559866	23173
SRR14240738	110649389	258	2683050	8751
SRR14240739	88304622	299	1384008	12385
SRR14240740	98747873	568	1300980	27364
SRR14240741	92696131	218	1859094	22341
SRR14240742	41306042	81	248560	1537
SRR14240743	66252593	248	449293	10909
SRR14240744	112626504	441	1596999	16332
SRR14240745	76390605	299	1191429	27730
SRR14240746	97650514	459	777497	37507
SRR14240747	72691146	217	792208	11145
SRR14240748	93445925	273	2360203	8547
SRR14240749	96346768	233	916492	12820
SRR14240750	84725564	289	1471509	43048
SRR14240751	71519196	660	3942710	191251
SRR14240752	68886111	323	708373	7506
SRR14240753	96115601	2474	1259445	6090
SRR14240754	57786361	288	3087988	23572
SRR14240755	83874704	2364	1754510	26194
SRR14240756	54199671	319	2188587	18334
SRR14240757	76366126	2237	3434160	32705
SRR14240758	55300061	1474	303731	4227
SRR14240759	44600090	1220	554290	6928
SRR14240760	101771012	2625	502001	10684
SRR14240761	67034112	1717	3952317	15453
SRR14240762	153132353	4026	1032521	14777
SRR14240763	67485888	1946	1212678	8894
SRR14240764	85919422	2228	1817923	19483
SRR14240765	123282278	3265	1765300	15640
SRR14240766	86810901	2349	442471	16633
SRR14240767	84952821	2117	392676	4191
SRR14240768	59353138	1605	361294	10836
SRR14240769	117409865	2893	1856887	18724
SRR14240770	83473842	2203	1668319	50457
SRR14240771	64712396	1946	2049096	8002
SRR14240772	84761456	2218	1739435	23591
SRR14240773	87013640	2369	1212354	9337
SRR14240774	27040104	747	371614	5433
SRR14240775	123835577	3392	2383071	15824
SRR14240776	96713583	2706	522395	8312
SRR14240777	85046288	2490	1017645	26805
SRR14240778	89112119	2403	1187553	17094
SRR14240779	120844106	3241	1407175	14764
SRR14240780	112774863	3170	2336507	27340
SRR14240781	74232553	2089	2369749	24875
SRR14240782	78684762	2078	1090836	31989
SRR14240783	82320998	2142	509086	8956
SRR14240784	93162343	2900	1270059	11811
SRR14240785	70221939	1288	6352666	120857
SRR14240786	103352548	2615	589130	9343
SRR14240787	117300909	3056	781290	9445
SRR14240788	57368395	1541	1273402	9041
SRR14240789	86909879	2731	3875265	16616
SRR14240790	72417672	1811	1527025	10019
SRR14240791	98924922	2676	1797825	15262
SRR14240792	67987553	4496	9505105	532575
SRR14240793	159215544	4498	987372	22318
SRR14240794	60821945	503	4195717	63108
SRR14240795	99827756	2383	462781	21475
SRR14240796	87133604	2522	941616	15004
SRR14240797	139380513	3764	1697554	12146
SRR14240798	88533280	536	1105190	34926
